Date,Open,High,Low,Close,Adj Close,Volume
1987-01-02,27.625,28.25,27.625,28.25,4.436238765716553,218500
1987-01-05,28.125,28.875,27.875,28.875,4.534383773803711,577700
1987-01-06,28.625,29.0,28.625,28.75,4.5147528648376465,388900
1987-01-07,28.75,29.25,28.625,29.125,4.573644161224365,329000
1987-01-08,29.25,29.375,29.0,29.125,4.573644161224365,396500
1987-01-09,29.125,29.375,29.0,29.25,4.593273639678955,309900
1987-01-12,29.125,29.375,29.0,29.125,4.573644161224365,344400
1987-01-13,29.125,29.25,29.0,29.0,4.554011821746826,296600
1987-01-14,29.0,29.25,29.0,29.25,4.593273639678955,587000
1987-01-15,29.125,29.375,29.0,29.25,4.593273639678955,347500
1987-01-16,29.25,29.625,29.25,29.375,4.612901210784912,379800
1987-01-19,29.25,30.25,29.25,30.0,4.7110466957092285,504900
1987-01-20,30.0,30.5,30.0,30.375,4.769933223724365,595400
1987-01-21,30.25,30.625,30.0,30.625,4.809195041656494,375300
1987-01-22,30.5,31.25,30.375,31.125,4.8877129554748535,628800
1987-01-23,31.25,31.625,30.75,31.125,4.8877129554748535,821200
1987-01-26,30.875,31.0,30.0,30.875,4.848453521728516,935500
1987-01-27,30.75,31.125,30.5,30.75,4.828824520111084,547500
1987-01-28,30.875,31.25,30.625,31.25,4.9073405265808105,506600
1987-01-29,31.375,31.5,31.0,31.125,4.8877129554748535,685300
1987-01-30,31.25,31.25,31.0,31.25,4.9073405265808105,404600
1987-02-02,31.0,31.5,31.0,31.5,4.946600437164307,630800
1987-02-03,31.5,31.5,31.25,31.25,4.9073405265808105,918900
1987-02-04,30.75,30.75,30.25,30.75,4.917735576629639,3130000
1987-02-05,30.625,31.0,30.5,30.625,4.897744655609131,2240000
1987-02-06,30.625,30.75,30.25,30.375,4.857763290405273,273500
1987-02-09,30.125,30.375,29.375,29.875,4.777800559997559,393400
1987-02-10,29.625,29.875,29.25,29.625,4.737820148468018,419800
1987-02-11,29.625,29.875,29.375,29.5,4.717827320098877,523700
1987-02-12,29.625,29.625,29.25,29.375,4.697836875915527,294400
1987-02-13,29.25,29.625,29.0,29.375,4.697836875915527,608500
1987-02-17,29.375,29.5,29.0,29.375,4.697836875915527,426600
1987-02-18,29.625,29.875,29.375,29.875,4.777800559997559,544900
1987-02-19,29.875,30.25,29.625,30.25,4.837769985198975,459000
1987-02-20,30.125,30.25,29.75,30.125,4.817781448364258,361300
1987-02-23,29.875,30.0,29.5,29.625,4.737820148468018,407500
1987-02-24,29.625,29.875,29.5,29.75,4.757810115814209,179800
1987-02-25,29.5,29.625,29.25,29.625,4.737820148468018,481800
1987-02-26,29.625,29.625,29.0,29.25,4.677846431732178,363300
1987-02-27,29.375,29.5,29.125,29.5,4.717827320098877,219400
1987-03-02,29.5,29.5,29.0,29.125,4.657854080200195,199800
1987-03-03,29.25,29.375,29.0,29.25,4.677846431732178,295700
1987-03-04,29.25,29.5,29.0,29.5,4.717827320098877,334400
1987-03-05,29.625,29.625,29.375,29.625,4.737820148468018,208900
1987-03-06,29.5,29.5,29.125,29.375,4.697836875915527,482800
1987-03-09,29.375,29.375,29.0,29.125,4.657854080200195,245800
1987-03-10,29.25,29.25,29.125,29.25,4.677846431732178,250600
1987-03-11,29.375,29.625,29.0,29.125,4.657854080200195,356800
1987-03-12,29.125,29.25,29.0,29.125,4.657854080200195,553800
1987-03-13,29.25,29.375,29.125,29.25,4.677846431732178,481600
1987-03-16,29.25,29.25,28.5,28.625,4.577890872955322,565200
1987-03-17,28.625,28.875,28.375,28.875,4.61787223815918,314600
1987-03-18,28.875,29.0,28.5,28.75,4.597883701324463,228000
1987-03-19,28.5,28.75,28.375,28.625,4.577890872955322,226900
1987-03-20,28.875,29.5,28.625,29.5,4.717827320098877,456200
1987-03-23,29.5,29.5,29.125,29.5,4.717827320098877,333200
1987-03-24,29.375,29.5,28.875,29.125,4.657854080200195,529500
1987-03-25,28.875,29.0,28.375,28.75,4.597883701324463,509200
1987-03-26,28.625,28.875,28.625,28.75,4.597883701324463,302600
1987-03-27,28.75,28.75,28.25,28.25,4.517917156219482,606200
1987-03-30,28.125,28.25,27.5,27.75,4.437957763671875,374100
1987-03-31,27.875,28.5,27.75,28.375,4.537912368774414,434900
1987-04-01,28.0,28.25,27.75,28.125,4.497927188873291,436200
1987-04-02,28.375,28.375,27.875,28.0,4.477936744689941,595900
1987-04-03,28.0,28.5,28.0,28.375,4.537912368774414,268900
1987-04-06,28.25,28.625,28.25,28.375,4.537912368774414,249200
1987-04-07,28.375,28.375,27.75,27.75,4.437957763671875,474200
1987-04-08,28.0,28.125,27.5,27.75,4.437957763671875,453800
1987-04-09,28.0,28.0,27.25,27.5,4.397976398468018,513700
1987-04-10,27.25,27.75,26.875,27.0,4.3180108070373535,801800
1987-04-13,27.0,27.0,26.25,26.5,4.238049030303955,802100
1987-04-14,26.0,26.375,25.125,25.875,4.138094425201416,625800
1987-04-15,26.0,27.5,26.0,27.25,4.357994556427002,925700
1987-04-16,27.75,28.25,27.75,28.0,4.477936744689941,813000
1987-04-20,28.125,28.375,27.75,28.0,4.477936744689941,618900
1987-04-21,27.875,29.0,27.5,28.25,4.517917156219482,506100
1987-04-22,28.875,28.875,28.0,28.0,4.477936744689941,415600
1987-04-23,27.875,28.125,27.375,27.5,4.397976398468018,304200
1987-04-24,27.125,27.375,26.875,27.0,4.3180108070373535,360600
1987-04-27,26.875,27.375,26.5,26.875,4.29802131652832,2610000
