Date,Open,High,Low,Close,Adj Close,Volume
1987-01-02,5.03125,5.0625,5.0,5.0625,4.319455623626709,77200
1987-01-05,5.09375,5.15625,5.03125,5.15625,4.399445533752441,572800
1987-01-06,5.125,5.1875,5.09375,5.125,4.372782230377197,761200
1987-01-07,5.09375,5.15625,5.0625,5.125,4.372782230377197,292400
1987-01-08,5.1875,5.5,5.1875,5.5,4.692745685577393,2190400
1987-01-09,5.71875,5.75,5.4375,5.71875,4.888275146484375,1070000
1987-01-12,5.75,5.75,5.625,5.625,4.8081374168396,208400
1987-01-13,5.625,5.78125,5.625,5.75,4.914985179901123,710400
1987-01-14,5.75,5.9375,5.75,5.875,5.021832466125488,850000
1987-01-15,5.84375,5.84375,5.6875,5.71875,4.888275146484375,642400
1987-01-16,5.65625,5.75,5.59375,5.75,4.914985179901123,811200
1987-01-19,5.71875,6.0,5.6875,5.9375,5.075254440307617,687200
1987-01-20,5.9375,5.96875,5.75,5.75,4.914985179901123,372800
1987-01-21,5.625,5.65625,5.375,5.375,4.594442844390869,911600
1987-01-22,5.3125,5.78125,5.3125,5.6875,4.8615617752075195,1161200
1987-01-23,5.65625,5.75,5.59375,5.71875,4.888275146484375,2270400
1987-01-26,5.65625,5.71875,5.625,5.65625,4.834850788116455,463200
1987-01-27,5.65625,5.90625,5.59375,5.6875,4.8615617752075195,1255200
1987-01-28,5.75,5.875,5.6875,5.875,5.021832466125488,497600
1987-01-29,5.90625,5.96875,5.6875,5.96875,5.101967811584473,890000
1987-01-30,5.9375,5.96875,5.8125,5.90625,5.0485453605651855,418000
1987-02-02,5.90625,5.9375,5.78125,5.78125,4.9416985511779785,887600
1987-02-03,5.78125,5.90625,5.78125,5.84375,4.995121479034424,635600
1987-02-04,5.875,5.90625,5.8125,5.84375,4.995121479034424,585200
1987-02-05,5.84375,6.1875,5.8125,6.15625,5.2622389793396,1128800
1987-02-06,6.1875,6.1875,5.90625,5.96875,5.101967811584473,470800
1987-02-09,5.96875,6.0,5.875,5.9375,5.075254440307617,409200
1987-02-10,5.9375,5.96875,5.8125,5.90625,5.0485453605651855,638000
1987-02-11,5.84375,5.90625,5.84375,5.875,5.021832466125488,620000
1987-02-12,5.90625,5.90625,5.75,5.75,4.914985179901123,234400
1987-02-13,5.75,5.96875,5.75,5.90625,5.0485453605651855,505200
1987-02-17,5.90625,6.09375,5.90625,6.0625,5.182105541229248,569200
1987-02-18,6.21875,6.28125,5.96875,6.21875,5.315663814544678,921200
1987-02-19,6.25,6.71875,6.25,6.59375,5.636206150054932,1019600
1987-02-20,6.71875,6.96875,6.6875,6.8125,5.823190212249756,1183600
1987-02-23,6.8125,6.8125,6.5,6.625,5.662917137145996,783200
1987-02-24,6.6875,6.6875,6.5625,6.5625,5.609493255615234,387600
1987-02-25,6.5625,6.625,6.5625,6.625,5.662917137145996,854000
1987-02-26,6.625,6.875,6.59375,6.71875,5.7430548667907715,432400
1987-02-27,6.6875,6.71875,6.46875,6.625,5.662917137145996,309200
