Date,Open,High,Low,Close,Adj Close,Volume
1987-01-02,6.28125,6.375,6.28125,6.328125,3.7686195373535156,270400
1987-01-05,6.359375,6.390625,6.25,6.390625,3.8058440685272217,1349600
1987-01-06,6.390625,6.484375,6.359375,6.46875,3.8523693084716797,1940800
1987-01-07,6.5,6.546875,6.46875,6.5,3.870978593826294,1072800
1987-01-08,6.515625,6.53125,6.421875,6.5,3.870978593826294,796800
1987-01-09,6.5,6.65625,6.453125,6.625,3.9454197883605957,2236800
1987-01-12,6.59375,6.796875,6.59375,6.703125,3.991947889328003,2900800
1987-01-13,6.703125,6.859375,6.65625,6.8125,4.057085990905762,1344800
1987-01-14,6.859375,6.953125,6.8125,6.9375,4.131525993347168,2384000
1987-01-15,7.0,7.03125,6.921875,6.9375,4.131525993347168,2072000
1987-01-16,6.921875,6.9375,6.765625,6.9375,4.131525993347168,877600
1987-01-19,6.90625,7.015625,6.8125,7.015625,4.17805290222168,820000
1987-01-20,7.09375,7.109375,7.046875,7.0625,4.205966949462891,1866400
1987-01-21,7.09375,7.21875,7.0625,7.125,4.243189811706543,1210400
1987-01-22,7.1875,7.28125,7.125,7.28125,4.336243152618408,1524000
1987-01-23,7.53125,7.5625,7.0,7.0,4.1687469482421875,4776000
1987-01-26,6.984375,6.984375,6.75,6.796875,4.047781467437744,4036800
1987-01-27,6.84375,7.0,6.828125,6.9375,4.131525993347168,2956000
1987-01-28,7.09375,7.15625,6.9375,7.03125,4.187355995178223,2850400
1987-01-29,7.015625,7.03125,6.921875,6.921875,4.122219085693359,3231200
1987-01-30,7.0625,7.078125,6.921875,6.953125,4.1408305168151855,2676800
1987-02-02,6.921875,7.125,6.90625,7.0625,4.205966949462891,2087200
1987-02-03,7.09375,7.09375,7.0,7.03125,4.187355995178223,1061600
1987-02-04,6.984375,7.046875,6.96875,7.03125,4.187355995178223,1204000
1987-02-05,7.0625,7.0625,6.890625,7.0,4.1687469482421875,1592800
1987-02-06,7.0,7.0,6.90625,6.921875,4.122219085693359,884000
1987-02-09,6.90625,6.90625,6.75,6.8125,4.057085990905762,1116800
1987-02-10,6.8125,6.828125,6.75,6.8125,4.057085990905762,1501600
1987-02-11,6.8125,6.875,6.78125,6.875,4.09430456161499,2092800
1987-02-12,7.015625,7.0625,6.84375,6.96875,4.150137901306152,3278400
1987-02-13,6.9375,7.078125,6.9375,7.046875,4.196660995483398,1628800
1987-02-17,7.078125,7.5,7.078125,7.46875,4.447904109954834,3462400
1987-02-18,7.6875,7.875,7.640625,7.875,4.689840316772461,4478400
1987-02-19,7.96875,7.96875,7.765625,7.8125,4.652619361877441,2040800
1987-02-20,7.796875,7.8125,7.546875,7.59375,4.522347450256348,1460800
1987-02-23,7.609375,7.609375,7.40625,7.546875,4.494430065155029,1474400
1987-02-24,7.546875,7.65625,7.484375,7.59375,4.522347450256348,1714400
1987-02-25,7.625,7.859375,7.59375,7.828125,4.661922931671143,3297600
1987-02-26,7.828125,7.984375,7.8125,7.96875,4.745670795440674,2480800
1987-02-27,8.1875,8.1875,8.015625,8.078125,4.8108086585998535,1192000
1987-03-02,8.078125,8.09375,7.890625,7.90625,4.708453178405762,1077600
1987-03-03,7.890625,7.90625,7.78125,7.8125,4.652619361877441,2344000
1987-03-04,7.78125,7.84375,7.75,7.78125,4.647768974304199,1188800
1987-03-05,7.8125,8.046875,7.8125,8.0,4.7784247398376465,1924000
1987-03-06,8.1875,8.21875,8.078125,8.125,4.853091716766357,1776000
1987-03-09,8.140625,8.140625,8.0625,8.125,4.853091716766357,1168800
1987-03-10,8.125,8.171875,8.125,8.125,4.853091716766357,600800
1987-03-11,8.21875,8.28125,7.9375,7.9375,4.741093635559082,1192000
1987-03-12,8.0,8.203125,7.96875,8.203125,4.899754524230957,991200
1987-03-13,8.09375,8.171875,8.09375,8.140625,4.862423896789551,947200
1987-03-16,8.109375,8.1875,8.09375,8.171875,4.8810882568359375,652800
1987-03-17,8.125,8.171875,8.109375,8.171875,4.8810882568359375,868000
1987-03-18,8.203125,8.296875,8.203125,8.28125,4.946418285369873,859200
1987-03-19,8.296875,8.34375,8.234375,8.25,4.927753448486328,607200
1987-03-20,8.28125,8.296875,8.203125,8.296875,4.955750942230225,960800
1987-03-23,8.25,8.265625,8.171875,8.171875,4.8810882568359375,1165600
1987-03-24,8.171875,8.265625,8.15625,8.25,4.927753448486328,727200
1987-03-25,8.34375,8.34375,8.1875,8.203125,4.899754524230957,877600
1987-03-26,8.21875,8.234375,8.15625,8.171875,4.8810882568359375,656800
1987-03-27,8.203125,8.203125,8.0,8.03125,4.797094821929932,1334400
1987-03-30,7.78125,7.828125,7.578125,7.78125,4.647768974304199,2114400
1987-03-31,7.859375,7.90625,7.78125,7.828125,4.675764083862305,988800
1987-04-01,7.734375,7.921875,7.6875,7.921875,4.7317609786987305,838400
1987-04-02,7.953125,8.078125,7.921875,8.03125,4.797094821929932,417600
1987-04-03,8.125,8.15625,8.046875,8.09375,4.834424018859863,959200
1987-04-06,8.125,8.15625,8.078125,8.140625,4.862423896789551,1137600
1987-04-07,8.125,8.125,7.9375,7.9375,4.741093635559082,657600
1987-04-08,7.9375,8.03125,7.875,7.90625,4.722429275512695,748800
1987-04-09,7.90625,7.9375,7.671875,7.703125,4.601100921630859,776000
1987-04-10,7.5,7.6875,7.46875,7.53125,4.498440265655518,3066400
1987-04-13,7.53125,7.59375,7.34375,7.34375,4.386446952819824,812800
1987-04-14,7.25,7.265625,7.0,7.078125,4.227787017822266,1684800
1987-04-15,7.3125,7.546875,7.15625,7.484375,4.470441818237305,2585600
