Date,Open,High,Low,Close,Adj Close,Volume
1987-01-02,0.0,2.5,2.4375,2.5,1.8706787824630737,2200.0
1987-01-05,0.0,2.625,2.5,2.625,1.9642112255096436,9000.0
1987-01-06,0.0,2.6875,2.625,2.625,1.9642112255096436,3200.0
1987-01-07,0.0,2.6875,2.625,2.625,1.9642112255096436,800.0
1987-01-08,0.0,2.75,2.625,2.75,2.057746410369873,5800.0
1987-01-09,0.0,2.8125,2.6875,2.8125,2.1045126914978027,3400.0
1987-01-12,0.0,3.0,2.75,3.0,2.24481463432312,8400.0
1987-01-13,0.0,3.125,2.9375,2.9375,2.1980464458465576,14000.0
1987-01-14,0.0,3.0,2.875,3.0,2.24481463432312,18000.0
1987-01-15,0.0,2.9375,2.875,2.875,2.1512811183929443,2400.0
1987-01-16,0.0,2.9375,2.8125,2.8125,2.1045126914978027,5800.0
1987-01-19,0.0,2.9375,2.75,2.9375,2.1980464458465576,6800.0
1987-01-20,0.0,2.875,2.75,2.75,2.057746410369873,8600.0
1987-01-21,0.0,2.875,2.75,2.875,2.1512811183929443,6600.0
1987-01-22,0.0,2.875,2.75,2.875,2.1512811183929443,16800.0
1987-01-23,0.0,2.8125,2.75,2.75,2.057746410369873,6200.0
1987-01-26,0.0,2.875,2.8125,2.875,2.1512811183929443,10600.0
1987-01-27,0.0,2.875,2.8125,2.8125,2.1045126914978027,3000.0
1987-01-28,0.0,2.875,2.875,2.875,2.1512811183929443,4400.0
1987-01-29,0.0,2.9375,2.8125,2.9375,2.1980464458465576,9800.0
1987-01-30,0.0,2.9375,2.8125,2.875,2.1512811183929443,30000.0
1987-02-02,0.0,2.9375,2.875,2.9375,2.1980464458465576,4600.0
1987-02-03,0.0,2.9375,2.875,2.875,2.1512811183929443,1000.0
1987-02-04,0.0,3.0,2.875,3.0,2.24481463432312,10200.0
1987-02-05,0.0,3.0625,3.0,3.0625,2.291581869125366,8400.0
1987-02-06,0.0,3.1875,3.0,3.1875,2.3851158618927,21000.0
1987-02-09,0.0,3.0,2.875,2.9375,2.1980464458465576,4000.0
1987-02-10,0.0,2.9375,2.875,2.9375,2.1980464458465576,1800.0
1987-02-11,0.0,3.0,2.8125,2.875,2.1512811183929443,19800.0
1987-02-12,0.0,2.8125,2.6875,2.75,2.057746410369873,5800.0
1987-02-13,0.0,2.75,2.6875,2.75,2.057746410369873,9600.0
1987-02-17,0.0,2.9375,2.8125,2.9375,2.1980464458465576,6400.0
1987-02-18,0.0,3.0,2.9375,3.0,2.24481463432312,2000.0
1987-02-19,0.0,3.0,2.875,3.0,2.24481463432312,5000.0
1987-02-20,0.0,3.0,2.875,2.875,2.1512811183929443,9800.0
1987-02-23,0.0,2.9375,2.8125,2.9375,2.1980464458465576,7400.0
1987-02-24,0.0,2.9375,2.8125,2.875,2.1512811183929443,5200.0
1987-02-25,0.0,2.9375,2.6875,2.75,2.057746410369873,9000.0
1987-02-26,0.0,2.8125,2.6875,2.8125,2.1045126914978027,8200.0
1987-02-27,0.0,2.9375,2.8125,2.9375,2.1980464458465576,4000.0
1987-03-02,0.0,2.9375,2.8125,2.875,2.1512811183929443,5800.0
1987-03-03,0.0,2.8125,2.6875,2.8125,2.1045126914978027,10000.0
1987-03-04,0.0,2.875,2.75,2.75,2.057746410369873,14000.0
1987-03-05,0.0,2.875,2.8125,2.8125,2.1045126914978027,4000.0
1987-03-06,0.0,2.875,2.8125,2.875,2.1512811183929443,2000.0
1987-03-09,0.0,2.875,2.8125,2.875,2.1512811183929443,600.0
1987-03-10,0.0,2.8125,2.75,2.75,2.057746410369873,10200.0
1987-03-11,0.0,2.875,2.75,2.875,2.1512811183929443,3800.0
1987-03-12,0.0,2.8125,2.8125,2.8125,2.1045126914978027,1000.0
1987-03-13,0.0,2.875,2.8125,2.8125,2.1045126914978027,8000.0
1987-03-16,0.0,2.875,2.75,2.8125,2.1045126914978027,9800.0
1987-03-17,0.0,2.8125,2.75,2.8125,2.1045126914978027,2200.0
1987-03-18,0.0,2.875,2.75,2.8125,2.1045126914978027,10400.0
1987-03-19,0.0,2.875,2.6875,2.75,2.057746410369873,22200.0
1987-03-20,0.0,2.875,2.8125,2.875,2.1512811183929443,24400.0
1987-03-23,0.0,2.875,2.8125,2.875,2.1512811183929443,4800.0
1987-03-24,0.0,2.875,2.8125,2.875,2.1512811183929443,7200.0
1987-03-25,0.0,2.875,2.75,2.75,2.057746410369873,6200.0
1987-03-26,0.0,2.75,2.6875,2.75,2.057746410369873,5600.0
1987-03-27,0.0,2.75,2.6875,2.75,2.057746410369873,1800.0
1987-03-30,0.0,2.75,2.6875,2.6875,2.010979175567627,600.0
1987-03-31,0.0,2.8125,2.75,2.8125,2.1045126914978027,1400.0
1987-04-01,0.0,2.8125,2.75,2.8125,2.1045126914978027,2200.0
1987-04-02,0.0,2.875,2.75,2.875,2.1512811183929443,8000.0
1987-04-03,0.0,2.875,2.8125,2.8125,2.1045126914978027,14400.0
1987-04-06,0.0,2.875,2.75,2.75,2.057746410369873,9800.0
1987-04-07,0.0,2.75,2.75,2.75,2.057746410369873,6200.0
