Date,Open,High,Low,Close,Adj Close,Volume
1992-02-13,2.0,2.09375,2.0,2.046875,1.6836596727371216,18506400
1992-02-14,2.0625,2.28125,2.0625,2.25,1.8507405519485474,3128000
1992-02-18,2.21875,2.28125,2.0625,2.0625,1.6965126991271973,2584800
1992-02-19,2.09375,2.15625,2.03125,2.15625,1.7736246585845947,2454400
1992-02-20,2.125,2.28125,2.125,2.21875,1.825035810470581,1304000
1992-02-21,2.21875,2.28125,2.21875,2.28125,1.8764441013336182,616800
1992-02-24,2.21875,2.3125,2.21875,2.3125,1.9021501541137695,772800
1992-02-25,2.265625,2.3125,2.25,2.28125,1.8764441013336182,517600
1992-02-26,2.3125,2.34375,2.25,2.34375,1.9278541803359985,851200
1992-02-27,2.28125,2.4375,2.28125,2.40625,1.9792641401290894,555200
1992-02-28,2.4375,2.59375,2.375,2.53125,2.0820817947387695,1108800
1992-03-02,2.59375,2.609375,2.46875,2.5625,2.107787847518921,873600
1992-03-03,2.546875,2.5625,2.4375,2.46875,2.0306739807128906,512000
1992-03-04,2.46875,2.53125,2.4375,2.4375,2.0049688816070557,163200
1992-03-05,2.53125,2.53125,2.34375,2.34375,1.9278541803359985,707200
1992-03-06,2.390625,2.4375,2.34375,2.34375,1.9278541803359985,765600
1992-03-09,2.34375,2.4375,2.34375,2.390625,1.966411828994751,766400
1992-03-10,2.34375,2.4375,2.34375,2.4375,2.0049688816070557,93600
1992-03-11,2.5,2.53125,2.4375,2.453125,2.0178208351135254,222400
1992-03-12,2.4375,2.53125,2.4375,2.4375,2.0049688816070557,89600
1992-03-13,2.4375,2.5625,2.4375,2.53125,2.0820817947387695,211200
1992-03-16,2.5,2.5625,2.5,2.5625,2.107787847518921,94400
1992-03-17,2.46875,2.5625,2.46875,2.46875,2.0306739807128906,150400
1992-03-18,2.46875,2.46875,2.46875,2.46875,2.0306739807128906,52000
1992-03-19,2.5625,2.5625,2.4375,2.4375,2.0049688816070557,68800
1992-03-20,2.4375,2.53125,2.4375,2.53125,2.0820817947387695,124800
1992-03-23,2.4375,2.515625,2.4375,2.484375,2.0435245037078857,314400
1992-03-24,2.46875,2.515625,2.4375,2.4375,2.0049688816070557,437600
1992-03-25,2.53125,2.53125,2.4375,2.46875,2.0306739807128906,79200
1992-03-26,2.40625,2.421875,2.40625,2.40625,1.9792641401290894,47200
1992-03-27,2.5,2.5,2.4375,2.5,2.056377649307251,79200
1992-03-30,2.4375,2.5,2.4375,2.46875,2.0306739807128906,46400
1992-03-31,2.4375,2.5,2.4375,2.5,2.056377649307251,107200
