Date,Closing Price
2004-11-01,53.19
2004-11-02,52.09
2004-11-03,53.1862
2004-11-04,54.38
2004-11-05,54.53
2004-11-08,53.36
2004-11-09,52.65
2004-11-10,52.6
2004-11-11,52.92
2004-11-12,54.57
2004-11-15,52.97
2004-11-16,52.54
2004-11-17,53.4
2004-11-18,53.59
2004-11-19,53.8743
2004-11-22,54.84
2004-11-23,54.56
2004-11-24,54.58
2004-11-26,54.84
2004-11-29,54.66
2004-11-30,54.7852
2004-12-01,53.48
2004-12-02,52.745
2004-12-03,52.5
2004-12-06,52.81
2004-12-07,52.94
2004-12-08,52.69
2004-12-09,52.15
2004-12-10,52.65
2004-12-13,53.6339
2004-12-14,53.2
2004-12-15,52.68
2004-12-16,51.97
2004-12-17,51.8
2004-12-20,52.56
2004-12-21,52.78
2004-12-22,52.3346
2004-12-23,52.67
2004-12-27,52.02
2004-12-28,52.49
2004-12-29,52.45
2004-12-30,52.54
2004-12-31,52.51
2005-01-03,50.9
2005-01-04,50.58
2005-01-05,50.84
2005-01-06,51.73
2005-01-07,51.1646
2005-01-10,51.38
2005-01-11,51.9
2005-01-12,52.47
2005-01-13,52.15
2005-01-14,52.3
2005-01-18,53.02
2005-01-19,52.69
2005-01-20,52.14
2005-01-21,51.98
2005-01-24,52.57
2005-01-25,52.8
2005-01-26,53.55
2005-01-27,54.25
2005-01-28,53.72
2005-01-31,54.5
2005-02-01,55.15
2005-02-02,55.53
2005-02-03,56.24
2005-02-04,56.7
2005-02-07,56.1
2005-02-08,56.6
2005-02-09,56.6
2005-02-10,57.35
2005-02-11,58.25
2005-02-14,58.0972
2005-02-15,58.17
2005-02-16,59.4954
2005-02-17,58.61
2005-02-18,59.9
2005-02-22,59.39
2005-02-23,60.16
2005-02-24,61.16
2005-02-25,61.98
2005-02-28,61.763
2005-03-01,60.82
2005-03-02,61.4992
2005-03-03,61.19
2005-03-04,61.9
2005-03-07,61.4
2005-03-08,61.5
2005-03-09,60.0
2005-03-10,58.54
2005-03-11,58.3
2005-03-14,59.25
2005-03-15,58.17
2005-03-16,58.61
2005-03-17,59.55
2005-03-18,60.3559
2005-03-21,60.25
2005-03-22,59.2
2005-03-23,58.46
2005-03-24,58.2
2005-03-28,58.29
2005-03-29,57.89
2005-03-30,58.26
2005-03-31,58.31
2005-04-01,59.31
2005-04-04,57.35
2005-04-05,55.89
2005-04-06,57.22
2005-04-07,57.75
2005-04-08,56.8
2005-04-11,56.87
2005-04-12,55.98
2005-04-13,54.27
2005-04-14,53.98
2005-04-15,52.1
2005-04-18,52.6
2005-04-19,53.56
2005-04-20,52.05
2005-04-21,53.3
2005-04-22,53.83
2005-04-25,54.2
2005-04-26,53.62
2005-04-27,52.26
2005-04-28,51.7
2005-04-29,52.1
2005-05-02,53.05
2005-05-03,52.62
2005-05-04,53.0
2005-05-05,53.3
2005-05-06,52.9
2005-05-09,53.45
2005-05-10,53.0
2005-05-11,53.1598
2005-05-12,52.05
2005-05-13,51.3
2005-05-16,50.5
2005-05-17,51.46
2005-05-18,51.33
2005-05-19,52.17
2005-05-20,51.8524
2005-05-23,52.37
2005-05-24,52.68
2005-05-25,53.22
2005-05-26,53.72
2005-05-27,54.6
2005-05-31,53.78
2005-06-01,54.6
2005-06-02,54.85
2005-06-03,55.06
2005-06-06,54.85
2005-06-07,55.02
2005-06-08,54.83
2005-06-09,56.0
2005-06-10,56.44
2005-06-13,56.01
2005-06-14,56.0556
2005-06-15,56.84
2005-06-16,57.95
2005-06-17,58.99
2005-06-20,59.3
2005-06-21,58.75
2005-06-22,58.3
2005-06-23,57.34
2005-06-24,56.69
2005-06-27,57.28
2005-06-28,57.0
2005-06-29,56.76
2005-06-30,55.92
