Date,Closing Price
2004-11-01,21.05
2004-11-02,21.15
2004-11-03,21.7167
2004-11-04,22.13
2004-11-05,21.9
2004-11-08,22.3333
2004-11-09,23.2636
2004-11-10,23.1867
2004-11-11,23.3533
2004-11-12,23.31
2004-11-15,23.53
2004-11-16,23.17
2004-11-17,23.06
2004-11-18,22.8233
2004-11-19,22.7375
2004-11-22,23.04
2004-11-23,23.4067
2004-11-24,23.3633
2004-11-26,23.4333
2004-11-29,22.8167
2004-11-30,23.8333
2004-12-01,25.2221
2004-12-02,24.8817
2004-12-03,24.9567
2004-12-06,25.1533
2004-12-07,25.0733
2004-12-08,25.7167
2004-12-09,26.6833
2004-12-10,26.9933
2004-12-13,26.8919
2004-12-14,26.9
2004-12-15,27.1033
2004-12-16,26.5748
2004-12-17,26.3667
2004-12-20,26.675
2004-12-21,26.941
2004-12-22,26.6762
2004-12-23,26.6633
2004-12-27,26.6833
2004-12-28,27.4117
2004-12-29,27.2167
2004-12-30,27.05
2004-12-31,27.19
2005-01-03,27.19
2005-01-04,26.4733
2005-01-05,26.3067
2005-01-06,26.32
2005-01-07,26.2733
2005-01-10,26.6765
2005-01-11,26.9967
2005-01-12,27.5
2005-01-13,27.54
2005-01-14,27.7767
2005-01-18,27.6467
2005-01-19,27.2967
2005-01-20,27.1067
2005-01-21,26.7202
2005-01-24,26.69
2005-01-25,26.6033
2005-01-26,26.6067
2005-01-27,26.8498
2005-01-28,26.2
2005-01-31,26.75
2005-02-01,27.5167
2005-02-02,27.3667
2005-02-03,27.3067
2005-02-04,27.726
2005-02-07,27.6467
2005-02-08,27.9733
2005-02-09,28.6347
2005-02-10,28.99
2005-02-11,29.8643
2005-02-14,29.8
2005-02-15,30.05
2005-02-16,29.89
2005-02-17,29.5667
2005-02-18,29.9957
2005-02-22,29.4
2005-02-23,29.8333
2005-02-24,29.8633
2005-02-25,30.268
2005-02-28,30.1969
2005-03-01,30.3333
2005-03-02,30.5453
2005-03-03,29.99
2005-03-04,30.0567
2005-03-07,29.9167
2005-03-08,29.55
2005-03-09,29.2012
2005-03-10,29.3167
2005-03-11,29.0697
2005-03-14,28.85
2005-03-15,28.9934
2005-03-16,28.45
2005-03-17,28.6715
2005-03-18,28.7067
2005-03-21,28.7867
2005-03-22,28.7576
2005-03-23,28.71
2005-03-24,28.75
2005-03-28,28.9633
2005-03-29,28.6667
2005-03-30,29.4633
2005-03-31,29.7667
2005-04-01,29.65
2005-04-04,29.33
2005-04-05,29.7167
2005-04-06,30.3067
2005-04-07,30.34
2005-04-08,30.1133
2005-04-11,30.11
2005-04-12,30.8367
2005-04-13,30.53
2005-04-14,29.88
2005-04-15,30.01
2005-04-18,28.99
2005-04-19,29.5333
2005-04-20,29.2933
2005-04-21,29.64
2005-04-22,29.3333
2005-04-25,29.6933
2005-04-26,29.1667
2005-04-27,30.18
2005-04-28,29.6433
2005-04-29,30.499
2005-05-02,30.7219
2005-05-03,31.4833
2005-05-04,32.384
2005-05-05,32.157
2005-05-06,32.44
2005-05-09,32.78
2005-05-10,32.42
2005-05-11,32.3067
2005-05-12,32.2067
2005-05-13,31.58
2005-05-16,31.7933
2005-05-17,32.1933
2005-05-18,32.17
2005-05-19,32.2
2005-05-20,32.4533
2005-05-23,32.3103
2005-05-24,32.3217
2005-05-25,32.34
2005-05-26,32.95
2005-05-27,32.98
2005-05-31,32.8367
2005-06-01,32.7933
2005-06-02,32.5167
2005-06-03,32.86
2005-06-06,33.4
2005-06-07,33.57
2005-06-08,33.5167
2005-06-09,34.34
2005-06-10,34.328
2005-06-13,34.4233
2005-06-14,34.8058
2005-06-15,35.29
2005-06-16,35.4381
2005-06-17,35.5767
2005-06-20,35.5067
2005-06-21,35.6388
2005-06-22,35.6534
2005-06-23,35.6667
2005-06-24,35.6133
2005-06-27,35.2567
2005-06-28,35.9364
2005-06-29,36.0
2005-06-30,36.0
