Date,Closing Price
2004-11-01,13.73
2004-11-02,13.86
2004-11-03,13.8965
2004-11-04,14.0
2004-11-05,14.05
2004-11-08,14.08
2004-11-09,14.08
2004-11-10,14.12
2004-11-11,14.16
2004-11-12,14.1
2004-11-15,14.35
2004-11-16,14.1
2004-11-17,14.2
2004-11-18,14.05
2004-11-19,14.05
2004-11-22,14.18
2004-11-23,14.12
2004-11-24,13.97
2004-11-26,13.9
2004-11-29,14.05
2004-11-30,13.89
2004-12-01,14.05
2004-12-02,14.16
2004-12-03,14.35
2004-12-06,14.2
2004-12-07,14.01
2004-12-08,14.09
2004-12-09,13.75
2004-12-10,13.68
2004-12-13,13.69
2004-12-14,13.51
2004-12-15,13.36
2004-12-16,13.44
2004-12-17,13.2864
2004-12-20,13.28
2004-12-21,13.36
2004-12-22,13.56
2004-12-23,13.61
2004-12-27,13.43
2004-12-28,13.67
2004-12-29,13.4
2004-12-30,13.4
2004-12-31,13.33
2005-01-03,13.22
2005-01-04,13.48
2005-01-05,13.0
2005-01-06,13.45
2005-01-07,13.76
2005-01-10,13.4
2005-01-11,13.45
2005-01-12,13.5
2005-01-13,13.0
2005-01-14,13.86
2005-01-18,13.25
2005-01-19,13.21
2005-01-20,13.16
2005-01-21,13.18
2005-01-24,13.1562
2005-01-25,13.13
2005-01-26,13.0
2005-01-27,13.05
2005-01-28,12.95
2005-01-31,12.97
2005-02-01,13.07
2005-02-02,12.96
2005-02-03,12.98
2005-02-04,13.26
2005-02-07,13.27
2005-02-08,13.35
2005-02-09,13.26
2005-02-10,13.58
2005-02-11,13.85
2005-02-14,13.79
2005-02-15,13.68
2005-02-16,14.02
2005-02-17,14.03
2005-02-18,13.92
2005-02-22,13.7
2005-02-23,13.8
2005-02-24,13.75
2005-02-25,13.98
2005-02-28,13.8
2005-03-01,14.07
2005-03-02,14.03
2005-03-03,13.94
2005-03-04,14.01
2005-03-07,14.05
2005-03-08,14.03
2005-03-09,14.05
2005-03-10,13.91
2005-03-11,13.71
2005-03-14,13.68
2005-03-15,13.51
2005-03-16,13.38
2005-03-17,13.5
2005-03-18,13.61
2005-03-21,13.41
2005-03-22,13.28
2005-03-23,13.06
2005-03-24,12.96
2005-03-28,12.76
2005-03-29,12.8
2005-03-30,13.35
2005-03-31,13.5
2005-04-01,13.01
2005-04-04,12.98
2005-04-05,13.21
2005-04-06,13.19
2005-04-07,13.3
2005-04-08,13.06
2005-04-11,13.01
2005-04-12,13.08
2005-04-13,13.31
2005-04-14,13.28
2005-04-15,13.11
2005-04-18,13.12
2005-04-19,13.2
2005-04-20,13.15
2005-04-21,13.11
2005-04-22,12.85
2005-04-25,13.16
2005-04-26,12.8759
2005-04-27,13.04
2005-04-28,12.91
2005-04-29,12.9978
2005-05-02,13.0
2005-05-03,13.01
2005-05-04,12.95
2005-05-05,12.89
2005-05-06,12.83
2005-05-09,12.95
2005-05-10,12.9
2005-05-11,12.8
2005-05-12,12.59
2005-05-13,12.652
2005-05-16,12.88
2005-05-17,12.92
2005-05-18,13.06
2005-05-19,13.15
2005-05-20,13.2
2005-05-23,13.53
2005-05-24,13.65
2005-05-25,13.62
2005-05-26,13.85
2005-05-27,14.18
2005-05-31,14.401
2005-06-01,14.05
2005-06-02,14.0
2005-06-03,14.09
2005-06-06,14.37
2005-06-07,14.45
2005-06-08,14.36
2005-06-09,14.25
2005-06-10,14.24
2005-06-13,14.36
2005-06-14,14.41
2005-06-15,14.2499
2005-06-16,14.13
2005-06-17,14.17
2005-06-20,13.7973
2005-06-21,14.15
2005-06-22,14.23
2005-06-23,14.08
2005-06-24,14.46
2005-06-27,14.49
2005-06-28,14.68
2005-06-29,14.6
2005-06-30,14.3
2005-07-01,14.57
2005-07-05,14.9
2005-07-06,14.59
2005-07-07,14.85
2005-07-08,15.25
2005-07-11,15.83
2005-07-12,15.98
2005-07-13,15.93
2005-07-14,15.68
2005-07-15,15.78
2005-07-18,15.78
2005-07-19,16.1
2005-07-20,16.56
2005-07-21,16.02
2005-07-22,16.1
2005-07-25,15.96
2005-07-26,16.08
2005-07-27,16.07
2005-07-28,16.24
2005-07-29,16.11
2005-08-01,16.2
2005-08-02,16.2
2005-08-03,16.19
2005-08-04,15.71
2005-08-05,14.98
2005-08-08,14.78
2005-08-09,14.75
2005-08-10,15.35
2005-08-11,15.28
2005-08-12,14.8
2005-08-15,14.98
2005-08-16,15.28
2005-08-17,14.9
2005-08-18,15.03
2005-08-19,14.9
2005-08-22,14.8
2005-08-23,14.79
2005-08-24,14.95
2005-08-25,15.11
2005-08-26,14.92
2005-08-29,15.05
2005-08-30,15.0
2005-08-31,15.0
2005-09-01,14.97
2005-09-02,14.91
2005-09-06,15.73
2005-09-07,15.63
2005-09-08,15.61
2005-09-09,15.94
2005-09-12,15.75
2005-09-13,15.38
2005-09-14,15.19
2005-09-15,15.25
2005-09-16,15.48
2005-09-19,14.99
2005-09-20,15.12
2005-09-21,14.95
2005-09-22,15.03
2005-09-23,15.22
2005-09-26,15.31
2005-09-27,15.05
2005-09-28,14.83
2005-09-29,15.12
2005-09-30,15.38
2005-10-03,15.2
2005-10-04,15.15
2005-10-05,14.96
2005-10-06,14.98
2005-10-07,14.95
2005-10-10,14.93
2005-10-11,14.33
2005-10-12,13.91
2005-10-13,13.83
2005-10-14,14.31
2005-10-17,14.55
2005-10-18,14.36
2005-10-19,14.26
2005-10-20,13.79
2005-10-21,13.9
2005-10-24,14.35
2005-10-25,14.03
2005-10-26,13.91
2005-10-27,13.94
2005-10-28,14.54
2005-10-31,14.6
2005-11-01,14.31
2005-11-02,14.2499
2005-11-03,14.02
2005-11-04,13.9
2005-11-07,13.49
2005-11-08,13.15
2005-11-09,13.72
2005-11-10,13.99
2005-11-11,14.11
2005-11-14,14.05
2005-11-15,14.01
2005-11-16,13.81
2005-11-17,14.1399
2005-11-18,14.4199
2005-11-21,14.38
2005-11-22,14.9
2005-11-23,15.04
2005-11-25,15.07
2005-11-28,14.43
2005-11-29,15.12
2005-11-30,15.24
2005-12-01,15.15
2005-12-02,14.71
2005-12-05,14.56
2005-12-06,15.02
2005-12-07,14.8896
2005-12-08,15.02
2005-12-09,15.14
2005-12-12,15.25
2005-12-13,14.96
2005-12-14,14.91
2005-12-15,14.75
2005-12-16,14.85
2005-12-19,14.78
2005-12-20,14.76
2005-12-21,15.16
2005-12-22,15.2
2005-12-23,15.2
2005-12-27,15.23
2005-12-28,15.06
2005-12-29,15.0889
2005-12-30,15.4
2006-01-03,15.28
2006-01-04,15.27
2006-01-05,15.2
2006-01-06,15.2899
2006-01-09,15.21
2006-01-10,15.33
2006-01-11,15.4
2006-01-12,15.31
2006-01-13,15.02
2006-01-17,14.88
2006-01-18,14.84
2006-01-19,14.96
2006-01-20,14.8
2006-01-23,14.98
2006-01-24,14.98
2006-01-25,15.27
2006-01-26,15.41
2006-01-27,15.61
2006-01-30,15.44
2006-01-31,15.3
2006-02-01,15.19
2006-02-02,14.88
2006-02-03,14.49
2006-02-06,14.6795
2006-02-07,14.88
2006-02-08,15.05
2006-02-09,14.76
2006-02-10,14.72
2006-02-13,14.95
2006-02-14,15.0
2006-02-15,15.07
2006-02-16,14.96
2006-02-17,15.1
2006-02-21,14.92
2006-02-22,14.96
2006-02-23,14.73
2006-02-24,14.69
2006-02-27,15.19
2006-02-28,15.0
2006-03-01,15.42
2006-03-02,15.28
2006-03-03,15.05
2006-03-06,15.18
2006-03-07,15.26
2006-03-08,15.35
2006-03-09,15.56
2006-03-10,15.83
2006-03-13,15.66
2006-03-14,15.74
2006-03-15,16.09
2006-03-16,16.63
2006-03-17,17.0
2006-03-20,16.65
2006-03-21,16.65
2006-03-22,17.01
2006-03-23,17.14
2006-03-24,16.78
2006-03-27,16.7
2006-03-28,16.74
2006-03-29,17.2
2006-03-30,16.97
2006-03-31,17.19
2006-04-03,16.76
2006-04-04,16.8
2006-04-05,16.9
2006-04-06,16.76
2006-04-07,16.49
2006-04-10,16.3
2006-04-11,16.09
2006-04-12,15.85
2006-04-13,15.77
2006-04-17,15.63
2006-04-18,15.86
2006-04-19,15.99
2006-04-20,16.0
2006-04-21,15.76
2006-04-24,15.9
2006-04-25,15.8
2006-04-26,16.1
2006-04-27,15.9
2006-04-28,15.72
2006-05-01,15.37
2006-05-02,15.5
2006-05-03,15.47
2006-05-04,15.44
2006-05-05,15.88
2006-05-08,15.5
2006-05-09,15.25
2006-05-10,15.42
2006-05-11,15.03
2006-05-12,14.88
2006-05-15,15.22
2006-05-16,15.26
2006-05-17,15.02
2006-05-18,14.91
2006-05-19,14.9
2006-05-22,14.82
2006-05-23,14.84
2006-05-24,14.77
2006-05-25,15.09
2006-05-26,15.01
2006-05-30,14.81
2006-05-31,15.19
2006-06-01,15.46
2006-06-02,15.6
2006-06-05,15.51
2006-06-06,15.49
2006-06-07,15.26
2006-06-08,15.39
2006-06-09,15.3
2006-06-12,15.26
2006-06-13,14.99
2006-06-14,14.83
2006-06-15,15.08
2006-06-16,15.03
2006-06-19,14.66
2006-06-20,14.8
2006-06-21,14.74
2006-06-22,14.66
2006-06-23,14.69
2006-06-26,15.01
2006-06-27,14.98
2006-06-28,15.08
2006-06-29,15.66
2006-06-30,16.255
2006-07-03,16.13
2006-07-05,16.24
2006-07-06,16.23
2006-07-07,15.94
2006-07-10,16.05
2006-07-11,16.15
2006-07-12,16.15
2006-07-13,16.06
2006-07-14,15.88
2006-07-17,15.71
2006-07-18,16.09
2006-07-19,16.4
2006-07-20,16.02
2006-07-21,15.83
2006-07-24,16.05
2006-07-25,16.14
2006-07-26,15.98
2006-07-27,16.0
2006-07-28,16.15
2006-07-31,15.93
2006-08-01,15.92
2006-08-02,16.15
2006-08-03,16.25
2006-08-04,16.25
2006-08-07,16.4
2006-08-08,16.35
2006-08-09,16.49
2006-08-10,16.36
2006-08-11,16.41
2006-08-14,16.53
2006-08-15,16.81
2006-08-16,16.81
2006-08-17,16.87
2006-08-18,16.85
2006-08-21,16.95
2006-08-22,17.0
2006-08-23,16.9
2006-08-24,16.93
2006-08-25,17.01
2006-08-28,17.3584
2006-08-29,17.5
2006-08-30,17.64
2006-08-31,17.51
2006-09-01,17.24
2006-09-05,17.24
2006-09-06,17.06
2006-09-07,16.89
2006-09-08,16.9998
2006-09-11,17.0432
2006-09-12,17.26
2006-09-13,17.09
2006-09-14,17.0991
2006-09-15,17.75
2006-09-18,17.5
2006-09-19,17.69
2006-09-20,17.42
2006-09-21,17.58
2006-09-22,17.49
2006-09-25,17.45
2006-09-26,17.4
2006-09-27,17.5
2006-09-28,17.56
2006-09-29,17.3025
2006-10-02,17.2484
2006-10-03,17.0785
2006-10-04,17.63
2006-10-05,17.79
2006-10-06,17.6992
2006-10-09,17.83
2006-10-10,17.72
2006-10-11,17.61
2006-10-12,17.72
2006-10-13,17.91
2006-10-16,18.0
2006-10-17,17.98
2006-10-18,18.14
2006-10-19,18.29
2006-10-20,18.07
2006-10-23,18.18
2006-10-24,17.9786
2006-10-25,18.14
2006-10-26,18.6
2006-10-27,18.35
2006-10-30,18.48
2006-10-31,18.39
2006-11-01,18.2
2006-11-02,17.97
2006-11-03,17.35
2006-11-06,17.75
2006-11-07,17.51
2006-11-08,17.58
2006-11-09,17.43
2006-11-10,17.59
2006-11-13,17.69
2006-11-14,17.5
2006-11-15,17.63
2006-11-16,17.49
2006-11-17,17.45
2006-11-20,17.9899
2006-11-21,18.13
2006-11-22,18.1
2006-11-24,18.32
2006-11-27,17.77
2006-11-28,17.97
2006-11-29,18.18
2006-11-30,18.35
2006-12-01,18.37
2006-12-04,18.89
2006-12-05,18.63
2006-12-06,18.608
2006-12-07,18.4789
2006-12-08,18.45
2006-12-11,18.56
2006-12-12,18.5
2006-12-13,18.02
2006-12-14,18.05
2006-12-15,18.08
2006-12-18,17.75
2006-12-19,17.74
2006-12-20,17.9
2006-12-21,17.8
2006-12-22,17.65
2006-12-26,17.77
2006-12-27,18.05
2006-12-28,18.03
2006-12-29,18.17
2007-01-03,18.52
2007-01-04,18.72
2007-01-05,18.21
2007-01-08,17.99
2007-01-09,18.22
2007-01-10,18.36
2007-01-11,18.48
2007-01-12,18.69
2007-01-16,18.7
2007-01-17,18.7598
2007-01-18,18.5399
2007-01-19,18.73
2007-01-22,18.89
2007-01-23,18.75
2007-01-24,18.8
2007-01-25,18.81
2007-01-26,18.9
2007-01-29,19.12
2007-01-30,19.43
2007-01-31,19.73
2007-02-01,19.73
2007-02-02,19.95
2007-02-05,19.64
2007-02-06,19.7
2007-02-07,20.14
2007-02-08,19.83
2007-02-09,19.72
2007-02-12,19.4199
2007-02-13,19.96
2007-02-14,19.84
2007-02-15,19.84
2007-02-16,19.94
2007-02-20,20.05
2007-02-21,19.86
2007-02-22,19.7
2007-02-23,19.31
2007-02-26,19.08
2007-02-27,18.73
2007-02-28,18.99
2007-03-01,18.85
2007-03-02,18.86
2007-03-05,18.2
2007-03-06,18.78
2007-03-07,18.92
2007-03-08,19.63
2007-03-09,20.03
2007-03-12,20.46
2007-03-13,19.92
2007-03-14,19.89
2007-03-15,20.05
2007-03-16,19.94
2007-03-19,19.93
2007-03-20,20.02
2007-03-21,19.57
2007-03-22,19.54
2007-03-23,19.45
2007-03-26,19.3
2007-03-27,19.14
2007-03-28,18.91
2007-03-29,18.7
2007-03-30,18.94
2007-04-02,19.18
2007-04-03,19.11
2007-04-04,19.08
2007-04-05,19.18
2007-04-09,19.01
2007-04-10,19.09
2007-04-11,18.85
2007-04-12,18.76
2007-04-13,19.0
2007-04-16,19.0574
2007-04-17,19.33
2007-04-18,19.17
2007-04-19,19.06
2007-04-20,19.19
2007-04-23,19.24
2007-04-24,19.2217
2007-04-25,19.2984
2007-04-26,19.28
2007-04-27,19.17
2007-04-30,18.72
2007-05-01,18.66
2007-05-02,18.71
2007-05-03,18.53
2007-05-04,18.34
2007-05-07,18.19
2007-05-08,17.95
2007-05-09,18.05
2007-05-10,17.65
2007-05-11,17.85
2007-05-14,17.75
2007-05-15,17.62
2007-05-16,17.62
2007-05-17,17.26
2007-05-18,17.01
2007-05-21,17.53
2007-05-22,17.67
2007-05-23,17.34
2007-05-24,17.22
2007-05-25,17.17
2007-05-29,17.53
2007-05-30,17.95
2007-05-31,17.85
2007-06-01,18.04
2007-06-04,18.1
2007-06-05,17.63
2007-06-06,17.47
2007-06-07,17.2
2007-06-08,17.24
2007-06-11,17.08
2007-06-12,16.7
2007-06-13,16.73
2007-06-14,16.56
2007-06-15,16.83
2007-06-18,16.93
2007-06-19,16.87
2007-06-20,16.41
2007-06-21,16.6
2007-06-22,16.71
2007-06-25,16.7
2007-06-26,16.83
2007-06-27,17.55
2007-06-28,16.76
2007-06-29,16.45
2007-07-02,16.68
2007-07-03,16.4
2007-07-05,16.47
2007-07-06,16.65
2007-07-09,16.55
2007-07-10,16.29
2007-07-11,16.28
2007-07-12,16.47
2007-07-13,16.45
2007-07-16,16.24
2007-07-17,16.27
2007-07-18,16.17
2007-07-19,16.12
2007-07-20,15.74
2007-07-23,15.54
2007-07-24,15.06
2007-07-25,14.88
2007-07-26,14.5001
2007-07-27,14.04
2007-07-30,13.85
2007-07-31,13.97
2007-08-01,14.1
2007-08-02,14.36
2007-08-03,14.19
2007-08-06,15.0
2007-08-07,14.99
2007-08-08,15.3
2007-08-09,15.5
2007-08-10,15.06
2007-08-13,15.12
2007-08-14,14.6379
2007-08-15,14.3
2007-08-16,14.8
2007-08-17,15.16
2007-08-20,15.2
2007-08-21,15.23
2007-08-22,15.23
2007-08-23,15.27
2007-08-24,15.39
2007-08-27,14.97
2007-08-28,14.45
2007-08-29,15.01
2007-08-30,15.01
2007-08-31,15.37
2007-09-04,15.68
2007-09-05,15.3
2007-09-06,15.08
2007-09-07,14.75
2007-09-10,14.6
2007-09-11,14.64
2007-09-12,14.53
2007-09-13,14.9
2007-09-14,15.07
2007-09-17,15.23
2007-09-18,15.71
2007-09-19,15.72
2007-09-20,15.59
2007-09-21,15.8
2007-09-24,15.94
2007-09-25,15.75
2007-09-26,15.76
2007-09-27,15.63
2007-09-28,15.34
2007-10-01,15.69
2007-10-02,15.88
2007-10-03,15.8
2007-10-04,15.9
2007-10-05,16.56
2007-10-08,16.33
2007-10-09,16.53
2007-10-10,16.48
2007-10-11,16.33
2007-10-12,16.39
2007-10-15,16.14
2007-10-16,15.88
2007-10-17,15.75
2007-10-18,15.63
2007-10-19,14.86
2007-10-22,15.1
2007-10-23,14.99
2007-10-24,14.9
2007-10-25,14.81
2007-10-26,14.86
2007-10-29,15.0
2007-10-30,14.9
2007-10-31,15.72
2007-11-01,15.23
2007-11-02,15.13
2007-11-05,14.91
2007-11-06,14.82
2007-11-07,14.29
2007-11-08,14.22
2007-11-09,14.35
2007-11-12,14.62
2007-11-13,15.2
2007-11-14,14.96
2007-11-15,15.03
2007-11-16,14.72
2007-11-19,14.55
2007-11-20,14.23
2007-11-21,14.07
2007-11-23,14.36
2007-11-26,13.6
2007-11-27,13.79
2007-11-28,14.1
2007-11-29,14.02
2007-11-30,14.21
2007-12-03,14.2
2007-12-04,13.89
2007-12-05,14.2
2007-12-06,14.58
2007-12-07,14.73
2007-12-10,15.14
2007-12-11,14.34
2007-12-12,14.01
2007-12-13,13.87
2007-12-14,13.36
2007-12-17,13.17
2007-12-18,13.58
2007-12-19,13.65
2007-12-20,14.11
2007-12-21,14.28
2007-12-24,14.65
2007-12-26,14.6
2007-12-27,14.42
2007-12-28,14.0
2007-12-31,14.23
2008-01-02,13.95
2008-01-03,13.51
2008-01-04,13.26
2008-01-07,13.2
2008-01-08,12.78
2008-01-09,13.0
2008-01-10,13.13
2008-01-11,13.2
2008-01-14,13.35
2008-01-15,12.99
2008-01-16,13.37
2008-01-17,13.49
2008-01-18,13.29
2008-01-22,13.38
2008-01-23,14.25
2008-01-24,14.09
2008-01-25,14.3
2008-01-28,14.96
2008-01-29,14.98
2008-01-30,14.56
2008-01-31,15.09
2008-02-01,15.56
2008-02-04,15.29
2008-02-05,14.71
2008-02-06,14.26
2008-02-07,14.35
2008-02-08,14.07
2008-02-11,13.93
2008-02-12,14.24
2008-02-13,14.6
2008-02-14,14.18
2008-02-15,14.09
2008-02-19,14.5
2008-02-20,14.99
2008-02-21,14.83
2008-02-22,15.01
2008-02-25,15.01
2008-02-26,15.44
2008-02-27,15.63
2008-02-28,15.21
2008-02-29,15.06
2008-03-03,15.2
2008-03-04,15.29
2008-03-05,15.14
2008-03-06,14.97
2008-03-07,15.03
2008-03-10,15.04
2008-03-11,16.04
2008-03-12,15.6
2008-03-13,15.95
2008-03-14,15.66
2008-03-17,15.76
2008-03-18,16.66
2008-03-19,16.73
2008-03-20,17.0385
2008-03-24,17.24
2008-03-25,16.5
2008-03-26,16.76
2008-03-27,16.39
2008-03-28,15.82
2008-03-31,16.17
2008-04-01,16.78
2008-04-02,17.32
2008-04-03,17.19
2008-04-04,16.94
2008-04-07,17.02
2008-04-08,17.14
2008-04-09,16.62
2008-04-10,16.65
2008-04-11,16.48
2008-04-14,16.49
2008-04-15,16.7
2008-04-16,17.05
2008-04-17,17.08
2008-04-18,17.18
2008-04-21,16.94
