Date,Closing Price
2004-11-01,18.76
2004-11-02,19.0
2004-11-03,18.99
2004-11-04,19.5
2004-11-05,19.69
2004-11-08,19.81
2004-11-09,19.92
2004-11-10,19.05
2004-11-11,19.4
2004-11-12,19.34
2004-11-15,19.42
2004-11-16,21.23
2004-11-17,20.13
2004-11-18,20.39
2004-11-19,20.02
2004-11-22,20.16
2004-11-23,20.16
2004-11-24,20.07
2004-11-26,20.17
2004-11-29,20.1
2004-11-30,20.0
2004-12-01,20.52
2004-12-02,20.74
2004-12-03,20.99
2004-12-06,21.33
2004-12-07,21.1
2004-12-08,21.02
2004-12-09,20.84
2004-12-10,20.81
2004-12-13,20.6938
2004-12-14,20.6
2004-12-15,20.71
2004-12-16,21.03
2004-12-17,20.9707
2004-12-20,20.98
2004-12-21,21.21
2004-12-22,21.1901
2004-12-23,21.06
2004-12-27,21.09
2004-12-28,21.11
2004-12-29,21.09
2004-12-30,21.13
2004-12-31,20.97
2005-01-03,21.05
2005-01-04,20.9
2005-01-05,21.0
2005-01-06,20.96
2005-01-07,20.84
2005-01-10,20.81
2005-01-11,20.1
2005-01-12,20.15
2005-01-13,19.95
2005-01-14,20.07
2005-01-18,20.58
2005-01-19,20.2803
2005-01-20,20.05
2005-01-21,19.9804
2005-01-24,19.89
2005-01-25,19.66
2005-01-26,19.59
2005-01-27,19.49
2005-01-28,19.34
2005-01-31,19.59
2005-02-01,19.82
2005-02-02,19.57
2005-02-03,19.9
2005-02-04,20.448
2005-02-07,20.37
2005-02-08,20.45
2005-02-09,21.43
2005-02-10,21.35
2005-02-11,21.4
2005-02-14,20.6918
2005-02-15,21.06
2005-02-16,21.78
2005-02-17,20.892
2005-02-18,21.02
2005-02-22,20.57
2005-02-23,20.38
2005-02-24,20.41
2005-02-25,20.66
2005-02-28,20.8
2005-03-01,20.7204
2005-03-02,20.7105
2005-03-03,20.81
2005-03-04,20.56
2005-03-07,20.75
2005-03-08,20.93
2005-03-09,20.51
2005-03-10,20.59
2005-03-11,19.97
2005-03-14,20.23
2005-03-15,20.14
2005-03-16,20.24
2005-03-17,20.38
2005-03-18,20.108
2005-03-21,20.15
2005-03-22,20.0691
2005-03-23,19.76
2005-03-24,19.81
2005-03-28,20.05
2005-03-29,21.58
2005-03-30,21.99
2005-03-31,21.94
2005-04-01,21.71
2005-04-04,21.91
2005-04-05,21.57
2005-04-06,21.77
2005-04-07,21.83
2005-04-08,21.64
2005-04-11,21.45
2005-04-12,21.71
2005-04-13,21.95
2005-04-14,21.45
2005-04-15,20.83
2005-04-18,20.43
2005-04-19,20.65
2005-04-20,20.59
2005-04-21,20.87
2005-04-22,20.73
2005-04-25,21.06
2005-04-26,20.47
2005-04-27,20.17
2005-04-28,20.17
2005-04-29,20.47
2005-05-02,20.96
2005-05-03,21.0
2005-05-04,21.03
2005-05-05,20.93
2005-05-06,20.9934
2005-05-09,20.74
2005-05-10,20.44
2005-05-11,20.56
2005-05-12,20.38
2005-05-13,20.6
2005-05-16,21.0
2005-05-17,22.38
2005-05-18,22.47
2005-05-19,22.43
2005-05-20,22.5
2005-05-23,22.56
2005-05-24,22.685
2005-05-25,22.82
2005-05-26,22.8
2005-05-27,22.7748
2005-05-31,22.5307
2005-06-01,22.69
2005-06-02,22.68
2005-06-03,22.72
2005-06-06,22.5808
2005-06-07,22.65
2005-06-08,22.43
2005-06-09,22.76
2005-06-10,23.56
