Date,Closing Price
2004-11-01,20.1
2004-11-02,19.69
2004-11-03,21.2419
2004-11-04,22.44
2004-11-05,22.37
2004-11-08,22.27
2004-11-09,22.8769
2004-11-10,22.54
2004-11-11,22.67
2004-11-12,23.0
2004-11-15,23.5443
2004-11-16,23.31
2004-11-17,23.48
2004-11-18,23.38
2004-11-19,23.28
2004-11-22,23.34
2004-11-23,23.69
2004-11-24,23.96
2004-11-26,24.19
2004-11-29,24.75
2004-11-30,24.88
2004-12-01,27.09
2004-12-02,26.65
2004-12-03,26.65
2004-12-06,27.32
2004-12-07,27.46
2004-12-08,28.0
2004-12-09,27.84
2004-12-10,28.24
2004-12-13,28.8913
2004-12-14,30.02
2004-12-15,30.0
2004-12-16,29.518
2004-12-17,29.75
2004-12-20,29.28
2004-12-21,29.4461
2004-12-22,29.4464
2004-12-23,29.44
2004-12-27,29.28
2004-12-28,29.635
2004-12-29,29.7
2004-12-30,29.88
2004-12-31,29.69
2005-01-03,29.66
2005-01-04,29.1
2005-01-05,29.7
2005-01-06,29.69
2005-01-07,29.42
2005-01-10,30.65
2005-01-11,31.18
2005-01-12,31.6
2005-01-13,32.42
2005-01-14,33.26
2005-01-18,33.26
2005-01-19,32.94
2005-01-20,32.42
2005-01-21,32.86
2005-01-24,32.73
2005-01-25,32.8
2005-01-26,33.01
2005-01-27,33.5
2005-01-28,33.61
2005-01-31,34.27
2005-02-01,34.8202
2005-02-02,34.65
2005-02-03,34.1802
2005-02-04,34.36
2005-02-07,34.03
2005-02-08,34.19
2005-02-09,33.22
2005-02-10,33.05
2005-02-11,33.42
2005-02-14,33.21
2005-02-15,33.06
2005-02-16,33.44
2005-02-17,33.67
2005-02-18,33.36
2005-02-22,32.4286
2005-02-23,32.4
2005-02-24,33.14
2005-02-25,33.33
2005-02-28,33.27
2005-03-01,33.75
2005-03-02,34.11
2005-03-03,34.25
2005-03-04,34.86
2005-03-07,34.53
2005-03-08,33.76
2005-03-09,33.35
2005-03-10,33.47
2005-03-11,33.72
2005-03-14,34.13
2005-03-15,33.8041
2005-03-16,33.75
2005-03-17,33.4514
2005-03-18,31.9172
2005-03-21,31.56
2005-03-22,31.22
2005-03-23,30.97
2005-03-24,31.45
2005-03-28,31.23
2005-03-29,31.86
2005-03-30,32.83
2005-03-31,31.94
2005-04-01,32.57
2005-04-04,32.4575
2005-04-05,33.44
2005-04-06,34.0
2005-04-07,34.49
2005-04-08,34.09
2005-04-11,34.04
2005-04-12,34.09
2005-04-13,34.06
2005-04-14,32.73
2005-04-15,32.3
2005-04-18,31.58
2005-04-19,32.52
2005-04-20,31.5
2005-04-21,31.37
2005-04-22,30.96
2005-04-25,31.72
2005-04-26,32.15
2005-04-27,32.84
2005-04-28,32.4
2005-04-29,34.6519
2005-05-02,34.71
2005-05-03,34.4
2005-05-04,35.12
2005-05-05,34.9749
2005-05-06,34.8
2005-05-09,36.33
2005-05-10,36.5
2005-05-11,36.48
2005-05-12,35.89
2005-05-13,34.69
2005-05-16,35.49
2005-05-17,35.78
2005-05-18,36.35
2005-05-19,36.54
2005-05-20,36.31
2005-05-23,36.36
2005-05-24,36.26
2005-05-25,36.18
2005-05-26,36.68
2005-05-27,36.89
2005-05-31,36.58
2005-06-01,37.24
2005-06-02,37.46
2005-06-03,37.774
2005-06-06,38.21
2005-06-07,38.17
2005-06-08,37.5
2005-06-09,37.9264
2005-06-10,38.15
2005-06-13,38.56
2005-06-14,39.48
2005-06-15,38.8999
2005-06-16,38.7233
2005-06-17,39.4155
2005-06-20,39.38
