Date,Closing Price
2004-11-01,76.91
2004-11-02,76.5677
2004-11-03,75.2686
2004-11-04,78.08
2004-11-05,81.4
2004-11-08,82.0
2004-11-09,81.19
2004-11-10,80.85
2004-11-11,81.88
2004-11-12,82.68
2004-11-15,82.28
2004-11-16,81.77
2004-11-17,82.23
2004-11-18,82.37
2004-11-19,80.95
2004-11-22,80.74
2004-11-23,80.24
2004-11-24,80.29
2004-11-26,80.16
2004-11-29,80.21
2004-11-30,80.0132
2004-12-01,80.45
2004-12-02,79.8
2004-12-03,81.08
2004-12-06,80.37
2004-12-07,80.2
2004-12-08,79.24
2004-12-09,78.97
2004-12-10,78.8
2004-12-13,78.4565
2004-12-14,78.5
2004-12-15,79.09
2004-12-16,79.9
2004-12-17,80.62
2004-12-20,80.75
2004-12-21,80.8956
2004-12-22,81.4518
2004-12-23,82.56
2004-12-27,82.26
2004-12-28,82.99
2004-12-29,82.75
2004-12-30,82.75
2004-12-31,82.07
2005-01-03,82.4
2005-01-04,81.73
2005-01-05,80.7
2005-01-06,81.48
2005-01-07,82.3
2005-01-10,83.94
2005-01-11,84.71
2005-01-12,84.96
2005-01-13,83.79
2005-01-14,83.97
2005-01-18,82.02
2005-01-19,82.17
2005-01-20,83.02
2005-01-21,81.3213
2005-01-24,81.62
2005-01-25,82.82
2005-01-26,83.42
2005-01-27,82.89
2005-01-28,83.25
2005-01-31,84.36
2005-02-01,84.08
2005-02-02,83.34
2005-02-03,83.34
2005-02-04,84.08
2005-02-07,83.94
2005-02-08,84.34
2005-02-09,84.34
2005-02-10,83.9
2005-02-11,84.0741
2005-02-14,84.6371
2005-02-15,86.19
2005-02-16,86.841
2005-02-17,85.7817
2005-02-18,85.7271
2005-02-22,84.0
2005-02-23,84.0
2005-02-24,84.23
2005-02-25,84.591
2005-02-28,84.2072
2005-03-01,84.47
2005-03-02,84.6333
2005-03-03,84.9
2005-03-04,86.4572
2005-03-07,86.71
2005-03-08,86.38
2005-03-09,86.2021
2005-03-10,86.65
2005-03-11,85.63
2005-03-14,85.9
2005-03-15,85.86
2005-03-16,86.0
2005-03-17,85.9877
2005-03-18,86.1255
2005-03-21,85.67
2005-03-22,85.38
2005-03-23,85.07
2005-03-24,85.28
2005-03-28,85.17
2005-03-29,84.65
2005-03-30,85.98
2005-03-31,85.69
2005-04-01,85.14
2005-04-04,84.7
2005-04-05,84.47
2005-04-06,84.82
2005-04-07,85.16
2005-04-08,84.486
2005-04-11,84.44
2005-04-12,85.25
2005-04-13,83.85
2005-04-14,81.76
2005-04-15,80.86
2005-04-18,76.05
2005-04-19,77.13
2005-04-20,76.3596
2005-04-21,77.9792
2005-04-22,76.66
2005-04-25,77.48
2005-04-26,76.13
2005-04-27,76.6013
2005-04-28,75.43
2005-04-29,76.47
2005-05-02,76.8508
2005-05-03,76.76
2005-05-04,77.35
2005-05-05,77.47
2005-05-06,77.33
2005-05-09,77.4116
2005-05-10,76.61
2005-05-11,77.03
2005-05-12,75.79
2005-05-13,75.61
2005-05-16,76.42
2005-05-17,77.01
2005-05-18,78.11
2005-05-19,77.86
2005-05-20,76.86
2005-05-23,78.53
2005-05-24,78.19
2005-05-25,77.07
2005-05-26,76.98
2005-05-27,77.0021
2005-05-31,76.65
2005-06-01,77.0
2005-06-02,76.57
2005-06-03,76.0
2005-06-06,76.16
2005-06-07,76.34
2005-06-08,76.55
2005-06-09,76.18
2005-06-10,75.79
2005-06-13,76.09
2005-06-14,76.6552
2005-06-15,76.1292
2005-06-16,76.66
2005-06-17,76.92
2005-06-20,77.19
2005-06-21,77.19
2005-06-22,78.25
2005-06-23,76.18
2005-06-24,75.4806
2005-06-27,75.79
2005-06-28,77.085
2005-06-29,76.05
2005-06-30,72.49
2005-07-01,73.0
2005-07-05,73.62
2005-07-06,72.83
2005-07-07,73.81
2005-07-08,75.0
2005-07-11,76.13
2005-07-12,75.0
2005-07-13,75.52
2005-07-14,75.25
2005-07-15,75.45
2005-07-18,74.53
2005-07-19,74.29
2005-07-20,74.65
2005-07-21,74.5493
2005-07-22,74.71
2005-07-25,74.19
2005-07-26,73.78
2005-07-27,73.65
2005-07-28,74.764
2005-07-29,75.0
2005-08-01,75.3
2005-08-02,75.0282
2005-08-03,74.19
2005-08-04,73.04
2005-08-05,73.04
2005-08-08,72.304
2005-08-09,72.0
2005-08-10,72.0
2005-08-11,72.36
2005-08-12,71.98
2005-08-15,72.18
2005-08-16,72.091
2005-08-17,71.79
2005-08-18,71.9194
2005-08-19,72.07
2005-08-22,71.92
2005-08-23,70.6
2005-08-24,71.32
2005-08-25,71.3
2005-08-26,70.99
2005-08-29,71.08
2005-08-30,70.98
2005-08-31,70.926
2005-09-01,70.86
2005-09-02,71.5
2005-09-06,72.7
2005-09-07,73.77
2005-09-08,73.12
2005-09-09,73.52
2005-09-12,74.23
2005-09-13,74.0
2005-09-14,73.72
2005-09-15,73.31
2005-09-16,73.35
2005-09-19,71.63
2005-09-20,72.25
2005-09-21,72.33
2005-09-22,72.57
2005-09-23,72.59
2005-09-26,73.05
2005-09-27,73.18
2005-09-28,72.68
2005-09-29,73.18
2005-09-30,73.36
2005-10-03,72.53
2005-10-04,71.75
2005-10-05,71.17
2005-10-06,71.1096
2005-10-07,71.73
2005-10-10,71.0
2005-10-11,70.53
2005-10-12,70.38
2005-10-13,70.07
2005-10-14,70.4378
2005-10-17,72.4
2005-10-18,74.72
2005-10-19,75.2305
2005-10-20,74.9
2005-10-21,74.89
2005-10-24,75.56
2005-10-25,75.67
2005-10-26,75.17
2005-10-27,74.81
2005-10-28,76.24
2005-10-31,75.98
2005-11-01,74.829
2005-11-02,75.15
2005-11-03,75.1
2005-11-04,75.11
2005-11-07,75.85
2005-11-08,77.0
2005-11-09,76.09
2005-11-10,77.25
2005-11-11,77.75
2005-11-14,77.63
2005-11-15,78.06
2005-11-16,76.98
2005-11-17,77.2
2005-11-18,78.16
2005-11-21,79.23
2005-11-22,78.29
2005-11-23,78.14
2005-11-25,78.32
2005-11-28,78.2
2005-11-29,78.48
2005-11-30,78.6893
2005-12-01,78.48
2005-12-02,79.44
2005-12-05,78.3
2005-12-06,77.7
2005-12-07,77.36
2005-12-08,76.94
2005-12-09,77.86
2005-12-12,77.11
2005-12-13,76.95
2005-12-14,77.55
2005-12-15,77.49
2005-12-16,77.09
2005-12-19,77.51
2005-12-20,77.43
2005-12-21,78.05
2005-12-22,78.64
2005-12-23,78.62
2005-12-27,77.38
2005-12-28,78.21
2005-12-29,78.29
2005-12-30,77.5
2006-01-03,79.11
2006-01-04,78.75
2006-01-05,77.96
2006-01-06,78.63
2006-01-09,78.98
2006-01-10,78.53
2006-01-11,78.09
2006-01-12,77.7
2006-01-13,77.5
2006-01-17,76.9
2006-01-18,77.23
2006-01-19,76.91
2006-01-20,75.29
2006-01-23,75.7
2006-01-24,74.2
2006-01-25,73.0
2006-01-26,72.74
2006-01-27,72.65
2006-01-30,72.65
2006-01-31,72.75
2006-02-01,73.1657
2006-02-02,72.2
2006-02-03,71.1
2006-02-06,71.17
2006-02-07,70.65
2006-02-08,71.0
2006-02-09,72.12
2006-02-10,72.61
2006-02-13,73.78
2006-02-14,74.49
2006-02-15,73.53
2006-02-16,73.05
2006-02-17,73.7672
2006-02-21,73.1971
2006-02-22,72.95
2006-02-23,73.65
2006-02-24,73.47
2006-02-27,73.69
2006-02-28,73.5127
2006-03-01,73.6699
2006-03-02,73.05
2006-03-03,72.88
2006-03-06,71.9508
2006-03-07,72.25
2006-03-08,72.18
2006-03-09,71.83
2006-03-10,72.35
2006-03-13,72.09
2006-03-14,73.46
2006-03-15,74.0
2006-03-16,74.89
2006-03-17,74.78
2006-03-20,75.0
2006-03-21,75.0
2006-03-22,76.06
2006-03-23,76.77
2006-03-24,76.8
2006-03-27,76.84
2006-03-28,76.34
2006-03-29,77.57
2006-03-30,76.52
2006-03-31,75.69
2006-04-03,76.5409
2006-04-04,77.0
2006-04-05,77.39
2006-04-06,81.4
2006-04-07,81.18
2006-04-10,80.98
