Date,Closing Price
2004-11-01,28.12
2004-11-02,28.18
2004-11-03,28.45
2004-11-04,29.02
2004-11-05,29.31
2004-11-08,29.32
2004-11-09,29.8
2004-11-10,29.77
2004-11-11,30.0
2004-11-12,30.02
2004-11-15,27.35
2004-11-16,27.18
2004-11-17,27.12
2004-11-18,27.04
2004-11-19,26.86
2004-11-22,26.61
2004-11-23,26.59
2004-11-24,26.65
2004-11-26,26.6
2004-11-29,26.75
2004-11-30,26.93
2004-12-01,27.24
2004-12-02,27.35
2004-12-03,27.22
2004-12-06,27.32
2004-12-07,27.07
2004-12-08,27.28
2004-12-09,27.17
2004-12-10,27.07
2004-12-13,27.19
2004-12-14,27.3
2004-12-15,27.15
2004-12-16,27.16
2004-12-17,26.89
2004-12-20,27.0
2004-12-21,27.06
2004-12-22,26.94
2004-12-23,27.01
2004-12-27,26.85
2004-12-28,26.97
2004-12-29,26.88
2004-12-30,26.77
2004-12-31,26.68
2005-01-03,26.74
2005-01-04,26.8
2005-01-05,26.79
2005-01-06,26.77
2005-01-07,26.69
2005-01-10,26.81
2005-01-11,26.73
2005-01-12,26.74
2005-01-13,26.31
2005-01-14,26.12
2005-01-18,26.31
2005-01-19,25.8
2005-01-20,25.85
2005-01-21,25.7
2005-01-24,25.72
2005-01-25,26.03
2005-01-26,26.0
2005-01-27,26.57
2005-01-28,26.21
2005-01-31,26.25
2005-02-01,26.38
2005-02-02,26.4
2005-02-03,26.19
2005-02-04,26.3
2005-02-07,26.16
2005-02-08,26.25
2005-02-09,26.11
2005-02-10,26.01
2005-02-11,25.98
2005-02-14,26.02
2005-02-15,25.93
2005-02-16,25.81
2005-02-17,25.63
2005-02-18,25.47
2005-02-22,25.18
2005-02-23,25.18
2005-02-24,25.42
2005-02-25,25.23
2005-02-28,25.15
2005-03-01,25.25
2005-03-02,25.28
2005-03-03,25.15
2005-03-04,25.19
2005-03-07,25.45
2005-03-08,25.38
2005-03-09,25.31
2005-03-10,25.41
2005-03-11,25.05
2005-03-14,25.09
2005-03-15,24.92
2005-03-16,24.65
2005-03-17,24.52
2005-03-18,24.36
2005-03-21,24.17
2005-03-22,23.96
2005-03-23,24.21
2005-03-24,24.3
2005-03-28,24.21
2005-03-29,23.96
2005-03-30,24.17
2005-03-31,24.16
2005-04-01,24.1
2005-04-04,24.2
2005-04-05,24.45
2005-04-06,24.62
2005-04-07,25.06
2005-04-08,24.97
2005-04-11,24.97
2005-04-12,25.34
2005-04-13,24.99
2005-04-14,24.6
2005-04-15,24.48
2005-04-18,24.74
2005-04-19,24.8
2005-04-20,24.32
2005-04-21,25.25
2005-04-22,24.98
2005-04-25,24.98
2005-04-26,24.75
2005-04-27,25.05
2005-04-28,24.63
2005-04-29,25.27
2005-05-02,25.23
2005-05-03,25.32
2005-05-04,25.26
2005-05-05,25.22
2005-05-06,25.23
2005-05-09,25.12
2005-05-10,24.83
2005-05-11,24.91
2005-05-12,25.07
2005-05-13,25.27
2005-05-16,25.49
2005-05-17,25.48
2005-05-18,25.67
2005-05-19,25.9
2005-05-20,25.78
2005-05-23,25.88
2005-05-24,25.75
2005-05-25,25.7
2005-05-26,25.88
2005-05-27,26.08
2005-05-31,25.8
2005-06-01,25.84
2005-06-02,25.79
2005-06-03,25.43
2005-06-06,25.34
2005-06-07,25.53
2005-06-08,25.4
2005-06-09,25.48
2005-06-10,25.43
2005-06-13,25.3
2005-06-14,25.3214
2005-06-15,25.26
2005-06-16,25.02
2005-06-17,25.06
2005-06-20,25.07
2005-06-21,25.11
2005-06-22,25.28
2005-06-23,25.32
2005-06-24,25.09
2005-06-27,25.12
2005-06-28,25.08
2005-06-29,25.1
2005-06-30,24.82
2005-07-01,24.75
2005-07-05,24.97
2005-07-06,24.73
2005-07-07,24.67
2005-07-08,25.08
2005-07-11,25.34
2005-07-12,25.61
2005-07-13,25.65
2005-07-14,25.94
2005-07-15,25.77
2005-07-18,25.67
2005-07-19,25.88
2005-07-20,26.23
2005-07-21,25.91
2005-07-22,25.67
2005-07-25,25.7
2005-07-26,25.55
2005-07-27,25.65
2005-07-28,25.79
2005-07-29,25.64
2005-08-01,25.89
2005-08-02,26.78
2005-08-03,27.21
2005-08-04,27.41
2005-08-05,27.41
2005-08-08,27.17
2005-08-09,27.28
2005-08-10,26.99
2005-08-11,27.16
2005-08-12,26.95
2005-08-15,27.11
2005-08-16,26.8
2005-08-17,26.94
2005-08-18,26.77
2005-08-19,26.73
2005-08-22,26.91
2005-08-23,26.86
2005-08-24,26.81
2005-08-25,27.09
2005-08-26,26.98
2005-08-29,27.17
2005-08-30,27.17
2005-08-31,27.37
2005-09-01,27.2
2005-09-02,26.99
2005-09-06,27.02
2005-09-07,26.85
2005-09-08,26.65
2005-09-09,26.6
2005-09-12,26.62
2005-09-13,26.52
2005-09-14,26.32
