Date,Closing Price
2004-11-01,79.45
2004-11-02,80.24
2004-11-03,80.3533
2004-11-04,81.92
2004-11-05,82.34
2004-11-08,81.95
2004-11-09,81.79
2004-11-10,82.46
2004-11-11,82.32
2004-11-12,82.39
2004-11-15,82.58
2004-11-16,81.91
2004-11-17,83.17
2004-11-18,83.39
2004-11-19,82.74
2004-11-22,83.97
2004-11-23,83.25
2004-11-24,83.08
2004-11-26,83.0
2004-11-29,82.39
2004-11-30,84.2381
2004-12-01,86.38
2004-12-02,86.0
2004-12-03,86.6
2004-12-06,86.43
2004-12-07,86.6777
2004-12-08,86.9
2004-12-09,87.69
2004-12-10,87.46
2004-12-13,87.9136
2004-12-14,88.4882
2004-12-15,88.0889
2004-12-16,88.27
2004-12-17,89.15
2004-12-20,88.67
2004-12-21,88.9661
2004-12-22,89.4841
2004-12-23,89.65
2004-12-27,88.98
2004-12-28,89.925
2004-12-29,89.94
2004-12-30,90.13
2004-12-31,89.8147
2005-01-03,88.53
2005-01-04,87.7
2005-01-05,86.56
2005-01-06,86.84
2005-01-07,86.7
2005-01-10,87.6594
2005-01-11,87.42
2005-01-12,88.02
2005-01-13,87.39
2005-01-14,89.05
2005-01-18,90.7992
2005-01-19,89.04
2005-01-20,88.09
2005-01-21,87.3
2005-01-24,84.3
2005-01-25,87.2
2005-01-26,88.21
2005-01-27,86.25
2005-01-28,85.7
2005-01-31,86.85
2005-02-01,86.1
2005-02-02,84.93
2005-02-03,85.93
2005-02-04,87.048
2005-02-07,87.4756
2005-02-08,88.0899
2005-02-09,88.25
2005-02-10,88.74
2005-02-11,89.58
2005-02-14,89.51
2005-02-15,89.05
2005-02-16,89.37
2005-02-17,89.43
2005-02-18,89.27
2005-02-22,86.67
2005-02-23,87.3
2005-02-24,87.2
2005-02-25,87.825
2005-02-28,86.8681
2005-03-01,86.95
2005-03-02,87.31
2005-03-03,86.46
2005-03-04,87.91
2005-03-07,88.0798
2005-03-08,87.99
2005-03-09,88.05
2005-03-10,88.4579
2005-03-11,88.76
2005-03-14,90.01
2005-03-15,89.71
2005-03-16,88.9
2005-03-17,88.0531
2005-03-18,87.25
2005-03-21,87.42
2005-03-22,86.45
2005-03-23,85.98
2005-03-24,85.5633
2005-03-28,86.92
2005-03-29,86.34
2005-03-30,86.02
2005-03-31,85.11
2005-04-01,83.66
2005-04-04,84.8
2005-04-05,84.75
2005-04-06,84.79
2005-04-07,85.47
2005-04-08,85.31
2005-04-11,85.28
2005-04-12,86.88
2005-04-13,84.8167
2005-04-14,84.69
2005-04-15,84.4
2005-04-18,86.01
2005-04-19,84.12
2005-04-20,82.86
2005-04-21,82.4843
2005-04-22,84.17
2005-04-25,84.44
2005-04-26,82.3
2005-04-27,82.6
2005-04-28,82.11
2005-04-29,82.2
2005-05-02,83.6089
2005-05-03,83.25
2005-05-04,84.04
2005-05-05,85.56
2005-05-06,86.15
2005-05-09,87.02
2005-05-10,86.76
2005-05-11,87.7
2005-05-12,86.65
2005-05-13,85.38
2005-05-16,85.75
2005-05-17,86.0
2005-05-18,86.71
2005-05-19,87.39
2005-05-20,87.498
2005-05-23,88.07
2005-05-24,89.33
2005-05-25,88.54
2005-05-26,88.7
2005-05-27,88.97
2005-05-31,89.44
2005-06-01,90.49
2005-06-02,90.78
2005-06-03,90.8608
2005-06-06,91.44
2005-06-07,92.33
2005-06-08,90.86
2005-06-09,90.71
2005-06-10,89.1
2005-06-13,89.5
2005-06-14,89.2798
2005-06-15,89.85
2005-06-16,91.53
2005-06-17,91.9487
2005-06-20,91.7027
2005-06-21,92.52
2005-06-22,92.32
2005-06-23,90.86
2005-06-24,91.16
2005-06-27,91.0325
2005-06-28,92.55
2005-06-29,92.95
2005-06-30,93.0
2005-07-01,93.14
2005-07-05,93.496
2005-07-06,93.49
2005-07-07,93.96
2005-07-08,93.69
2005-07-11,94.57
2005-07-12,95.02
2005-07-13,95.2
2005-07-14,95.76
2005-07-15,95.82
2005-07-18,95.93
2005-07-19,96.73
2005-07-20,97.05
2005-07-21,96.11
2005-07-22,95.65
2005-07-25,94.7
2005-07-26,98.49
2005-07-27,97.46
2005-07-28,97.46
2005-07-29,97.4
2005-08-01,96.92
2005-08-02,96.93
2005-08-03,97.88
2005-08-04,97.01
2005-08-05,95.8
2005-08-08,95.22
2005-08-09,94.6497
2005-08-10,94.28
2005-08-11,94.66
2005-08-12,94.51
2005-08-15,94.97
2005-08-16,94.52
2005-08-17,94.63
2005-08-18,94.67
2005-08-19,94.5
2005-08-22,95.6
2005-08-23,95.03
2005-08-24,94.68
2005-08-25,94.88
2005-08-26,93.87
2005-08-29,93.919
2005-08-30,93.52
2005-08-31,92.59
2005-09-01,91.99
2005-09-02,91.94
2005-09-06,93.38
2005-09-07,94.55
2005-09-08,92.0
2005-09-09,93.9
2005-09-12,94.5
2005-09-13,96.16
2005-09-14,94.8
2005-09-15,95.5068
2005-09-16,100.0
2005-09-19,98.13
2005-09-20,97.44
2005-09-21,94.89
2005-09-22,93.83
2005-09-23,96.81
2005-09-26,96.78
2005-09-27,96.51
2005-09-28,96.23
2005-09-29,97.22
2005-09-30,97.8978
2005-10-03,96.2
2005-10-04,95.06
2005-10-05,94.48
2005-10-06,93.46
2005-10-07,93.8
2005-10-10,93.0
2005-10-11,91.23
2005-10-12,91.12
2005-10-13,91.69
2005-10-14,92.1
2005-10-17,91.37
2005-10-18,90.17
2005-10-19,91.4
2005-10-20,90.03
2005-10-21,92.6448
2005-10-24,96.23
2005-10-25,93.9
2005-10-26,95.0
2005-10-27,95.96
2005-10-28,97.13
2005-10-31,99.28
2005-11-01,99.3
2005-11-02,100.96
2005-11-03,100.13
2005-11-04,100.69
2005-11-07,100.26
2005-11-08,98.76
2005-11-09,98.22
