Date,Closing Price
2004-11-01,20.59
2004-11-02,20.55
2004-11-03,20.8248
2004-11-04,21.04
2004-11-05,20.74
2004-11-08,20.8
2004-11-09,21.09
2004-11-10,21.39
2004-11-11,21.74
2004-11-12,21.52
2004-11-15,21.7
2004-11-16,22.0
2004-11-17,22.0
2004-11-18,22.08
2004-11-19,21.6
2004-11-22,21.75
2004-11-23,21.75
2004-11-24,22.14
2004-11-26,22.32
2004-11-29,22.89
2004-11-30,22.88
2004-12-01,23.15
2004-12-02,23.05
2004-12-03,22.9
2004-12-06,22.67
2004-12-07,22.6
2004-12-08,22.97
2004-12-09,22.95
2004-12-10,23.02
2004-12-13,23.05
2004-12-14,24.35
2004-12-15,24.248
2004-12-16,24.0452
2004-12-17,23.77
2004-12-20,23.61
2004-12-21,23.6666
2004-12-22,23.55
2004-12-23,23.96
2004-12-27,22.9518
2004-12-28,23.2637
2004-12-29,23.05
2004-12-30,23.59
2004-12-31,23.72
2005-01-03,23.1017
2005-01-04,22.65
2005-01-05,22.6
2005-01-06,23.07
2005-01-07,22.9539
2005-01-10,23.02
2005-01-11,22.6937
2005-01-12,22.967
2005-01-13,22.49
2005-01-14,22.917
2005-01-18,23.22
2005-01-19,22.95
2005-01-20,23.01
2005-01-21,22.88
2005-01-24,22.49
2005-01-25,22.53
2005-01-26,22.86
2005-01-27,22.94
2005-01-28,22.83
2005-01-31,23.72
2005-02-01,23.8
2005-02-02,24.21
2005-02-03,24.25
2005-02-04,24.75
2005-02-07,24.59
2005-02-08,24.9056
2005-02-09,24.29
2005-02-10,24.39
2005-02-11,24.55
2005-02-14,24.4453
2005-02-15,24.5
2005-02-16,24.56
2005-02-17,24.36
2005-02-18,24.63
2005-02-22,24.5
2005-02-23,24.52
2005-02-24,24.6
2005-02-25,25.08
2005-02-28,24.75
2005-03-01,25.09
2005-03-02,25.2274
2005-03-03,25.2
2005-03-04,25.41
2005-03-07,25.27
2005-03-08,25.06
2005-03-09,24.68
2005-03-10,24.5289
2005-03-11,24.62
2005-03-14,24.9
2005-03-15,24.94
2005-03-16,24.74
2005-03-17,24.72
2005-03-18,24.65
2005-03-21,24.77
2005-03-22,24.59
2005-03-23,24.4
2005-03-24,24.776
2005-03-28,25.25
2005-03-29,25.3
2005-03-30,25.42
2005-03-31,25.25
2005-04-01,24.55
2005-04-04,24.7
2005-04-05,25.07
2005-04-06,24.94
2005-04-07,25.19
2005-04-08,24.68
2005-04-11,24.5
2005-04-12,24.7
2005-04-13,24.402
2005-04-14,24.1706
2005-04-15,24.17
2005-04-18,24.28
2005-04-19,24.16
2005-04-20,24.07
2005-04-21,24.25
2005-04-22,24.07
2005-04-25,24.46
2005-04-26,23.98
2005-04-27,24.198
2005-04-28,23.88
2005-04-29,23.6778
2005-05-02,24.2245
2005-05-03,24.28
2005-05-04,24.75
2005-05-05,24.75
2005-05-06,24.55
2005-05-09,24.57
2005-05-10,24.3
2005-05-11,24.25
2005-05-12,24.0
2005-05-13,24.0
2005-05-16,24.45
2005-05-17,21.62
2005-05-18,23.02
2005-05-19,23.13
2005-05-20,23.3
2005-05-23,24.08
2005-05-24,23.67
2005-05-25,24.0031
2005-05-26,24.1595
2005-05-27,24.01
2005-05-31,24.2
2005-06-01,24.32
2005-06-02,24.49
2005-06-03,24.3
2005-06-06,24.93
2005-06-07,24.78
2005-06-08,24.7131
2005-06-09,25.07
2005-06-10,24.71
2005-06-13,24.81
2005-06-14,25.14
2005-06-15,25.409
2005-06-16,25.87
2005-06-17,25.8313
2005-06-20,25.48
2005-06-21,25.61
2005-06-22,25.46
2005-06-23,25.42
2005-06-24,25.08
2005-06-27,25.18
2005-06-28,25.9
2005-06-29,26.16
2005-06-30,25.78
2005-07-01,26.06
2005-07-05,26.49
2005-07-06,25.79
2005-07-07,25.83
2005-07-08,26.53
2005-07-11,27.11
2005-07-12,27.1
2005-07-13,26.5
2005-07-14,26.22
2005-07-15,26.41
2005-07-18,26.05
2005-07-19,26.4
2005-07-20,26.59
2005-07-21,27.39
2005-07-22,26.78
2005-07-25,26.93
2005-07-26,27.14
2005-07-27,27.27
2005-07-28,27.58
2005-07-29,27.13
2005-08-01,27.2
2005-08-02,27.57
2005-08-03,27.44
2005-08-04,27.07
2005-08-05,26.94
2005-08-08,27.02
2005-08-09,26.86
2005-08-10,25.91
2005-08-11,25.94
2005-08-12,25.69
2005-08-15,25.92
2005-08-16,25.37
2005-08-17,25.42
2005-08-18,23.92
2005-08-19,23.62
2005-08-22,24.0
2005-08-23,23.64
2005-08-24,23.67
2005-08-25,24.31
2005-08-26,24.16
2005-08-29,24.38
2005-08-30,24.22
2005-08-31,24.94
2005-09-01,25.09
2005-09-02,25.01
2005-09-06,25.6
2005-09-07,25.62
2005-09-08,25.4997
2005-09-09,25.9
2005-09-12,25.76
2005-09-13,25.81
2005-09-14,25.45
2005-09-15,25.69
2005-09-16,26.22
2005-09-19,25.95
2005-09-20,25.57
2005-09-21,25.08
2005-09-22,24.9
2005-09-23,24.93
2005-09-26,25.12
2005-09-27,25.08
2005-09-28,23.66
2005-09-29,23.66
2005-09-30,23.79
2005-10-03,23.83
2005-10-04,23.55
2005-10-05,23.15
2005-10-06,23.26
