Date,Closing Price
2004-11-01,16.87
2004-11-02,16.89
2004-11-03,16.97
2004-11-04,17.0
2004-11-05,16.51
2004-11-08,16.28
2004-11-09,16.47
2004-11-10,16.32
2004-11-11,16.42
2004-11-12,16.59
2004-11-15,16.66
2004-11-16,16.68
2004-11-17,16.78
2004-11-18,16.87
2004-11-19,16.77
2004-11-22,16.7
2004-11-23,16.76
2004-11-24,16.84
2004-11-26,16.89
2004-11-29,16.77
2004-11-30,16.6
2004-12-01,16.68
2004-12-02,16.71
2004-12-03,16.85
2004-12-06,16.95
2004-12-07,16.95
2004-12-08,16.93
2004-12-09,16.89
2004-12-10,16.74
2004-12-13,16.57
2004-12-14,16.42
2004-12-15,16.52
2004-12-16,16.58
2004-12-17,16.73
2004-12-20,16.89
2004-12-21,16.97
2004-12-22,16.97
2004-12-23,17.04
2004-12-27,17.11
2004-12-28,17.04
2004-12-29,17.08
2004-12-30,17.09
2004-12-31,17.15
2005-01-03,17.21
2005-01-04,17.05
2005-01-05,16.84
2005-01-06,16.7
2005-01-07,16.74
2005-01-10,16.79
2005-01-11,16.79
2005-01-12,16.69
2005-01-13,16.72
2005-01-14,16.65
2005-01-18,16.63
2005-01-19,16.55
2005-01-20,16.5
2005-01-21,16.45
2005-01-24,16.42
2005-01-25,16.27
2005-01-26,16.25
2005-01-27,16.29
2005-01-28,16.4
2005-01-31,16.42
2005-02-01,16.52
2005-02-02,16.57
2005-02-03,16.7
2005-02-04,16.82
2005-02-07,16.91
2005-02-08,16.94
2005-02-09,17.0
2005-02-10,16.87
2005-02-11,16.78
2005-02-14,16.65
2005-02-15,16.56
2005-02-16,16.35
2005-02-17,16.3
2005-02-18,15.96
2005-02-22,15.53
2005-02-23,15.9
2005-02-24,16.09
2005-02-25,16.13
2005-02-28,16.12
2005-03-01,16.14
2005-03-02,16.2
2005-03-03,16.12
2005-03-04,16.17
2005-03-07,16.18
2005-03-08,16.2
2005-03-09,16.0
2005-03-10,15.75
2005-03-11,15.51
2005-03-14,15.36
2005-03-15,15.2
2005-03-16,15.04
2005-03-17,15.27
2005-03-18,15.13
2005-03-21,14.97
2005-03-22,14.981
2005-03-23,14.73
2005-03-24,14.99
2005-03-28,14.8
2005-03-29,14.97
2005-03-30,15.23
2005-03-31,15.3
2005-04-01,15.15
2005-04-04,15.21
2005-04-05,15.23
2005-04-06,15.38
2005-04-07,15.43
2005-04-08,15.4
2005-04-11,15.36
2005-04-12,15.25
2005-04-13,15.05
2005-04-14,14.87
2005-04-15,14.75
2005-04-18,14.75
2005-04-19,14.98
2005-04-20,14.97
2005-04-21,15.15
2005-04-22,15.24
2005-04-25,15.29
2005-04-26,15.21
2005-04-27,15.33
2005-04-28,15.5
2005-04-29,15.27
2005-05-02,15.43
2005-05-03,15.56
2005-05-04,15.77
2005-05-05,15.72
2005-05-06,15.67
2005-05-09,15.71
2005-05-10,15.67
2005-05-11,15.61
2005-05-12,15.55
2005-05-13,15.48
2005-05-16,15.33
2005-05-17,15.26
2005-05-18,15.42
2005-05-19,15.5
2005-05-20,15.68
2005-05-23,15.73
2005-05-24,15.72
2005-05-25,15.73
2005-05-26,15.95
