Date,Closing Price
2004-11-01,2.3888
2004-11-02,2.5
2004-11-03,2.5325
2004-11-04,2.6188
2004-11-05,2.6037
2004-11-08,2.6335
2004-11-09,2.6713
2004-11-10,2.6872
2004-11-11,2.75
2004-11-12,2.88
2004-11-15,2.9063
2004-11-16,2.81
2004-11-17,2.8013
2004-11-18,2.785
2004-11-19,2.7113
2004-11-22,2.7713
2004-11-23,2.8063
2004-11-24,2.8532
2004-11-26,2.83
2004-11-29,2.805
2004-11-30,2.8363
2004-12-01,3.1563
2004-12-02,3.2066
2004-12-03,3.2513
2004-12-06,3.21
2004-12-07,3.165
2004-12-08,3.1963
2004-12-09,3.18
2004-12-10,3.1563
2004-12-13,3.2425
2004-12-14,3.4863
2004-12-15,3.33
2004-12-16,3.2963
2004-12-17,3.2691
2004-12-20,3.2125
2004-12-21,3.2813
2004-12-22,3.2775
2004-12-23,3.2763
2004-12-27,3.2525
2004-12-28,3.3369
2004-12-29,3.2988
2004-12-30,3.2888
2004-12-31,3.2838
2005-01-03,3.1413
2005-01-04,3.0175
2005-01-05,2.9475
2005-01-06,2.9463
2005-01-07,2.88
2005-01-10,2.89
2005-01-11,2.9325
2005-01-12,2.9362
2005-01-13,2.935
2005-01-14,2.9325
2005-01-18,2.9862
2005-01-19,2.9814
2005-01-20,2.96
2005-01-21,2.9025
2005-01-24,2.8238
2005-01-25,2.7963
2005-01-26,2.8025
2005-01-27,2.8688
2005-01-28,2.8257
2005-01-31,2.8725
2005-02-01,2.8563
2005-02-02,2.9162
2005-02-03,2.9113
2005-02-04,2.9838
2005-02-07,2.9975
2005-02-08,2.9663
2005-02-09,2.8425
2005-02-10,2.8475
2005-02-11,2.8625
2005-02-14,2.8788
2005-02-15,2.88
2005-02-16,2.89
2005-02-17,2.875
2005-02-18,2.8888
2005-02-22,2.7978
2005-02-23,2.835
2005-02-24,2.8
2005-02-25,2.85
2005-02-28,2.9125
2005-03-01,3.1738
2005-03-02,3.2113
2005-03-03,3.0988
2005-03-04,3.1275
2005-03-07,3.13
2005-03-08,3.175
2005-03-09,3.105
2005-03-10,3.0888
2005-03-11,3.0213
2005-03-14,3.0875
2005-03-15,3.0364
2005-03-16,3.0188
2005-03-17,3.0438
2005-03-18,3.0197
2005-03-21,3.0063
2005-03-22,3.0113
2005-03-23,2.9713
2005-03-24,2.985
2005-03-28,2.97
2005-03-29,2.9
2005-03-30,2.8875
2005-03-31,2.945
2005-04-01,2.9013
2005-04-04,2.9175
2005-04-05,2.9555
2005-04-06,2.9822
2005-04-07,2.9813
2005-04-08,2.975
2005-04-11,2.9638
2005-04-12,2.9488
2005-04-13,2.8922
2005-04-14,2.8688
2005-04-15,2.7863
2005-04-18,2.7938
2005-04-19,2.83
2005-04-20,2.7825
2005-04-21,2.8413
2005-04-22,2.7625
2005-04-25,2.79
2005-04-26,2.75
2005-04-27,2.7463
2005-04-28,2.6688
2005-04-29,2.71
2005-05-02,2.7825
