Date,Closing Price
2004-11-01,29.8335
2004-11-02,29.76
2004-11-03,30.6611
2004-11-04,30.92
2004-11-05,30.97
2004-11-08,31.35
2004-11-09,28.0
2004-11-10,27.4283
2004-11-11,28.03
2004-11-12,28.0361
2004-11-15,27.8963
2004-11-16,27.9625
2004-11-17,27.6
2004-11-18,27.46
2004-11-19,27.2
2004-11-22,27.35
2004-11-23,27.19
2004-11-24,27.86
2004-11-26,27.9
2004-11-29,27.95
2004-11-30,27.05
2004-12-01,26.23
2004-12-02,26.6078
2004-12-03,26.23
2004-12-06,25.263
2004-12-07,25.1033
2004-12-08,25.02
2004-12-09,25.41
2004-12-10,24.99
2004-12-13,25.0
2004-12-14,25.4755
2004-12-15,25.7
2004-12-16,25.027
2004-12-17,24.8589
2004-12-20,23.68
2004-12-21,24.3178
2004-12-22,24.79
2004-12-23,25.14
2004-12-27,24.8
2004-12-28,25.1654
2004-12-29,25.48
2004-12-30,25.36
2004-12-31,25.64
2005-01-03,25.23
2005-01-04,24.6345
2005-01-05,24.515
2005-01-06,24.5974
2005-01-07,24.85
2005-01-10,25.5394
2005-01-11,25.8513
2005-01-12,25.6303
2005-01-13,27.09
2005-01-14,27.69
2005-01-18,27.65
2005-01-19,28.1233
2005-01-20,28.01
2005-01-21,27.79
2005-01-24,27.3613
2005-01-25,27.0
2005-01-26,27.58
2005-01-27,27.51
2005-01-28,27.3955
2005-01-31,27.9
2005-02-01,28.0132
2005-02-02,27.7306
2005-02-03,27.48
2005-02-04,27.4923
2005-02-07,27.98
2005-02-08,28.15
2005-02-09,28.05
2005-02-10,28.01
2005-02-11,28.11
2005-02-14,28.14
2005-02-15,27.99
2005-02-16,28.2
2005-02-17,28.27
2005-02-18,29.0
2005-02-22,25.6
2005-02-23,25.9
2005-02-24,25.6
2005-02-25,25.9
2005-02-28,25.8
2005-03-01,25.95
2005-03-02,26.0
2005-03-03,25.95
2005-03-04,26.21
2005-03-07,26.23
2005-03-08,25.77
2005-03-09,26.4
2005-03-10,26.07
2005-03-11,26.05
2005-03-14,26.0
2005-03-15,26.04
2005-03-16,26.0
2005-03-17,26.21
2005-03-18,25.3965
2005-03-21,25.24
2005-03-22,25.18
2005-03-23,25.2
2005-03-24,25.3
2005-03-28,25.045
2005-03-29,24.12
2005-03-30,25.66
2005-03-31,25.9241
2005-04-01,25.24
2005-04-04,25.21
2005-04-05,25.564
2005-04-06,25.7208
2005-04-07,25.6
2005-04-08,25.43
2005-04-11,25.38
2005-04-12,25.63
2005-04-13,25.22
2005-04-14,25.28
2005-04-15,24.54
2005-04-18,24.77
2005-04-19,25.01
2005-04-20,24.13
2005-04-21,24.8306
2005-04-22,23.7
2005-04-25,24.2
2005-04-26,23.65
2005-04-27,23.98
2005-04-28,23.37
2005-04-29,23.26
2005-05-02,23.23
2005-05-03,23.4263
2005-05-04,23.44
2005-05-05,23.86
2005-05-06,24.11
2005-05-09,24.6694
2005-05-10,19.1
2005-05-11,20.79
2005-05-12,19.99
2005-05-13,19.883
2005-05-16,19.95
2005-05-17,20.04
2005-05-18,20.7
2005-05-19,21.08
2005-05-20,20.99
2005-05-23,20.9
2005-05-24,21.01
2005-05-25,21.06
2005-05-26,21.35
2005-05-27,21.35
2005-05-31,21.35
2005-06-01,21.94
2005-06-02,21.3
2005-06-03,21.74
2005-06-06,21.62
2005-06-07,22.03
2005-06-08,21.68
2005-06-09,21.674
2005-06-10,21.78
2005-06-13,21.92
2005-06-14,22.0
2005-06-15,21.72
2005-06-16,21.9938
2005-06-17,21.5513
2005-06-20,21.94
2005-06-21,22.1075
2005-06-22,21.85
2005-06-23,21.79
2005-06-24,21.197
2005-06-27,21.32
2005-06-28,21.41
2005-06-29,21.35
2005-06-30,22.7
2005-07-01,23.2688
2005-07-05,24.0
2005-07-06,23.78
2005-07-07,23.515
2005-07-08,23.5025
2005-07-11,24.03
2005-07-12,24.81
2005-07-13,24.25
2005-07-14,24.3
2005-07-15,23.65
2005-07-18,23.3591
2005-07-19,23.7
2005-07-20,23.8
2005-07-21,23.49
2005-07-22,23.6167
2005-07-25,23.31
2005-07-26,23.6
2005-07-27,24.19
2005-07-28,24.51
2005-07-29,23.79
2005-08-01,23.8
2005-08-02,23.999
2005-08-03,23.8183
2005-08-04,23.6698
2005-08-05,23.2791
2005-08-08,23.5176
2005-08-09,21.88
2005-08-10,21.4357
2005-08-11,21.49
2005-08-12,21.5074
2005-08-15,21.55
2005-08-16,21.3
2005-08-17,21.2596
2005-08-18,20.8972
2005-08-19,20.54
2005-08-22,20.33
2005-08-23,20.28
2005-08-24,20.31
2005-08-25,20.18
2005-08-26,21.9666
2005-08-29,21.96
2005-08-30,21.52
2005-08-31,22.0
2005-09-01,21.66
2005-09-02,21.33
2005-09-06,21.41
2005-09-07,21.2854
2005-09-08,21.29
2005-09-09,21.1191
2005-09-12,21.11
2005-09-13,20.74
2005-09-14,20.49
2005-09-15,20.33
2005-09-16,20.2
2005-09-19,19.89
2005-09-20,19.63
2005-09-21,18.89
2005-09-22,18.68
2005-09-23,18.64
2005-09-26,18.89
2005-09-27,18.69
2005-09-28,18.28
2005-09-29,18.0294
2005-09-30,18.19
2005-10-03,17.98
2005-10-04,17.6
2005-10-05,17.18
2005-10-06,17.01
2005-10-07,17.0
2005-10-10,16.79
2005-10-11,16.07
2005-10-12,16.12
2005-10-13,16.26
2005-10-14,16.23
2005-10-17,16.36
2005-10-18,16.11
2005-10-19,16.25
2005-10-20,16.21
2005-10-21,16.25
2005-10-24,16.14
2005-10-25,15.68
2005-10-26,15.5
2005-10-27,15.19
2005-10-28,15.27
2005-10-31,15.61
2005-11-01,15.52
2005-11-02,16.2897
2005-11-03,17.0
2005-11-04,17.1294
2005-11-07,16.94
2005-11-08,19.4
2005-11-09,18.67
2005-11-10,19.05
2005-11-11,19.55
2005-11-14,19.57
2005-11-15,18.9779
2005-11-16,19.2572
2005-11-17,19.55
2005-11-18,19.9998
2005-11-21,20.26
2005-11-22,20.69
2005-11-23,21.09
2005-11-25,20.78
2005-11-28,20.22
2005-11-29,20.15
2005-11-30,19.94
2005-12-01,20.4427
2005-12-02,20.27
2005-12-05,20.05
2005-12-06,20.3078
2005-12-07,19.9695
2005-12-08,19.8572
2005-12-09,20.0
2005-12-12,20.25
2005-12-13,20.04
2005-12-14,20.54
2005-12-15,20.18
2005-12-16,20.0695
2005-12-19,20.31
2005-12-20,20.37
2005-12-21,20.71
2005-12-22,20.54
2005-12-23,20.62
2005-12-27,20.74
2005-12-28,20.69
2005-12-29,21.74
2005-12-30,21.5085
2006-01-03,21.42
2006-01-04,22.2347
2006-01-05,23.0187
2006-01-06,22.8298
2006-01-09,23.12
2006-01-10,23.0
2006-01-11,22.54
2006-01-12,22.21
2006-01-13,22.1389
2006-01-17,22.0095
2006-01-18,23.06
2006-01-19,22.86
2006-01-20,22.54
2006-01-23,22.54
2006-01-24,22.7497
2006-01-25,22.75
2006-01-26,22.9999
2006-01-27,22.91
2006-01-30,22.77
2006-01-31,23.7
2006-02-01,23.58
2006-02-02,17.01
2006-02-03,17.3756
2006-02-06,17.4
2006-02-07,18.22
2006-02-08,17.9
2006-02-09,17.8498
2006-02-10,18.0794
2006-02-13,17.9977
2006-02-14,18.1792
2006-02-15,18.3495
2006-02-16,18.19
2006-02-17,18.42
2006-02-21,18.54
2006-02-22,17.6999
2006-02-23,17.27
2006-02-24,17.14
2006-02-27,17.131
2006-02-28,17.0198
2006-03-01,17.18
2006-03-02,17.405
2006-03-03,17.0391
2006-03-06,17.01
2006-03-07,16.9779
2006-03-08,16.9984
2006-03-09,17.0
2006-03-10,17.3297
2006-03-13,17.41
2006-03-14,17.6398
2006-03-15,17.4598
2006-03-16,17.38
2006-03-17,18.0425
2006-03-20,18.4863
2006-03-21,18.59
2006-03-22,18.8
2006-03-23,18.73
2006-03-24,19.1095
2006-03-27,19.39
2006-03-28,18.79
2006-03-29,18.635
2006-03-30,18.35
2006-03-31,18.61
2006-04-03,17.9799
2006-04-04,18.67
2006-04-05,17.7036
2006-04-06,17.3561
2006-04-07,17.1
2006-04-10,17.16
2006-04-11,16.91
2006-04-12,16.78
2006-04-13,16.91
2006-04-17,16.68
2006-04-18,16.6967
2006-04-19,17.06
2006-04-20,16.7325
2006-04-21,16.4
2006-04-24,16.1981
2006-04-25,16.0635
2006-04-26,16.2
2006-04-27,16.2129
2006-04-28,16.27
2006-05-01,16.0196
2006-05-02,16.14
2006-05-03,16.29
2006-05-04,16.28
2006-05-05,16.4088
2006-05-08,16.5472
2006-05-09,16.46
2006-05-10,16.418
2006-05-11,16.09
2006-05-12,16.0084
2006-05-15,16.0894
2006-05-16,17.5596
2006-05-17,18.0992
2006-05-18,17.58
2006-05-19,18.0626
2006-05-22,18.3762
2006-05-23,17.68
2006-05-24,17.91
2006-05-25,17.8288
2006-05-26,19.14
2006-05-30,18.0
2006-05-31,18.23
2006-06-01,18.5095
2006-06-02,18.38
2006-06-05,17.74
2006-06-06,17.74
2006-06-07,18.9265
2006-06-08,18.33
2006-06-09,18.5077
2006-06-12,18.11
2006-06-13,17.84
2006-06-14,17.9806
2006-06-15,18.09
2006-06-16,17.9863
2006-06-19,17.3974
2006-06-20,17.43
2006-06-21,17.26
2006-06-22,17.0
2006-06-23,16.98
2006-06-26,17.01
2006-06-27,17.0329
2006-06-28,17.11
2006-06-29,17.7999
2006-06-30,18.01
2006-07-03,18.15
2006-07-05,17.76
2006-07-06,18.26
2006-07-07,18.1874
2006-07-10,18.3181
2006-07-11,18.3996
2006-07-12,17.78
2006-07-13,17.7946
2006-07-14,17.6239
2006-07-17,17.56
2006-07-18,17.6
2006-07-19,18.2885
2006-07-20,18.06
2006-07-21,17.89
2006-07-24,18.71
2006-07-25,18.7996
2006-07-26,18.6669
2006-07-27,17.9779
2006-07-28,18.1998
2006-07-31,18.15
2006-08-01,17.91
2006-08-02,18.2657
2006-08-03,18.2996
2006-08-04,18.46
2006-08-07,18.17
2006-08-08,18.9749
2006-08-09,18.5197
2006-08-10,18.0468
2006-08-11,18.49
2006-08-14,18.86
2006-08-15,18.86
2006-08-16,18.81
2006-08-17,18.78
2006-08-18,18.46
2006-08-21,18.08
2006-08-22,17.76
2006-08-23,17.22
2006-08-24,17.24
2006-08-25,17.6
2006-08-28,18.1383
2006-08-29,18.9399
2006-08-30,18.97
2006-08-31,18.8163
2006-09-01,18.8973
2006-09-05,19.17
2006-09-06,19.04
2006-09-07,19.44
2006-09-08,19.8197
2006-09-11,19.9663
2006-09-12,20.6097
2006-09-13,20.62
2006-09-14,20.3474
2006-09-15,20.2981
2006-09-18,20.19
2006-09-19,20.35
2006-09-20,21.2279
2006-09-21,21.01
2006-09-22,20.7973
2006-09-25,21.2
2006-09-26,22.1
2006-09-27,21.8
2006-09-28,21.9193
2006-09-29,21.5389
2006-10-02,21.1
2006-10-03,21.0976
2006-10-04,21.17
2006-10-05,20.95
2006-10-06,20.99
2006-10-09,21.18
2006-10-10,21.08
2006-10-11,20.89
2006-10-12,21.23
2006-10-13,21.4174
2006-10-16,21.96
2006-10-17,21.86
2006-10-18,22.12
2006-10-19,22.1288
2006-10-20,22.26
2006-10-23,22.3
2006-10-24,21.97
2006-10-25,21.87
2006-10-26,21.5
2006-10-27,21.86
2006-10-30,21.95
2006-10-31,21.84
2006-11-01,21.78
2006-11-02,21.68
2006-11-03,21.59
2006-11-06,22.36
2006-11-07,22.98
2006-11-08,22.77
2006-11-09,22.48
2006-11-10,22.05
2006-11-13,21.69
2006-11-14,22.06
2006-11-15,22.51
2006-11-16,22.4
2006-11-17,22.29
2006-11-20,21.9699
2006-11-21,21.53
2006-11-22,21.55
2006-11-24,21.58
2006-11-27,20.98
2006-11-28,21.0
2006-11-29,21.1
2006-11-30,21.02
2006-12-01,20.84
2006-12-04,21.7648
2006-12-05,21.72
2006-12-06,21.8151
2006-12-07,21.66
2006-12-08,21.7364
2006-12-11,21.74
2006-12-12,21.5094
2006-12-13,21.9699
2006-12-14,22.16
2006-12-15,22.2139
2006-12-18,22.05
2006-12-19,22.27
2006-12-20,22.34
2006-12-21,22.35
2006-12-22,22.3968
2006-12-26,22.57
