Date,Closing Price
2004-11-01,8.49
2004-11-02,8.7525
2004-11-03,8.7575
2004-11-04,9.365
2004-11-05,9.725
2004-11-08,9.745
2004-11-09,9.7
2004-11-10,9.8475
2004-11-11,9.595
2004-11-12,9.525
2004-11-15,9.5
2004-11-16,9.375
2004-11-17,9.295
2004-11-18,9.305
2004-11-19,9.3125
2004-11-22,9.345
2004-11-23,9.5
2004-11-24,9.4875
2004-11-26,9.475
2004-11-29,9.525
2004-11-30,9.3125
2004-12-01,9.2675
2004-12-02,9.445
2004-12-03,9.4125
2004-12-06,9.4433
2004-12-07,9.4725
2004-12-08,9.5025
2004-12-09,9.7475
2004-12-10,9.5075
2004-12-13,9.465
2004-12-14,9.5272
2004-12-15,9.4925
2004-12-16,9.5033
2004-12-17,9.7052
2004-12-20,9.5825
2004-12-21,9.5175
2004-12-22,9.5375
2004-12-23,9.565
2004-12-27,9.615
2004-12-28,9.53
2004-12-29,9.6825
2004-12-30,9.6475
2004-12-31,9.5975
2005-01-03,9.5
2005-01-04,9.51
2005-01-05,9.175
2005-01-06,8.8775
2005-01-07,8.9325
2005-01-10,8.9125
2005-01-11,8.865
2005-01-12,8.885
2005-01-13,8.89
2005-01-14,8.73
2005-01-18,8.6975
2005-01-19,8.83
2005-01-20,9.1575
2005-01-21,9.065
2005-01-24,8.7575
2005-01-25,8.8
2005-01-26,8.835
2005-01-27,8.7475
2005-01-28,8.71
2005-01-31,8.78
2005-02-01,8.5
2005-02-02,8.45
2005-02-03,8.5
2005-02-04,8.605
2005-02-07,8.675
2005-02-08,8.8125
2005-02-09,8.7125
2005-02-10,8.75
2005-02-11,8.8425
2005-02-14,8.8125
2005-02-15,9.0575
2005-02-16,9.0
2005-02-17,9.01
2005-02-18,8.9625
2005-02-22,8.8725
2005-02-23,8.8475
2005-02-24,8.88
2005-02-25,8.9525
2005-02-28,8.9525
2005-03-01,4.03
2005-03-02,8.745
2005-03-03,8.76
2005-03-04,8.775
2005-03-07,9.0025
2005-03-08,8.6025
2005-03-09,8.935
2005-03-10,8.96
2005-03-11,9.1275
2005-03-14,9.095
2005-03-15,9.0625
2005-03-16,9.13
2005-03-17,9.3825
2005-03-18,9.425
2005-03-21,9.4625
2005-03-22,9.53
2005-03-23,9.565
2005-03-24,9.5375
2005-03-28,9.7375
2005-03-29,9.35
2005-03-30,9.375
2005-03-31,9.3775
2005-04-01,9.4375
2005-04-04,9.34
2005-04-05,9.325
2005-04-06,9.6075
2005-04-07,9.5775
2005-04-08,9.37
2005-04-11,9.2725
2005-04-12,9.3075
2005-04-13,9.25
2005-04-14,8.9875
2005-04-15,8.83
2005-04-18,8.9025
2005-04-19,8.9425
2005-04-20,8.67
2005-04-21,8.775
2005-04-22,8.8
2005-04-25,8.8025
2005-04-26,8.22
2005-04-27,8.3025
2005-04-28,8.4425
2005-04-29,8.31
2005-05-02,8.5075
2005-05-03,8.4025
2005-05-04,8.0875
2005-05-05,8.1925
2005-05-06,8.325
2005-05-09,8.385
2005-05-10,8.335
2005-05-11,8.1675
2005-05-12,8.115
2005-05-13,8.0
2005-05-16,7.95
2005-05-17,7.8225
2005-05-18,7.8525
2005-05-19,7.8725
2005-05-20,7.7875
2005-05-23,7.77
2005-05-24,7.7575
2005-05-25,7.75
2005-05-26,7.715
2005-05-27,7.635
2005-05-31,7.565
2005-06-01,7.58
2005-06-02,7.8925
2005-06-03,7.96
2005-06-06,7.955
2005-06-07,7.95
2005-06-08,7.9375
2005-06-09,7.9025
2005-06-10,7.925
2005-06-13,7.91
2005-06-14,7.9175
2005-06-15,7.925
2005-06-16,7.9225
2005-06-17,8.0325
2005-06-20,8.0
2005-06-21,7.985
2005-06-22,8.5875
2005-06-23,8.5875
2005-06-24,8.655
2005-06-27,8.715
2005-06-28,8.7525
2005-06-29,8.7375
2005-06-30,8.6625
2005-07-01,8.6575
2005-07-05,8.75
2005-07-06,9.2275
2005-07-07,9.38
2005-07-08,9.4975
2005-07-11,9.3975
2005-07-12,9.4225
2005-07-13,9.4875
2005-07-14,9.5
2005-07-15,9.575
2005-07-18,9.5575
2005-07-19,9.66
2005-07-20,9.895
2005-07-21,9.6475
2005-07-22,9.5775
2005-07-25,9.5625
2005-07-26,9.69
2005-07-27,9.575
2005-07-28,9.75
2005-07-29,9.7875
2005-08-01,9.5625
2005-08-02,10.2875
2005-08-03,10.2875
2005-08-04,10.1725
2005-08-05,9.8675
2005-08-08,9.825
2005-08-09,9.7625
2005-08-10,9.775
2005-08-11,9.75
2005-08-12,9.7525
2005-08-15,9.8725
2005-08-16,9.8625
2005-08-17,10.0
2005-08-18,9.9475
2005-08-19,9.95
2005-08-22,9.89
2005-08-23,9.8925
2005-08-24,9.8875
2005-08-25,9.9875
2005-08-26,9.88
2005-08-29,10.0
2005-08-30,10.0
2005-08-31,10.135
2005-09-01,10.25
2005-09-02,10.25
2005-09-06,10.41
2005-09-07,10.465
2005-09-08,10.42
2005-09-09,10.4975
2005-09-12,10.45
2005-09-13,10.5
2005-09-14,10.5475
2005-09-15,10.535
