Date,Closing Price
2004-11-01,3.4
2004-11-02,3.4
2004-11-03,3.4
2004-11-04,3.5
2004-11-05,3.23
2004-11-08,3.13
2004-11-09,3.31
2004-11-10,3.15
2004-11-11,3.5
2004-11-12,3.5
2004-11-15,3.34
2004-11-16,3.4
2004-11-17,3.25
2004-11-18,3.1
2004-11-19,3.26
2004-11-22,3.3
2004-11-23,3.33
2004-11-24,3.23
2004-11-26,3.289
2004-11-29,3.21
2004-11-30,3.17
2004-12-01,3.22
2004-12-02,3.35
2004-12-03,3.35
2004-12-06,3.05
2004-12-07,3.15
2004-12-08,3.24
2004-12-09,3.339
2004-12-10,3.37
2004-12-13,3.25
2004-12-14,3.4
2004-12-15,3.45
2004-12-16,3.25
2004-12-17,3.35
2004-12-20,3.48
2004-12-21,3.27
2004-12-22,3.3
2004-12-23,3.27
2004-12-27,3.45
2004-12-28,3.35
2004-12-29,3.27
2004-12-30,3.364
2004-12-31,3.35
2005-01-03,3.22
2005-01-04,3.21
2005-01-05,3.2
2005-01-06,3.18
2005-01-07,3.17
2005-01-10,3.2
2005-01-11,3.24
2005-01-12,3.3
2005-01-13,3.399
2005-01-14,3.386
2005-01-18,3.17
2005-01-19,3.17
2005-01-20,3.21
2005-01-21,3.1
2005-01-24,3.0
2005-01-25,3.09
2005-01-26,3.11
2005-01-27,3.09
2005-01-28,3.09
2005-01-31,3.23
2005-02-01,3.28
2005-02-02,3.09
2005-02-03,3.06
2005-02-04,3.08
2005-02-07,3.15
2005-02-08,3.16
2005-02-09,3.21
2005-02-10,3.23
2005-02-11,3.16
2005-02-14,3.24
2005-02-15,3.2
2005-02-16,3.15
2005-02-17,3.15
2005-02-18,3.33
2005-02-22,3.05
2005-02-23,3.15
2005-02-24,3.18
2005-02-25,3.11
2005-02-28,3.07
2005-03-01,3.03
2005-03-02,3.13
2005-03-03,3.078
2005-03-04,3.0
2005-03-07,3.05
2005-03-08,3.12
2005-03-09,3.0
2005-03-10,3.1
2005-03-11,3.1
2005-03-14,3.024
2005-03-15,3.01
2005-03-16,3.0
2005-03-17,3.09
2005-03-18,2.95
2005-03-21,2.94
2005-03-22,2.936
2005-03-23,2.7
2005-03-24,2.85
2005-03-28,3.03
2005-03-29,2.767
2005-03-30,2.9
2005-03-31,2.9
2005-04-01,2.66
2005-04-04,2.53
2005-04-05,2.57
2005-04-06,2.593
2005-04-07,2.84
2005-04-08,2.677
2005-04-11,2.4
2005-04-12,2.48
2005-04-13,2.48
2005-04-14,2.5
2005-04-15,2.4
2005-04-18,2.4
2005-04-19,2.71
2005-04-20,3.04
2005-04-21,2.92
2005-04-22,2.88
2005-04-25,2.9
2005-04-26,2.789
2005-04-27,2.57
2005-04-28,2.2
2005-04-29,3.45
2005-05-02,3.32
2005-05-03,3.4
2005-05-04,3.41
2005-05-05,3.6
2005-05-06,3.45
2005-05-09,3.36
2005-05-10,3.46
2005-05-11,3.55
2005-05-12,3.5
2005-05-13,3.5
2005-05-16,3.5
2005-05-17,3.409
2005-05-18,3.23
2005-05-19,3.42
2005-05-20,3.57
2005-05-23,3.61
2005-05-24,3.9
2005-05-25,3.8
2005-05-26,3.75
2005-05-27,3.77
2005-05-31,3.77
2005-06-01,3.93
2005-06-02,3.83
2005-06-03,3.75
2005-06-06,3.64
2005-06-07,3.48
2005-06-08,3.46
2005-06-09,3.45
2005-06-10,3.52
2005-06-13,3.45
2005-06-14,3.51
2005-06-15,3.42
2005-06-16,3.42
2005-06-17,3.39
2005-06-20,3.29
2005-06-21,3.25
2005-06-22,3.3
2005-06-23,3.292
2005-06-24,3.358
2005-06-27,3.35
2005-06-28,3.35
2005-06-29,3.39
2005-06-30,3.4
2005-07-01,3.44
2005-07-05,3.511
2005-07-06,3.7999
2005-07-07,3.8399
2005-07-08,3.89
2005-07-11,3.84
2005-07-12,3.842
2005-07-13,3.8
2005-07-14,3.81
2005-07-15,3.809
2005-07-18,3.59
2005-07-19,3.7106
2005-07-20,3.8599
2005-07-21,3.82
2005-07-22,3.82
2005-07-25,3.77
2005-07-26,3.8
2005-07-27,3.55
2005-07-28,3.5
2005-07-29,3.58
2005-08-01,3.85
2005-08-02,3.8101
2005-08-03,4.17
2005-08-04,4.124
2005-08-05,4.02
2005-08-08,3.92
2005-08-09,3.97
2005-08-10,3.91
2005-08-11,4.0
2005-08-12,3.94
2005-08-15,3.89
2005-08-16,3.9
2005-08-17,3.89
2005-08-18,3.9
2005-08-19,4.08
2005-08-22,4.3
2005-08-23,5.65
2005-08-24,5.12
2005-08-25,5.1
2005-08-26,4.75
2005-08-29,4.93
2005-08-30,4.73
2005-08-31,4.99
2005-09-01,4.96
2005-09-02,4.9
2005-09-06,5.03
2005-09-07,4.95
2005-09-08,4.9
2005-09-09,4.82
2005-09-12,5.1
2005-09-13,5.47
2005-09-14,5.18
2005-09-15,4.73
2005-09-16,4.99
2005-09-19,4.92
2005-09-20,4.53
2005-09-21,4.39
2005-09-22,4.43
2005-09-23,4.5
2005-09-26,4.6499
2005-09-27,4.7399
2005-09-28,4.37
2005-09-29,4.18
2005-09-30,4.12
2005-10-03,3.92
2005-10-04,3.96
2005-10-05,3.85
2005-10-06,4.09
2005-10-07,4.01
2005-10-10,3.8
2005-10-11,3.75
2005-10-12,3.8
2005-10-13,3.94
2005-10-14,4.06
2005-10-17,4.16
2005-10-18,4.19
2005-10-19,4.16
2005-10-20,4.28
2005-10-21,4.35
2005-10-24,4.16
2005-10-25,4.07
2005-10-26,4.0
2005-10-27,4.16
2005-10-28,4.04
2005-10-31,4.21
2005-11-01,4.38
2005-11-02,4.13
2005-11-03,3.57
2005-11-04,3.39
2005-11-07,3.22
2005-11-08,3.34
2005-11-09,3.34
2005-11-10,3.23
2005-11-11,3.44
2005-11-14,3.38
2005-11-15,3.49
2005-11-16,3.5045
2005-11-17,3.7
2005-11-18,3.35
2005-11-21,3.3
2005-11-22,3.3
2005-11-23,3.22
2005-11-25,3.22
2005-11-28,3.37
2005-11-29,3.3
2005-11-30,3.31
2005-12-01,3.31
2005-12-02,3.37
2005-12-05,3.32
2005-12-06,3.3
2005-12-07,3.28
2005-12-08,3.34
2005-12-09,3.25
2005-12-12,3.16
2005-12-13,3.18
2005-12-14,3.19
2005-12-15,3.17
2005-12-16,3.209
2005-12-19,3.11
2005-12-20,3.11
2005-12-21,3.02
2005-12-22,3.19
2005-12-23,3.25
2005-12-27,3.172
2005-12-28,3.16
2005-12-29,3.11
2005-12-30,3.2
2006-01-03,3.2
2006-01-04,3.2
2006-01-05,3.25
2006-01-06,3.42
2006-01-09,3.38
2006-01-10,3.5
2006-01-11,3.37
2006-01-12,3.48
2006-01-13,3.48
2006-01-17,3.51
2006-01-18,3.45
2006-01-19,3.45
2006-01-20,3.51
2006-01-23,3.54
2006-01-24,3.44
2006-01-25,3.3
2006-01-26,3.4
2006-01-27,3.41
2006-01-30,3.74
2006-01-31,3.91
2006-02-01,3.89
2006-02-02,3.71
2006-02-03,3.86
2006-02-06,3.76
2006-02-07,3.89
2006-02-08,3.86
2006-02-09,3.89
2006-02-10,3.84
2006-02-13,3.8
2006-02-14,3.87
2006-02-15,3.82
2006-02-16,3.89
2006-02-17,3.81
2006-02-21,3.86
2006-02-22,3.92
2006-02-23,3.93
2006-02-24,3.86
2006-02-27,3.9
2006-02-28,3.9
2006-03-01,3.9
2006-03-02,3.9
2006-03-03,3.98
2006-03-06,3.9
2006-03-07,3.94
2006-03-08,3.97
2006-03-09,3.89
2006-03-10,3.91
2006-03-13,3.93
2006-03-14,3.91
2006-03-15,3.97
2006-03-16,3.97
2006-03-17,4.0
2006-03-20,4.14
2006-03-21,4.16
2006-03-22,4.12
2006-03-23,4.16
2006-03-24,4.2099
2006-03-27,4.33
2006-03-28,4.23
2006-03-29,4.3201
2006-03-30,4.33
2006-03-31,4.33
2006-04-03,4.44
2006-04-04,4.3
2006-04-05,4.26
2006-04-06,4.23
2006-04-07,4.25
2006-04-10,4.25
2006-04-11,4.26
2006-04-12,4.25
2006-04-13,4.33
2006-04-17,4.29
2006-04-18,4.4
2006-04-19,4.32
2006-04-20,4.45
2006-04-21,4.44
2006-04-24,4.44
2006-04-25,4.4
2006-04-26,4.35
2006-04-27,4.49
2006-04-28,4.46
2006-05-01,4.45
2006-05-02,4.5999
2006-05-03,4.0
2006-05-04,3.83
2006-05-05,3.69
2006-05-08,3.71
2006-05-09,3.54
2006-05-10,3.57
2006-05-11,3.62
2006-05-12,3.5
2006-05-15,3.54
2006-05-16,3.51
