Date,Closing Price
2004-11-01,12.6035
2004-11-02,12.3946
2004-11-03,12.5407
2004-11-04,12.6185
2004-11-05,12.6035
2004-11-08,12.5438
2004-11-09,12.6485
2004-11-10,12.7155
2004-11-11,12.6931
2004-11-12,12.7603
2004-11-15,12.8498
2004-11-16,12.9841
2004-11-17,13.0662
2004-11-18,13.0566
2004-11-19,12.9618
2004-11-22,13.1781
2004-11-23,13.2827
2004-11-24,13.4319
2004-11-26,13.4692
2004-11-29,13.4393
2004-11-30,13.5213
2004-12-01,13.5065
2004-12-02,13.5737
2004-12-03,13.581
2004-12-06,12.9915
2004-12-07,12.9915
2004-12-08,13.208
2004-12-09,13.2528
2004-12-10,13.4768
2004-12-13,13.581
2004-12-14,13.2975
2004-12-15,13.3125
2004-12-16,13.1333
2004-12-17,13.1632
2004-12-20,13.1856
2004-12-21,13.3945
2004-12-22,13.4094
2004-12-23,13.417
2004-12-27,13.3723
2004-12-28,13.4543
2004-12-29,13.4319
2004-12-30,13.4021
2004-12-31,13.1484
2005-01-03,13.0736
2005-01-04,13.0886
2005-01-05,12.7753
2005-01-06,12.8125
2005-01-07,12.5438
2005-01-10,12.4842
2005-01-11,12.4543
2005-01-12,12.4767
2005-01-13,12.3572
2005-01-14,12.3572
2005-01-18,12.5364
2005-01-19,12.2081
2005-01-20,11.8723
2005-01-21,11.7753
2005-01-24,11.6634
2005-01-25,11.917
2005-01-26,12.1783
2005-01-27,12.2155
2005-01-28,11.9544
2005-01-31,12.3349
2005-02-01,12.1036
2005-02-02,12.2155
2005-02-03,12.0962
2005-02-04,12.1783
2005-02-07,12.1484
2005-02-08,12.3052
2005-02-09,11.9394
2005-02-10,12.0663
2005-02-11,12.1558
2005-02-14,11.9469
2005-02-15,12.3498
2005-02-16,12.3498
2005-02-17,12.2379
2005-02-18,12.1633
2005-02-22,11.917
2005-02-23,11.9021
2005-02-24,12.029
2005-02-25,12.0514
2005-02-28,12.1187
2005-03-01,12.2006
2005-03-02,12.0514
2005-03-03,12.0066
2005-03-04,11.9842
2005-03-07,12.0737
2005-03-08,12.0365
2005-03-09,11.9394
2005-03-10,11.9246
2005-03-11,11.8723
2005-03-14,12.0066
2005-03-15,11.9544
2005-03-16,11.9021
2005-03-17,11.8872
2005-03-18,11.7902
2005-03-21,11.8649
2005-03-22,11.5141
2005-03-23,11.4544
2005-03-24,11.626
2005-03-28,11.6036
2005-03-29,11.4917
2005-03-30,11.7118
2005-03-31,11.6186
2005-04-01,11.4768
2005-04-04,11.417
2005-04-05,11.4917
2005-04-06,11.335
2005-04-07,11.5664
2005-04-08,11.3127
2005-04-11,11.3425
2005-04-12,11.417
2005-04-13,11.3127
2005-04-14,11.1187
2005-04-15,10.6112
2005-04-18,11.0962
2005-04-19,11.0514
2005-04-20,10.8425
2005-04-21,11.1112
2005-04-22,11.1708
2005-04-25,11.1633
2005-04-26,11.1037
2005-04-27,11.0067
2005-04-28,10.9395
2005-04-29,11.0498
2005-05-02,11.1187
2005-05-03,11.2156
2005-05-04,11.6186
2005-05-05,11.5664
2005-05-06,11.611
2005-05-09,11.7678
2005-05-10,11.7007
2005-05-11,11.3872
2005-05-12,11.1932
2005-05-13,11.044
2005-05-16,11.723
2005-05-17,11.9544
2005-05-18,12.1633
2005-05-19,12.2379
2005-05-20,11.999
2005-05-23,11.9618
2005-05-24,12.0514
2005-05-25,11.7529
2005-05-26,11.932
2005-05-27,11.4544
2005-05-31,11.3573
2005-06-01,11.5664
2005-06-02,11.3051
2005-06-03,11.141
2005-06-06,11.044
2005-06-07,11.0067
2005-06-08,10.9842
2005-06-09,10.9768
2005-06-10,11.0366
2005-06-13,11.044
2005-06-14,11.0888
2005-06-15,10.9992
2005-06-16,11.7604
2005-06-17,11.1559
2005-06-20,10.9842
2005-06-21,11.1037
2005-06-22,11.1559
2005-06-23,10.8948
2005-06-24,11.3158
2005-06-27,11.3614
2005-06-28,11.738
2005-06-29,11.559
2005-06-30,11.6334
2005-07-01,11.7678
2005-07-05,12.0138
2005-07-06,11.8872
2005-07-07,11.917
2005-07-08,12.0439
2005-07-11,12.3274
2005-07-12,12.2752
2005-07-13,12.2379
2005-07-14,12.0663
2005-07-15,12.3724
2005-07-18,11.9981
2005-07-19,12.2976
2005-07-20,12.3797
2005-07-21,12.0811
2005-07-22,12.3867
2005-07-25,12.2976
2005-07-26,12.4618
2005-07-27,12.4581
2005-07-28,12.5678
2005-07-29,12.27
2005-08-01,12.4894
2005-08-02,12.5364
2005-08-03,12.2534
2005-08-04,12.0271
2005-08-05,11.9879
2005-08-08,11.9879
2005-08-09,12.0977
2005-08-10,11.9252
2005-08-11,12.1369
2005-08-12,12.1133
2005-08-15,12.4189
2005-08-16,11.9174
2005-08-17,11.9405
2005-08-18,11.9801
2005-08-19,12.0115
2005-08-22,12.0506
2005-08-23,11.9096
2005-08-24,11.8313
2005-08-25,11.8547
2005-08-26,11.5805
2005-08-29,11.7842
2005-08-30,11.7999
2005-08-31,11.9018
2005-09-01,12.1133
2005-09-02,11.9566
2005-09-06,12.1445
2005-09-07,12.3014
2005-09-08,12.176
2005-09-09,12.3092
2005-09-12,12.4346
2005-09-13,11.7764
2005-09-14,11.9684
2005-09-15,11.8233
2005-09-16,11.9715
2005-09-19,11.7372
2005-09-20,11.7372
2005-09-21,11.604
2005-09-22,11.8078
2005-09-23,11.9801
2005-09-26,12.0741
2005-09-27,11.7842
2005-09-28,11.6275
2005-09-29,11.8486
2005-09-30,12.0115
2005-10-03,12.082
2005-10-04,11.941
2005-10-05,11.5021
2005-10-06,11.3925
2005-10-07,11.5178
2005-10-10,11.5256
2005-10-11,11.51
2005-10-12,11.51
2005-10-13,11.557
2005-10-14,11.9018
2005-10-17,11.8078
2005-10-18,11.5021
2005-10-19,11.7686
2005-10-20,11.5805
2005-10-21,11.8704
2005-10-24,11.941
2005-10-25,11.9331
2005-10-26,11.7999
2005-10-27,11.6353
2005-10-28,11.9331
2005-10-31,11.8704
2005-11-01,11.7608
2005-11-02,11.9408
2005-11-03,11.9793
2005-11-04,11.8543
2005-11-07,11.9488
2005-11-08,11.9958
2005-11-09,12.1604
2005-11-10,12.5834
2005-11-11,12.5521
2005-11-14,12.4189
2005-11-15,12.4503
2005-11-16,12.2466
2005-11-17,12.3797
2005-11-18,12.4736
2005-11-21,12.6147
2005-11-22,12.5599
2005-11-23,12.4894
2005-11-25,12.411
2005-11-28,12.1133
2005-11-29,12.0506
2005-11-30,11.8704
2005-12-01,12.4189
2005-12-02,12.3641
2005-12-05,12.4346
2005-12-06,12.27
2005-12-07,11.9954
2005-12-08,12.1133
2005-12-09,12.175
2005-12-12,12.223
2005-12-13,12.3015
2005-12-14,12.3641
2005-12-15,12.0898
2005-12-16,11.9252
2005-12-19,11.7293
2005-12-20,11.8233
2005-12-21,11.8469
2005-12-22,12.0584
2005-12-23,12.0428
2005-12-27,11.9331
2005-12-28,11.9096
2005-12-29,11.5962
2005-12-30,11.5178
2006-01-03,11.4003
2006-01-04,11.4943
2006-01-05,11.3607
2006-01-06,11.4787
2006-01-09,11.6589
2006-01-10,11.7999
2006-01-11,11.5806
2006-01-12,11.4395
2006-01-13,11.5178
2006-01-17,11.604
2006-01-18,11.6589
2006-01-19,11.5399
2006-01-20,11.3377
2006-01-23,11.5256
2006-01-24,11.5805
2006-01-25,11.6275
2006-01-26,11.9174
2006-01-27,12.238
2006-01-30,12.0115
2006-01-31,12.2543
2006-02-01,12.1447
2006-02-02,11.7293
2006-02-03,11.6951
2006-02-06,11.6746
2006-02-07,11.689
2006-02-08,11.7764
2006-02-09,11.7529
2006-02-10,11.9641
2006-02-13,11.9159
2006-02-14,12.1055
2006-02-15,12.223
2006-02-16,12.4972
2006-02-17,12.4493
2006-02-21,12.2072
2006-02-22,12.4659
2006-02-23,12.3562
2006-02-24,12.4503
2006-02-27,12.3797
2006-02-28,12.1682
2006-03-01,12.5286
2006-03-02,12.2525
2006-03-03,12.1898
2006-03-06,12.0423
2006-03-07,11.8783
2006-03-08,11.8928
2006-03-09,11.839
2006-03-10,12.0115
2006-03-13,12.2543
2006-03-14,12.4424
2006-03-15,12.4972
2006-03-16,12.5286
2006-03-17,12.1525
2006-03-20,12.1133
2006-03-21,11.9174
2006-03-22,12.0271
2006-03-23,12.082
2006-03-24,12.2306
2006-03-27,12.1995
2006-03-28,11.9096
2006-03-29,12.2151
2006-03-30,12.121
2006-03-31,12.1915
2006-04-03,12.0506
2006-04-04,12.0428
2006-04-05,12.0036
2006-04-06,12.0506
2006-04-07,11.649
2006-04-10,11.6353
2006-04-11,11.4987
2006-04-12,11.6668
2006-04-13,11.51
2006-04-17,11.3769
2006-04-18,11.6821
2006-04-19,11.8078
2006-04-20,11.6432
2006-04-21,11.6275
2006-04-24,11.4077
2006-04-25,11.4082
2006-04-26,11.416
2006-04-27,11.3846
2006-04-28,11.4003
2006-05-01,11.2436
2006-05-02,11.557
2006-05-03,11.4238
2006-05-04,11.4003
2006-05-05,11.4371
2006-05-08,11.416
2006-05-09,11.369
2006-05-10,11.181
2006-05-11,10.9224
2006-05-12,10.9146
2006-05-15,10.9367
2006-05-16,10.8989
2006-05-17,10.961
2006-05-18,10.937
2006-05-19,11.0698
2006-05-22,10.9945
2006-05-23,10.8752
2006-05-24,10.8989
2006-05-25,11.2886
2006-05-26,11.2515
2006-05-30,10.703
2006-05-31,10.938
2006-06-01,11.0474
2006-06-02,11.267
2006-06-05,10.601
2006-06-06,10.601
2006-06-07,10.9411
2006-06-08,11.1573
2006-06-09,11.2044
2006-06-12,10.813
2006-06-13,10.8918
2006-06-14,10.9636
2006-06-15,11.1495
2006-06-16,10.8362
2006-06-19,10.7666
2006-06-20,10.6089
2006-06-21,10.7108
2006-06-22,10.7343
2006-06-23,10.6168
2006-06-26,11.1495
2006-06-27,11.1439
2006-06-28,11.2279
2006-06-29,12.0255
2006-06-30,12.2778
2006-07-03,11.8313
2006-07-05,11.6746
2006-07-06,11.5962
2006-07-07,11.443
2006-07-10,11.3846
2006-07-11,11.502
2006-07-12,11.2592
2006-07-13,10.985
2006-07-14,11.4355
2006-07-17,11.9018
2006-07-18,11.9958
2006-07-19,12.2463
2006-07-20,11.8064
2006-07-21,11.7842
2006-07-24,11.9488
2006-07-25,12.0584
2006-07-26,12.0426
2006-07-27,11.8544
2006-07-28,11.9046
2006-07-31,11.8058
2006-08-01,11.6084
2006-08-02,11.8441
2006-08-03,11.9864
2006-08-04,11.9128
2006-08-07,11.8058
2006-08-08,11.605
2006-08-09,11.4105
2006-08-10,11.559
2006-08-11,11.4767
2006-08-14,11.7806
2006-08-15,11.8962
2006-08-16,11.9538
2006-08-17,11.9457
2006-08-18,11.995
2006-08-21,11.9046
2006-08-22,11.9621
2006-08-23,11.8058
2006-08-24,11.8222
2006-08-25,11.8304
2006-08-28,11.9766
2006-08-29,12.0855
2006-08-30,12.2418
2006-08-31,12.1754
2006-09-01,12.1841
2006-09-05,12.4064
2006-09-06,12.0031
2006-09-07,11.9621
2006-09-08,11.9045
2006-09-11,11.86
2006-09-12,11.9702
2006-09-13,11.9291
2006-09-14,12.117
2006-09-15,12.2254
2006-09-18,12.0772
2006-09-19,11.9457
2006-09-20,12.257
2006-09-21,12.1185
2006-09-22,11.7718
2006-09-25,11.984
2006-09-26,12.109
2006-09-27,12.1514
2006-09-28,12.2335
2006-09-29,11.8141
2006-10-02,11.6742
2006-10-03,11.5261
2006-10-04,11.9703
2006-10-05,12.1349
2006-10-06,11.7564
2006-10-09,11.6001
2006-10-10,11.5095
2006-10-11,11.3286
2006-10-12,11.3447
2006-10-13,11.3533
2006-10-16,11.5178
2006-10-17,11.5095
2006-10-18,11.4027
2006-10-19,11.5261
2006-10-20,11.3862
2006-10-23,11.3945
2006-10-24,11.2381
2006-10-25,11.2299
2006-10-26,11.4685
2006-10-27,11.1229
2006-10-30,11.1065
2006-10-31,10.9667
2006-11-01,10.7691
2006-11-02,10.6951
2006-11-03,11.4438
2006-11-06,11.3945
2006-11-07,11.1558
2006-11-08,11.4027
2006-11-09,11.3697
2006-11-10,11.419
2006-11-13,11.4274
2006-11-14,11.9868
2006-11-15,12.1101
2006-11-16,12.3158
2006-11-17,12.4969
2006-11-20,12.4722
2006-11-21,12.4639
2006-11-22,12.3817
2006-11-24,12.3241
2006-11-27,11.8962
2006-11-28,11.8881
2006-11-29,12.1185
2006-11-30,12.2994
2006-12-01,12.2418
2006-12-04,12.3817
2006-12-05,12.3982
2006-12-06,12.2583
2006-12-07,12.1019
2006-12-08,11.9457
2006-12-11,11.9374
2006-12-12,11.9621
2006-12-13,12.0484
2006-12-14,12.2583
2006-12-15,12.0031
2006-12-18,11.7729
2006-12-19,11.7975
2006-12-20,11.9354
2006-12-21,12.0279
2006-12-22,11.8881
2006-12-26,12.3064
2006-12-27,12.6613
2006-12-28,12.5766
2006-12-29,12.2254
2007-01-03,12.5072
2007-01-04,12.5791
2007-01-05,12.1595
2007-01-08,12.0855
2007-01-09,12.0526
2007-01-10,12.0361
2007-01-11,12.3404
2007-01-12,12.5452
2007-01-16,12.5791
2007-01-17,12.2994
2007-01-18,12.1673
2007-01-19,12.321
2007-01-22,12.1101
2007-01-23,12.1019
2007-01-24,12.1003
2007-01-25,11.8058
2007-01-26,11.9786
2007-01-29,12.0279
2007-01-30,12.143
2007-01-31,12.2007
2007-02-01,12.2171
2007-02-02,12.2254
2007-02-05,12.1349
2007-02-06,12.2418
2007-02-07,12.176
2007-02-08,12.1349
2007-02-09,11.8633
2007-02-12,11.9202
2007-02-13,11.921
2007-02-14,11.8197
2007-02-15,11.6001
2007-02-16,11.707
2007-02-20,11.8551
2007-02-21,12.0937
2007-02-22,12.1595
2007-02-23,11.9291
2007-02-26,11.9128
2007-02-27,11.6494
2007-02-28,11.6116
2007-03-01,11.5261
2007-03-02,11.2463
2007-03-05,11.3369
2007-03-06,11.6084
2007-03-07,11.3281
2007-03-08,11.3205
2007-03-09,11.378
2007-03-12,11.2875
2007-03-13,10.8514
2007-03-14,11.0489
2007-03-15,11.345
2007-03-16,11.0472
2007-03-19,11.0653
2007-03-20,11.2843
2007-03-21,11.5014
2007-03-22,11.3862
2007-03-23,11.3862
2007-03-26,11.2745
2007-03-27,11.1148
2007-03-28,11.2546
2007-03-29,11.1311
2007-03-30,11.1476
2007-04-02,11.0653
2007-04-03,11.2957
2007-04-04,11.3862
2007-04-05,11.1723
2007-04-09,10.7938
2007-04-10,11.0489
2007-04-11,10.6951
2007-04-12,10.8597
2007-04-13,11.0324
2007-04-16,11.393
2007-04-17,11.3286
2007-04-18,11.271
2007-04-19,10.909
2007-04-20,11.1229
2007-04-23,10.9667
2007-04-24,10.9667
2007-04-25,11.1476
2007-04-26,11.0571
2007-04-27,10.9008
2007-04-30,10.728
2007-05-01,10.7856
2007-05-02,11.2051
2007-05-03,11.3039
2007-05-04,11.271
2007-05-07,11.452
2007-05-08,11.3121
2007-05-09,11.4109
2007-05-10,10.9419
2007-05-11,11.0242
2007-05-14,11.1065
2007-05-15,10.9337
2007-05-16,11.197
2007-05-17,11.2135
2007-05-18,11.1723
2007-05-21,11.2875
2007-05-22,11.5178
2007-05-23,11.271
2007-05-24,11.0408
2007-05-25,11.4355
2007-05-29,11.4438
2007-05-30,11.3205
2007-05-31,11.5343
2007-06-01,11.4767
2007-06-04,11.4603
2007-06-05,11.3205
2007-06-06,11.197
2007-06-07,11.1641
2007-06-08,11.2381
2007-06-11,11.1229
2007-06-12,10.9254
2007-06-13,10.9913
2007-06-14,11.0408
2007-06-15,11.2957
2007-06-18,11.2875
2007-06-19,11.378
2007-06-20,11.0408
2007-06-21,11.0653
2007-06-22,11.0105
2007-06-25,11.0735
2007-06-26,11.1229
2007-06-27,11.2217
2007-06-28,11.2135
2007-06-29,10.9419
2007-07-02,11.1065
2007-07-03,11.0818
2007-07-05,11.0324
2007-07-06,11.0408
2007-07-09,10.9749
2007-07-10,10.8029
2007-07-11,10.7691
2007-07-12,10.8844
2007-07-13,10.8514
2007-07-16,10.6869
2007-07-17,10.8185
2007-07-18,10.7774
2007-07-19,10.7198
2007-07-20,10.3743
2007-07-23,10.2921
2007-07-24,9.8725
2007-07-25,9.897
2007-07-26,9.4282
2007-07-27,9.1238
2007-07-30,9.313
2007-07-31,9.1895
2007-08-01,9.3458
2007-08-02,9.239
2007-08-03,8.6219
2007-08-06,9.0745
2007-08-07,9.058
2007-08-08,9.5187
2007-08-09,9.6421
2007-08-10,10.0205
2007-08-13,9.8149
2007-08-14,9.8725
2007-08-15,10.0617
2007-08-16,10.7691
2007-08-17,11.2628
2007-08-20,11.3945
2007-08-21,11.2957
2007-08-22,10.9749
2007-08-23,10.6622
2007-08-24,10.9419
2007-08-27,10.7528
2007-08-28,10.5635
2007-08-29,10.7691
2007-08-30,10.5141
2007-08-31,10.5717
2007-09-04,10.5965
2007-09-05,10.5141
2007-09-06,10.5635
2007-09-07,10.3002
2007-09-10,10.0781
2007-09-11,10.4895
2007-09-12,10.4811
2007-09-13,10.2838
2007-09-14,10.1192
2007-09-17,9.9711
2007-09-18,10.8185
2007-09-19,11.4438
2007-09-20,11.4355
2007-09-21,11.3286
2007-09-24,11.2463
2007-09-25,11.2546
2007-09-26,11.4438
2007-09-27,11.4767
2007-09-28,11.1558
2007-10-01,11.5014
2007-10-02,11.7152
2007-10-03,11.5918
2007-10-04,11.6659
2007-10-05,11.8388
2007-10-08,11.5918
2007-10-09,11.7647
2007-10-10,11.5095
2007-10-11,11.559
2007-10-12,11.707
2007-10-15,11.5754
2007-10-16,11.4849
2007-10-17,11.5095
2007-10-18,11.5095
2007-10-19,11.3533
2007-10-22,11.5508
2007-10-23,11.5754
2007-10-24,11.4088
2007-10-25,11.3205
2007-10-26,11.5425
2007-10-29,11.4458
2007-10-30,11.5928
2007-10-31,11.7136
2007-11-01,10.6079
2007-11-02,10.7721
2007-11-05,10.5992
2007-11-06,10.7634
2007-11-07,10.4179
2007-11-08,10.798
2007-11-09,10.798
2007-11-12,11.1781
2007-11-13,11.6359
2007-11-14,11.6272
2007-11-15,11.3854
2007-11-16,11.204
2007-11-19,10.8844
2007-11-20,10.9707
2007-11-21,11.2126
2007-11-23,11.3594
2007-11-26,10.5648
2007-11-27,10.7115
2007-11-28,11.299
2007-11-29,10.6857
2007-11-30,9.9428
2007-12-03,10.0291
2007-12-04,10.0724
2007-12-05,10.2624
2007-12-06,10.6252
2007-12-07,10.5733
2007-12-10,10.6252
2007-12-11,10.1501
2007-12-12,10.2796
2007-12-13,10.1328
2007-12-14,10.1501
2007-12-17,9.8046
2007-12-18,10.245
2007-12-19,10.5215
2007-12-20,10.5561
2007-12-21,10.893
2007-12-24,11.1781
2007-12-26,11.4631
2007-12-27,10.6166
2007-12-28,10.0291
2007-12-31,10.0119
2008-01-02,9.8131
2008-01-03,9.7354
2008-01-04,9.5713
2008-01-07,10.1673
2008-01-08,9.6059
2008-01-09,10.2192
2008-01-10,10.3229
2008-01-11,9.839
2008-01-14,10.0465
2008-01-15,9.9773
2008-01-16,10.2192
2008-01-17,10.3401
2008-01-18,9.8996
2008-01-22,10.4438
2008-01-23,10.7548
2008-01-24,10.5043
2008-01-25,10.3056
2008-01-28,10.3401
2008-01-29,10.6511
2008-01-30,10.5733
2008-01-31,10.8411
2008-02-01,10.9621
2008-02-04,10.6338
2008-02-05,10.3142
2008-02-06,10.297
2008-02-07,10.3747
2008-02-08,10.1501
2008-02-11,10.297
2008-02-12,10.4092
2008-02-13,10.5992
2008-02-14,10.1847
2008-02-15,10.0896
2008-02-19,10.0724
2008-02-20,10.3488
2008-02-21,10.3142
2008-02-22,10.245
2008-02-25,10.4092
2008-02-26,10.5907
2008-02-27,10.6425
2008-02-28,10.4179
2008-02-29,10.5388
2008-03-03,9.4763
2008-03-04,9.5194
2008-03-05,9.7182
2008-03-06,9.2517
2008-03-07,9.3381
2008-03-10,9.4331
2008-03-11,10.055
2008-03-12,10.3661
2008-03-13,10.5215
2008-03-14,10.1155
2008-03-17,10.3833
2008-03-18,10.6425
2008-03-19,10.9275
2008-03-20,11.1694
2008-03-24,11.5409
2008-03-25,11.5668
2008-03-26,11.6618
2008-03-27,11.4545
2008-03-28,11.2471
2008-03-31,11.1694
2008-04-01,11.4977
2008-04-02,11.3681
2008-04-03,11.014
2008-04-04,10.9621
2008-04-07,10.703
2008-04-08,10.5302
2008-04-09,10.2538
2008-04-10,10.3315
2008-04-11,9.9038
2008-04-14,9.77
2008-04-15,10.0119
2008-04-16,10.4956
2008-04-17,10.7634
2008-04-18,11.9037
2008-04-21,12.8539
2008-04-22,12.543
2008-04-23,12.5948
2008-04-24,12.9575
2008-04-25,13.0181
2008-04-28,13.2771
2008-04-29,12.7762
