Date,Closing Price
2004-11-01,4.8834
2004-11-02,4.9834
2004-11-03,5.06
2004-11-04,5.5667
2004-11-05,5.8834
2004-11-08,5.9334
2004-11-09,5.9067
2004-11-10,5.89
2004-11-11,6.0367
2004-11-12,6.03
2004-11-15,6.1067
2004-11-16,6.1267
2004-11-17,6.2367
2004-11-18,6.3167
2004-11-19,6.3334
2004-11-22,6.48
2004-11-23,6.55
2004-11-24,6.5567
2004-11-26,6.62
2004-11-29,6.4167
2004-11-30,6.43
2004-12-01,6.5334
2004-12-02,6.85
2004-12-03,6.94
2004-12-06,7.3
2004-12-07,7.6267
2004-12-08,7.58
2004-12-09,7.64
2004-12-10,7.7667
2004-12-13,7.5634
2004-12-14,7.7567
2004-12-15,7.77
2004-12-16,7.9667
2004-12-17,7.6667
2004-12-20,7.61
2004-12-21,7.6534
2004-12-22,7.6734
2004-12-23,7.72
2004-12-27,7.6267
2004-12-28,7.5567
2004-12-29,7.6467
2004-12-30,7.62
2004-12-31,7.85
2005-01-03,7.8567
2005-01-04,7.5067
2005-01-05,7.5767
2005-01-06,7.5434
2005-01-07,7.3434
2005-01-10,7.36
2005-01-11,7.22
2005-01-12,7.0734
2005-01-13,7.1434
2005-01-14,7.1067
2005-01-18,7.2834
2005-01-19,6.9834
2005-01-20,7.1
2005-01-21,7.1334
2005-01-24,6.8634
2005-01-25,6.98
2005-01-26,7.07
2005-01-27,7.65
2005-01-28,7.6334
2005-01-31,7.6367
2005-02-01,8.1167
2005-02-02,8.18
2005-02-03,8.1267
2005-02-04,8.64
2005-02-07,8.4866
2005-02-08,8.5
2005-02-09,8.2934
2005-02-10,8.4
2005-02-11,8.7167
2005-02-14,8.5434
2005-02-15,8.64
2005-02-16,8.58
2005-02-17,9.44
2005-02-18,9.47
2005-02-22,9.5467
2005-02-23,9.2366
2005-02-24,9.4567
2005-02-25,9.6134
2005-02-28,9.6834
2005-03-01,9.6367
2005-03-02,9.3166
2005-03-03,9.2534
2005-03-04,9.1834
2005-03-07,9.2267
2005-03-08,8.8467
2005-03-09,8.5734
2005-03-10,8.64
2005-03-11,8.3867
2005-03-14,8.6267
2005-03-15,8.4334
2005-03-16,8.3067
2005-03-17,8.23
2005-03-18,8.0534
2005-03-21,8.2662
2005-03-22,8.1834
2005-03-23,8.3767
2005-03-24,8.3634
2005-03-28,8.2834
2005-03-29,8.1167
2005-03-30,8.1
2005-03-31,7.8867
2005-04-01,7.8434
2005-04-04,7.79
2005-04-05,7.6467
2005-04-06,7.82
2005-04-07,7.88
2005-04-08,7.8334
2005-04-11,7.65
2005-04-12,7.7734
2005-04-13,7.4334
2005-04-14,7.3167
2005-04-15,7.1434
2005-04-18,7.09
2005-04-19,7.48
2005-04-20,7.0367
2005-04-21,7.4834
2005-04-22,7.4134
2005-04-25,7.5334
2005-04-26,7.4834
2005-04-27,7.2267
2005-04-28,7.23
2005-04-29,7.3134
2005-05-02,7.2667
2005-05-03,7.2634
2005-05-04,7.4534
2005-05-05,7.73
2005-05-06,7.7234
2005-05-09,7.8334
2005-05-10,7.5667
2005-05-11,7.47
2005-05-12,8.2634
2005-05-13,8.48
2005-05-16,8.4866
2005-05-17,8.5666
2005-05-18,8.6367
2005-05-19,8.6034
2005-05-20,8.7734
2005-05-23,8.9567
2005-05-24,9.1
2005-05-25,8.9367
2005-05-26,9.21
2005-05-27,9.1733
2005-05-31,9.0634
2005-06-01,9.0967
2005-06-02,9.4834
2005-06-03,9.4233
2005-06-06,9.33
2005-06-07,9.16
2005-06-08,9.03
2005-06-09,9.3867
2005-06-10,9.3267
2005-06-13,9.5034
2005-06-14,8.9034
2005-06-15,8.96
2005-06-16,9.02
2005-06-17,8.9866
2005-06-20,9.1167
2005-06-21,9.2034
2005-06-22,9.1733
2005-06-23,9.32
2005-06-24,9.0323
2005-06-27,8.982
2005-06-28,9.0069
2005-06-29,8.8834
2005-06-30,8.9535
2005-07-01,8.91
2005-07-05,9.0867
2005-07-06,9.3
2005-07-07,9.25
2005-07-08,9.3734
2005-07-11,9.52
2005-07-12,9.4734
2005-07-13,9.4866
2005-07-14,9.09
2005-07-15,8.8834
2005-07-18,8.7867
2005-07-19,8.7334
2005-07-20,8.9967
2005-07-21,8.8667
2005-07-22,8.5834
2005-07-25,8.6334
2005-07-26,8.7967
2005-07-27,9.1167
2005-07-28,9.09
2005-07-29,9.02
2005-08-01,9.1667
2005-08-02,9.3667
2005-08-03,9.28
2005-08-04,9.1667
2005-08-05,9.43
2005-08-08,9.45
2005-08-09,9.4267
2005-08-10,9.2834
2005-08-11,10.0
2005-08-12,10.0
2005-08-15,10.24
2005-08-16,10.0967
2005-08-17,10.0534
2005-08-18,9.7867
2005-08-19,9.7334
2005-08-22,9.65
2005-08-23,9.75
2005-08-24,9.8
2005-08-25,9.77
2005-08-26,9.63
2005-08-29,9.56
2005-08-30,10.0267
2005-08-31,10.2
2005-09-01,10.23
2005-09-02,10.07
2005-09-06,10.16
2005-09-07,10.3659
2005-09-08,10.5933
2005-09-09,10.6801
2005-09-12,10.6934
2005-09-13,11.0334
2005-09-14,10.9534
2005-09-15,11.1
2005-09-16,11.08
2005-09-19,10.98
2005-09-20,11.1467
2005-09-21,11.0876
2005-09-22,10.76
2005-09-23,10.89
2005-09-26,11.0
2005-09-27,11.0267
2005-09-28,11.1234
2005-09-29,11.4067
2005-09-30,11.4534
2005-10-03,11.7234
2005-10-04,11.5567
2005-10-05,11.2334
2005-10-06,11.1241
2005-10-07,11.0212
2005-10-10,10.7667
2005-10-11,10.6067
2005-10-12,10.7134
2005-10-13,10.7
