Date,Closing Price
2004-11-01,6.75
2004-11-02,6.6
2004-11-03,6.55
2004-11-04,6.65
2004-11-05,6.745
2004-11-08,6.8
2004-11-09,6.6
2004-11-10,6.75
2004-11-11,6.6
2004-11-12,6.75
2004-11-15,6.5
2004-11-16,6.545
2004-11-17,6.5
2004-11-18,6.5
2004-11-19,6.55
2004-11-22,6.3
2004-11-23,6.505
2004-11-24,6.4
2004-11-26,6.5
2004-11-29,6.55
2004-11-30,6.5
2004-12-01,6.5
2004-12-02,6.3
2004-12-03,6.4
2004-12-06,6.8
2004-12-07,6.5
2004-12-08,7.0
2004-12-09,7.05
2004-12-10,7.35
2004-12-13,7.25
2004-12-14,8.75
2004-12-15,8.05
2004-12-16,8.0
2004-12-17,7.75
2004-12-20,7.95
2004-12-21,7.85
2004-12-22,8.1
2004-12-23,8.4
2004-12-27,9.1
2004-12-28,9.05
2004-12-29,8.95
2004-12-30,9.13
2004-12-31,9.045
2005-01-03,9.35
2005-01-04,8.55
2005-01-05,8.75
2005-01-06,8.4
2005-01-07,8.5
2005-01-10,8.65
2005-01-11,8.65
2005-01-12,8.65
2005-01-13,8.95
2005-01-14,9.6
2005-01-18,9.605
2005-01-19,9.0
2005-01-20,8.95
2005-01-21,9.025
2005-01-24,9.0
2005-01-25,9.25
2005-01-26,9.4
2005-01-27,9.5
2005-01-28,9.5
2005-01-31,9.6
2005-02-01,9.725
2005-02-02,9.7
2005-02-03,9.5
2005-02-04,9.25
2005-02-07,9.2
2005-02-08,9.3
2005-02-09,9.25
2005-02-10,9.1
2005-02-11,9.0
2005-02-14,9.0
2005-02-15,8.4
2005-02-16,8.5
2005-02-17,8.4
2005-02-18,8.45
2005-02-22,8.75
2005-02-23,9.1
2005-02-24,9.1
2005-02-25,8.85
2005-02-28,8.8
2005-03-01,8.8
2005-03-02,8.8
2005-03-03,8.75
2005-03-04,8.755
2005-03-07,8.75
2005-03-08,8.7
2005-03-09,8.95
2005-03-10,9.0
2005-03-11,8.85
2005-03-14,8.7
2005-03-15,8.75
2005-03-16,8.75
2005-03-17,8.75
2005-03-18,8.895
2005-03-21,8.8
2005-03-22,9.2
