Date,Closing Price
2004-11-01,8.7722
2004-11-02,8.7348
2004-11-03,8.9116
2004-11-04,9.0136
2004-11-05,9.1156
2004-11-08,8.8782
2004-11-09,9.1361
2004-11-10,9.3197
2004-11-11,9.217
2004-11-12,9.1769
2004-11-15,9.034
2004-11-16,9.2993
2004-11-17,9.3537
2004-11-18,9.3197
2004-11-19,9.2517
2004-11-22,9.3878
2004-11-23,9.3062
2004-11-24,9.3878
2004-11-26,9.1973
2004-11-29,9.9729
2004-11-30,9.7891
2004-12-01,9.83
2004-12-02,9.864
2004-12-03,9.7008
2004-12-06,9.8231
2004-12-07,9.8095
2004-12-08,9.8231
2004-12-09,9.7286
2004-12-10,9.6735
2004-12-13,9.8028
2004-12-14,9.9477
2004-12-15,9.9251
2004-12-16,9.9109
2004-12-17,9.6735
2004-12-20,9.762
2004-12-21,9.6259
2004-12-22,9.5034
2004-12-23,9.5374
2004-12-27,9.4013
2004-12-28,9.7
2004-12-29,9.8225
2004-12-30,9.5919
2004-12-31,9.966
2005-01-03,9.864
2005-01-04,10.3402
2005-01-05,10.2041
2005-01-06,10.3674
2005-01-07,10.6667
2005-01-10,10.7313
2005-01-11,10.8837
2005-01-12,11.0545
2005-01-13,11.5504
2005-01-14,11.5579
2005-01-18,11.5238
2005-01-19,11.5374
2005-01-20,11.5647
2005-01-21,11.5307
2005-01-24,11.5307
2005-01-25,11.53
2005-01-26,11.5647
2005-01-27,11.7272
2005-01-28,11.1694
2005-01-31,11.2653
2005-02-01,11.4763
2005-02-02,11.5647
2005-02-03,11.5647
2005-02-04,11.551
2005-02-07,11.245
2005-02-08,11.4694
2005-02-09,11.5647
2005-02-10,11.449
2005-02-11,13.6735
2005-02-14,13.0952
2005-02-15,12.9251
2005-02-16,13.5647
2005-02-17,13.6592
2005-02-18,13.5714
2005-02-22,13.6054
2005-02-23,13.3062
2005-02-24,13.9215
2005-02-25,14.1858
2005-02-28,14.6143
2005-03-01,14.2143
2005-03-02,14.5715
2005-03-03,14.3572
2005-03-04,14.5
2005-03-07,14.5
2005-03-08,14.7143
2005-03-09,14.6457
2005-03-10,14.3007
2005-03-11,14.4215
2005-03-14,14.5358
2005-03-15,14.9286
2005-03-16,15.1358
2005-03-17,14.4643
2005-03-18,15.1143
2005-03-21,15.2858
2005-03-22,15.4993
2005-03-23,15.7572
2005-03-24,16.2929
2005-03-28,16.75
2005-03-29,17.0072
2005-03-30,17.3214
2005-03-31,17.4929
2005-04-01,16.4072
2005-04-04,16.6786
2005-04-05,15.6072
2005-04-06,15.1786
2005-04-07,15.8214
2005-04-08,16.2286
2005-04-11,16.5286
2005-04-12,16.4286
2005-04-13,16.2143
2005-04-14,16.2441
2005-04-15,14.1357
2005-04-18,13.8286
2005-04-19,14.5608
2005-04-20,13.6286
2005-04-21,13.7293
2005-04-22,13.585
2005-04-25,13.2858
2005-04-26,12.9143
2005-04-27,13.5286
2005-04-28,13.5786
2005-04-29,14.1501
2005-05-02,14.7072
2005-05-03,14.9572
2005-05-04,15.3929
2005-05-05,15.5929
2005-05-06,14.8
2005-05-09,15.4358
2005-05-10,15.9714
2005-05-11,15.2143
2005-05-12,15.2786
2005-05-13,14.3214
2005-05-16,14.3929
2005-05-17,14.3643
2005-05-18,14.7858
2005-05-19,14.8643
2005-05-20,15.6357
2005-05-23,16.4286
2005-05-24,16.1929
2005-05-25,16.45
2005-05-26,16.365
2005-05-27,16.6072
2005-05-31,16.95
2005-06-01,16.7858
2005-06-02,16.9215
2005-06-03,16.7214
2005-06-06,16.4214
2005-06-07,16.3286
2005-06-08,16.5
2005-06-09,16.5858
2005-06-10,16.0572
2005-06-13,16.3936
2005-06-14,17.3048
2005-06-15,17.6857
2005-06-16,17.7143
2005-06-17,17.2095
2005-06-20,18.3333
2005-06-21,18.419
2005-06-22,19.6476
2005-06-23,20.0667
2005-06-24,20.1619
2005-06-27,20.3143
2005-06-28,20.5905
2005-06-29,20.9619
2005-06-30,20.9048
2005-07-01,20.9619
2005-07-05,21.9048
2005-07-06,21.8
2005-07-07,22.3238
2005-07-08,21.5048
2005-07-11,19.9905
2005-07-12,21.5524
2005-07-13,22.1429
2005-07-14,23.6381
2005-07-15,23.5904
2005-07-18,23.9238
2005-07-19,24.2857
2005-07-20,24.381
2005-07-21,22.219
2005-07-22,21.3333
2005-07-25,21.2857
2005-07-26,22.6095
2005-07-27,23.2867
2005-07-28,23.2571
2005-07-29,22.9714
2005-08-01,22.7905
2005-08-02,23.4286
2005-08-03,22.8571
2005-08-04,22.4
2005-08-05,21.2857
2005-08-08,21.4285
2005-08-09,20.181
2005-08-10,18.8667
2005-08-11,18.5048
2005-08-12,18.5048
2005-08-15,18.0381
2005-08-16,17.1429
2005-08-17,17.7429
2005-08-18,18.181
2005-08-19,17.9429
2005-08-22,17.6191
2005-08-23,17.1429
2005-08-24,16.7429
2005-08-25,16.4476
2005-08-26,16.4762
