Date,Closing Price
2004-11-01,14.759
2004-11-02,17.7487
2004-11-03,17.4872
2004-11-04,18.4359
2004-11-05,19.7339
2004-11-08,19.8975
2004-11-09,19.7795
2004-11-10,19.7898
2004-11-11,19.8667
2004-11-12,19.3893
2004-11-15,19.2308
2004-11-16,18.8769
2004-11-17,19.1303
2004-11-18,19.2666
2004-11-19,19.4513
2004-11-22,19.2359
2004-11-23,19.6359
2004-11-24,19.9191
2004-11-26,19.9898
2004-11-29,19.9889
2004-11-30,19.8923
2004-12-01,21.6564
2004-12-02,21.9297
2004-12-03,22.0103
2004-12-06,21.6769
2004-12-07,21.2143
2004-12-08,20.9539
2004-12-09,20.7539
2004-12-10,20.7631
2004-12-13,20.8513
2004-12-14,21.4139
2004-12-15,22.0241
2004-12-16,20.9846
2004-12-17,20.4257
2004-12-20,20.1571
2004-12-21,20.7539
2004-12-22,20.8769
2004-12-23,20.8821
2004-12-27,20.8307
2004-12-28,20.8821
2004-12-29,21.0718
2004-12-30,20.9846
2004-12-31,20.918
2005-01-03,21.2257
2005-01-04,20.918
2005-01-05,20.9231
2005-01-06,21.6307
2005-01-07,21.4923
2005-01-10,21.4923
2005-01-11,21.8017
2005-01-12,22.0103
2005-01-13,21.8
2005-01-14,21.7949
2005-01-18,21.8
2005-01-19,21.7539
2005-01-20,21.5026
2005-01-21,21.2257
2005-01-24,21.0
2005-01-25,21.1282
2005-01-26,22.1248
2005-01-27,22.5487
2005-01-28,22.1026
2005-01-31,24.0513
2005-02-01,23.8462
2005-02-02,24.863
2005-02-03,25.0
2005-02-04,25.5334
2005-02-07,25.4184
2005-02-08,25.4718
2005-02-09,24.8718
2005-02-10,24.8103
2005-02-11,24.7064
2005-02-14,24.959
2005-02-15,24.5641
2005-02-16,24.3693
2005-02-17,24.1026
2005-02-18,23.9487
2005-02-22,23.0769
2005-02-23,23.3693
2005-02-24,23.0462
2005-02-25,23.3334
2005-02-28,22.4462
2005-03-01,22.5846
2005-03-02,22.1949
2005-03-03,22.5898
2005-03-04,22.6309
2005-03-07,22.4846
2005-03-08,22.5128
2005-03-09,22.2529
2005-03-10,21.8462
2005-03-11,22.0359
2005-03-14,22.0462
2005-03-15,22.2308
2005-03-16,21.9846
2005-03-17,22.1385
2005-03-18,21.8769
2005-03-21,21.7003
2005-03-22,22.1282
2005-03-23,22.6205
2005-03-24,22.7385
2005-03-28,22.2923
2005-03-29,21.5846
2005-03-30,22.3436
2005-03-31,22.4462
2005-04-01,22.4103
2005-04-04,22.4975
2005-04-05,22.5898
2005-04-06,22.559
2005-04-07,22.7795
2005-04-08,23.0154
2005-04-11,23.0103
2005-04-12,23.1128
2005-04-13,22.9949
2005-04-14,22.2564
2005-04-15,21.7282
2005-04-18,21.1693
2005-04-19,21.4205
2005-04-20,21.4154
2005-04-21,21.6154
2005-04-22,21.2975
2005-04-25,21.3898
2005-04-26,21.3846
2005-04-27,21.1538
2005-04-28,20.8718
2005-04-29,20.5641
2005-05-02,20.3334
2005-05-03,20.8975
2005-05-04,21.3334
2005-05-05,21.1487
2005-05-06,21.0257
2005-05-09,21.5744
