Date,Closing Price
2004-11-01,1224.49
2004-11-02,1200.48
2004-11-03,1212.485
2004-11-04,1128.451
2004-11-05,1128.451
2004-11-08,1164.466
2004-11-09,1152.461
2004-11-10,1140.456
2004-11-11,1104.442
2004-11-12,1116.447
2004-11-15,1116.447
2004-11-16,1104.442
2004-11-17,1140.456
2004-11-18,1092.437
2004-11-19,1068.427
2004-11-22,1116.447
2004-11-23,1092.557
2004-11-24,1008.403
2004-11-26,996.399
2004-11-29,1020.408
2004-11-30,1032.413
2004-12-01,1020.408
2004-12-02,1008.403
2004-12-03,1032.413
2004-12-06,1320.528
2004-12-07,1236.495
2004-12-08,1416.567
2004-12-09,1452.581
2004-12-10,1344.538
2004-12-13,1332.533
2004-12-14,1524.61
2004-12-15,1452.581
2004-12-16,1548.619
2004-12-17,1524.61
2004-12-20,1560.624
2004-12-21,1584.634
2004-12-22,1680.672
2004-12-23,1872.749
2004-12-27,1920.768
2004-12-28,1716.687
2004-12-29,1764.706
2004-12-30,1668.667
2004-12-31,1656.663
2005-01-03,1560.624
2005-01-04,1608.643
2005-01-05,1368.547
2005-01-06,1428.571
2005-01-07,1392.557
2005-01-10,1368.547
2005-01-11,1308.523
2005-01-12,1284.514
2005-01-13,1344.538
2005-01-14,1392.557
2005-01-18,1344.538
2005-01-19,1260.504
2005-01-20,1236.495
2005-01-21,1116.447
2005-01-24,1044.418
2005-01-25,1068.427
2005-01-26,1236.495
2005-01-27,1164.466
2005-01-28,1224.49
2005-01-31,1236.495
2005-02-01,1236.495
2005-02-02,1212.485
2005-02-03,1272.509
2005-02-04,1308.523
2005-02-07,1392.557
2005-02-08,1332.533
2005-02-09,1236.495
2005-02-10,1212.485
2005-02-11,1212.485
2005-02-14,1236.495
2005-02-15,1200.48
2005-02-16,1200.48
2005-02-17,1152.461
2005-02-18,1176.471
2005-02-22,1224.49
2005-02-23,1140.456
2005-02-24,1128.451
2005-02-25,1128.451
2005-02-28,1104.442
2005-03-01,1128.451
2005-03-02,1116.447
2005-03-03,1104.442
2005-03-04,1092.437
2005-03-07,1092.437
2005-03-08,1080.432
2005-03-09,1116.447
2005-03-10,828.331
2005-03-11,948.379
2005-03-14,900.36
2005-03-15,876.351
2005-03-16,924.37
2005-03-17,840.336
2005-03-18,840.336
2005-03-21,840.336
2005-03-22,804.322
2005-03-23,852.341
2005-03-24,852.341
2005-03-28,864.346
2005-03-29,804.322
2005-03-30,828.331
2005-03-31,840.336
2005-04-01,792.317
2005-04-04,720.288
2005-04-05,672.269
2005-04-06,636.255
2005-04-07,708.283
2005-04-08,672.269
2005-04-11,624.25
2005-04-12,612.245
2005-04-13,552.221
2005-04-14,516.206
2005-04-15,480.192
2005-04-18,540.216
2005-04-19,648.259
2005-04-20,648.259
2005-04-21,636.255
2005-04-22,600.24
2005-04-25,528.211
2005-04-26,516.206
2005-04-27,522.089
2005-04-28,504.202
2005-04-29,540.216
2005-05-02,528.211
2005-05-03,540.216
