Date,Closing Price
2004-11-01,29.975
2004-11-02,30.0
2004-11-03,30.5224
2004-11-04,31.53
2004-11-05,32.915
2004-11-08,32.125
2004-11-09,32.415
2004-11-10,31.9255
2004-11-11,32.94
2004-11-12,33.1249
2004-11-15,32.75
2004-11-16,32.4663
2004-11-17,32.62
2004-11-18,32.545
2004-11-19,32.4653
2004-11-22,33.0578
2004-11-23,32.365
2004-11-24,33.025
2004-11-26,32.635
2004-11-29,33.28
2004-11-30,32.535
2004-12-01,33.32
2004-12-02,33.968
2004-12-03,33.82
2004-12-06,33.45
2004-12-07,32.495
2004-12-08,32.305
2004-12-09,32.155
2004-12-10,31.67
2004-12-13,31.48
2004-12-14,31.8217
2004-12-15,32.199
2004-12-16,32.3682
2004-12-17,31.7227
2004-12-20,30.89
2004-12-21,31.65
2004-12-22,31.4667
2004-12-23,31.065
2004-12-27,30.845
2004-12-28,31.575
2004-12-29,31.465
2004-12-30,31.69
2004-12-31,31.08
2005-01-03,30.3214
2005-01-04,30.25
2005-01-05,30.12
2005-01-06,30.0
2005-01-07,32.175
2005-01-10,32.7
2005-01-11,32.3621
2005-01-12,31.7025
2005-01-13,31.83
2005-01-14,31.5935
2005-01-18,32.32
2005-01-19,31.12
2005-01-20,30.715
2005-01-21,30.715
2005-01-24,30.005
2005-01-25,30.16
2005-01-26,30.15
2005-01-27,30.65
2005-01-28,31.8224
2005-01-31,32.135
2005-02-01,32.71
2005-02-02,32.725
2005-02-03,32.245
2005-02-04,32.42
2005-02-07,33.0695
2005-02-08,33.6
2005-02-09,32.7
2005-02-10,32.37
2005-02-11,32.765
2005-02-14,32.43
2005-02-15,32.435
2005-02-16,32.4
2005-02-17,31.705
2005-02-18,30.99
2005-02-22,30.485
2005-02-23,31.06
2005-02-24,31.12
2005-02-25,31.845
2005-02-28,31.3515
2005-03-01,31.51
2005-03-02,31.68
2005-03-03,31.48
2005-03-04,30.98
2005-03-07,30.45
2005-03-08,30.26
2005-03-09,30.105
2005-03-10,29.51
2005-03-11,28.8534
2005-03-14,28.895
2005-03-15,28.38
2005-03-16,28.335
2005-03-17,27.945
2005-03-18,28.465
2005-03-21,28.455
2005-03-22,28.5
2005-03-23,28.475
2005-03-24,27.98
2005-03-28,27.5075
2005-03-29,25.79
2005-03-30,25.82
2005-03-31,25.915
2005-04-01,26.34
2005-04-04,26.38
2005-04-05,26.175
2005-04-06,26.2535
2005-04-07,22.925
2005-04-08,22.555
2005-04-11,22.1
2005-04-12,21.985
2005-04-13,21.6
2005-04-14,21.385
2005-04-15,20.845
2005-04-18,21.32
2005-04-19,21.595
2005-04-20,21.46
2005-04-21,22.91
2005-04-22,22.64
2005-04-25,22.655
2005-04-26,22.505
2005-04-27,22.65
2005-04-28,22.4475
2005-04-29,23.1239
2005-05-02,23.1986
2005-05-03,22.505
2005-05-04,22.17
2005-05-05,21.7969
2005-05-06,22.24
2005-05-09,22.385
2005-05-10,22.39
2005-05-11,22.32
2005-05-12,22.825
2005-05-13,22.965
2005-05-16,23.5
2005-05-17,23.345
2005-05-18,24.0
2005-05-19,24.07
2005-05-20,24.31
2005-05-23,24.985
2005-05-24,24.5
2005-05-25,24.25
2005-05-26,24.65
2005-05-27,24.36
2005-05-31,24.545
2005-06-01,24.6733
2005-06-02,24.46
2005-06-03,24.285
2005-06-06,24.135
2005-06-07,24.385
