Date,Closing Price
2004-11-01,18.06
2004-11-02,17.97
2004-11-03,18.3554
2004-11-04,18.5
2004-11-05,18.25
2004-11-08,19.08
2004-11-09,19.04
2004-11-10,18.66
2004-11-11,18.45
2004-11-12,18.3107
2004-11-15,18.5
2004-11-16,18.01
2004-11-17,18.4
2004-11-18,18.53
2004-11-19,18.3
2004-11-22,18.54
2004-11-23,17.96
2004-11-24,17.48
2004-11-26,17.39
2004-11-29,17.94
2004-11-30,18.18
2004-12-01,18.7
2004-12-02,18.94
2004-12-03,18.29
2004-12-06,18.77
2004-12-07,17.53
2004-12-08,18.01
2004-12-09,17.71
2004-12-10,17.98
2004-12-13,17.91
2004-12-14,17.38
2004-12-15,16.77
2004-12-16,16.8
2004-12-17,16.79
2004-12-20,17.05
2004-12-21,18.31
2004-12-22,18.26
2004-12-23,18.51
2004-12-27,17.68
2004-12-28,18.16
2004-12-29,17.29
2004-12-30,17.5
2004-12-31,17.6
2005-01-03,17.25
2005-01-04,17.27
2005-01-05,17.01
2005-01-06,17.95
2005-01-07,17.29
2005-01-10,17.69
2005-01-11,17.66
2005-01-12,17.65
2005-01-13,17.48
2005-01-14,17.62
2005-01-18,17.83
2005-01-19,17.36
2005-01-20,17.39
2005-01-21,17.43
2005-01-24,16.75
2005-01-25,16.4
2005-01-26,16.82
2005-01-27,16.7
2005-01-28,16.67
2005-01-31,16.96
2005-02-01,17.37
2005-02-02,17.17
2005-02-03,17.69
2005-02-04,18.05
2005-02-07,17.73
2005-02-08,17.65
2005-02-09,17.68
2005-02-10,17.19
2005-02-11,17.29
2005-02-14,17.3
2005-02-15,16.73
2005-02-16,17.58
2005-02-17,16.89
2005-02-18,17.12
2005-02-22,17.0
2005-02-23,16.94
2005-02-24,16.82
2005-02-25,17.71
2005-02-28,16.98
2005-03-01,17.19
2005-03-02,17.63
2005-03-03,18.16
2005-03-04,18.06
2005-03-07,18.24
2005-03-08,18.47
2005-03-09,18.07
2005-03-10,17.89
2005-03-11,17.5
2005-03-14,17.7
2005-03-15,17.16
2005-03-16,17.23
2005-03-17,17.01
2005-03-18,16.95
2005-03-21,16.97
2005-03-22,16.9818
2005-03-23,17.063
2005-03-24,17.01
2005-03-28,16.99
2005-03-29,16.5
2005-03-30,16.79
2005-03-31,16.88
2005-04-01,16.5
2005-04-04,16.63
2005-04-05,16.5
2005-04-06,16.57
2005-04-07,16.63
2005-04-08,16.5
2005-04-11,16.441
2005-04-12,16.94
2005-04-13,17.0
2005-04-14,16.46
2005-04-15,16.47
2005-04-18,16.47
2005-04-19,16.51
2005-04-20,16.3
2005-04-21,17.04
2005-04-22,17.0
2005-04-25,16.98
2005-04-26,16.41
2005-04-27,16.37
2005-04-28,15.99
2005-04-29,16.3878
2005-05-02,16.8571
2005-05-03,17.05
2005-05-04,17.33
2005-05-05,17.45
2005-05-06,17.51
2005-05-09,17.26
2005-05-10,16.57
2005-05-11,16.45
2005-05-12,16.96
2005-05-13,16.25
2005-05-16,16.61
2005-05-17,16.39
2005-05-18,16.73
2005-05-19,17.21
2005-05-20,17.72
2005-05-23,17.53
2005-05-24,17.3
2005-05-25,16.84
2005-05-26,17.47
2005-05-27,17.13
2005-05-31,16.69
2005-06-01,17.25
2005-06-02,17.27
2005-06-03,17.23
2005-06-06,17.45
2005-06-07,17.37
2005-06-08,17.1
2005-06-09,17.33
2005-06-10,17.3
2005-06-13,17.13
2005-06-14,17.43
2005-06-15,17.42
2005-06-16,17.44
2005-06-17,17.67
2005-06-20,17.32
2005-06-21,16.43
2005-06-22,17.1
2005-06-23,16.23
2005-06-24,16.0116
2005-06-27,15.89
2005-06-28,16.5831
2005-06-29,16.96
2005-06-30,16.61
2005-07-01,16.29
2005-07-05,17.4795
2005-07-06,17.02
2005-07-07,16.93
2005-07-08,17.75
2005-07-11,17.77
2005-07-12,17.71
2005-07-13,17.73
2005-07-14,17.33
2005-07-15,18.44
2005-07-18,17.84
2005-07-19,18.08
2005-07-20,18.25
2005-07-21,17.88
2005-07-22,18.3267
2005-07-25,18.4351
2005-07-26,18.2
2005-07-27,17.33
2005-07-28,18.29
2005-07-29,18.24
2005-08-01,17.77
2005-08-02,16.0
2005-08-03,17.56
2005-08-04,17.6
2005-08-05,17.48
2005-08-08,17.74
2005-08-09,17.71
2005-08-10,18.3
2005-08-11,18.5
2005-08-12,18.24
2005-08-15,18.25
2005-08-16,17.67
2005-08-17,17.2
2005-08-18,17.14
2005-08-19,17.68
2005-08-22,17.83
2005-08-23,17.98
2005-08-24,17.87
2005-08-25,17.46
2005-08-26,16.9
2005-08-29,17.42
2005-08-30,17.28
2005-08-31,17.4
2005-09-01,17.0
2005-09-02,16.84
2005-09-06,17.0
2005-09-07,17.0
2005-09-08,16.97
2005-09-09,16.63
2005-09-12,16.83
2005-09-13,16.51
2005-09-14,16.57
2005-09-15,16.59
2005-09-16,16.75
2005-09-19,16.57
2005-09-20,16.62
2005-09-21,16.33
2005-09-22,16.44
2005-09-23,16.21
2005-09-26,16.29
2005-09-27,16.57
2005-09-28,16.26
2005-09-29,16.99
2005-09-30,17.29
2005-10-03,16.42
2005-10-04,16.61
2005-10-05,16.25
2005-10-06,16.3
2005-10-07,16.24
2005-10-10,16.27
2005-10-11,16.32
2005-10-12,16.3
2005-10-13,16.55
2005-10-14,17.04
2005-10-17,17.06
2005-10-18,16.98
2005-10-19,17.73
2005-10-20,17.29
2005-10-21,16.89
2005-10-24,17.09
