Date,Closing Price
2004-11-01,22.16
2004-11-02,22.2
2004-11-03,22.7944
2004-11-04,22.48
2004-11-05,22.8
2004-11-08,22.64
2004-11-09,22.52
2004-11-10,23.16
2004-11-11,23.64
2004-11-12,24.36
2004-11-15,25.6
2004-11-16,25.12
2004-11-17,25.28
2004-11-18,25.36
2004-11-19,25.8
2004-11-22,26.08
2004-11-23,26.2
2004-11-24,26.28
2004-11-26,26.4
2004-11-29,26.2
2004-11-30,26.2
2004-12-01,26.72
2004-12-02,26.68
2004-12-03,26.96
2004-12-06,26.8
2004-12-07,26.8
2004-12-08,27.04
2004-12-09,27.8
2004-12-10,27.56
2004-12-13,27.52
2004-12-14,27.24
2004-12-15,27.0
2004-12-16,26.5428
2004-12-17,26.6
2004-12-20,25.44
2004-12-21,26.56
2004-12-22,26.52
2004-12-23,26.28
2004-12-27,26.08
2004-12-28,26.64
2004-12-29,26.6
2004-12-30,26.92
2004-12-31,27.08
2005-01-03,26.36
2005-01-04,25.44
2005-01-05,24.28
2005-01-06,24.84
2005-01-07,25.12
2005-01-10,25.8
2005-01-11,25.04
2005-01-12,24.64
2005-01-13,24.84
2005-01-14,24.68
2005-01-18,27.2
2005-01-19,27.4
2005-01-20,27.8
2005-01-21,29.48
2005-01-24,28.56
2005-01-25,29.08
2005-01-26,29.4
2005-01-27,28.72
2005-01-28,29.04
2005-01-31,30.3
2005-02-01,30.24
2005-02-02,31.16
2005-02-03,30.8
2005-02-04,30.96
2005-02-07,30.48
2005-02-08,30.04
2005-02-09,29.4
2005-02-10,27.84
2005-02-11,27.84
2005-02-14,28.72
2005-02-15,28.28
2005-02-16,27.92
2005-02-17,27.6
2005-02-18,25.92
2005-02-22,25.44
2005-02-23,24.72
2005-02-24,24.2
2005-02-25,25.16
2005-02-28,25.28
2005-03-01,25.6
2005-03-02,25.44
2005-03-03,25.2
2005-03-04,25.6
2005-03-07,26.0
2005-03-08,25.12
2005-03-09,25.64
2005-03-10,25.72
2005-03-11,25.4
2005-03-14,26.0
2005-03-15,25.28
2005-03-16,25.72
2005-03-17,25.08
2005-03-18,25.2
2005-03-21,24.64
2005-03-22,25.16
2005-03-23,23.96
2005-03-24,23.64
2005-03-28,22.88
2005-03-29,21.04
2005-03-30,21.76
2005-03-31,22.04
2005-04-01,22.0
2005-04-04,22.56
2005-04-05,21.96
2005-04-06,23.1128
2005-04-07,23.0
2005-04-08,23.0
2005-04-11,23.6
2005-04-12,24.32
2005-04-13,23.44
2005-04-14,22.8
2005-04-15,21.92
2005-04-18,20.88
2005-04-19,22.6
2005-04-20,21.76
2005-04-21,23.0
2005-04-22,22.24
2005-04-25,22.64
2005-04-26,21.4
2005-04-27,22.2
2005-04-28,21.28
2005-04-29,20.72
2005-05-02,21.48
2005-05-03,22.0
2005-05-04,21.68
2005-05-05,20.68
2005-05-06,21.16
2005-05-09,22.0
2005-05-10,21.4
2005-05-11,21.36
2005-05-12,21.6
2005-05-13,22.32
2005-05-16,22.6
2005-05-17,22.14
2005-05-18,22.52
2005-05-19,22.4
2005-05-20,22.72
2005-05-23,22.36
2005-05-24,22.88
2005-05-25,22.48
2005-05-26,22.64
2005-05-27,22.6
2005-05-31,24.04
2005-06-01,24.9684
2005-06-02,25.12
2005-06-03,26.0
2005-06-06,25.68
2005-06-07,26.316
2005-06-08,25.9944
2005-06-09,26.72
2005-06-10,25.48
2005-06-13,24.88
2005-06-14,24.76
2005-06-15,24.92
2005-06-16,24.56
2005-06-17,22.2
2005-06-20,24.1948
2005-06-21,24.36
2005-06-22,25.4
2005-06-23,25.08
2005-06-24,24.5764
2005-06-27,23.44
2005-06-28,24.6
2005-06-29,24.2
2005-06-30,23.88
2005-07-01,24.6
2005-07-05,25.5992
2005-07-06,25.56
2005-07-07,26.8772
2005-07-08,26.8
2005-07-11,27.68
2005-07-12,27.84
2005-07-13,29.04
2005-07-14,27.2
2005-07-15,26.56
2005-07-18,26.16
2005-07-19,26.36
2005-07-20,21.6
2005-07-21,17.12
2005-07-22,16.56
2005-07-25,16.9556
2005-07-26,16.56
2005-07-27,16.44
2005-07-28,16.6316
2005-07-29,16.36
2005-08-01,16.4
2005-08-02,16.2
2005-08-03,16.1188
2005-08-04,16.2376
2005-08-05,16.0
2005-08-08,15.28
2005-08-09,15.72
2005-08-10,15.32
2005-08-11,15.66
2005-08-12,15.5592
2005-08-15,16.0
2005-08-16,15.56
2005-08-17,15.52
2005-08-18,15.2
2005-08-19,15.2
2005-08-22,14.76
2005-08-23,15.9596
2005-08-24,15.6
2005-08-25,15.24
2005-08-26,14.92
2005-08-29,15.3196
2005-08-30,15.48
2005-08-31,15.2
2005-09-01,14.48
2005-09-02,14.6
2005-09-06,14.6
2005-09-07,15.08
2005-09-08,15.36
2005-09-09,15.48
2005-09-12,15.28
2005-09-13,15.0
2005-09-14,14.6
2005-09-15,14.76
2005-09-16,15.2
2005-09-19,15.24
2005-09-20,15.04
2005-09-21,14.56
2005-09-22,14.48
2005-09-23,14.72
2005-09-26,14.84
2005-09-27,14.68
2005-09-28,14.8308
2005-09-29,14.6
2005-09-30,14.56
2005-10-03,14.88
2005-10-04,15.36
2005-10-05,15.24
2005-10-06,14.76
2005-10-07,15.0
2005-10-10,15.32
2005-10-11,15.92
2005-10-12,15.2
2005-10-13,15.9
2005-10-14,15.76
2005-10-17,15.16
2005-10-18,15.64
2005-10-19,16.16
2005-10-20,17.08
2005-10-21,17.32
2005-10-24,18.0288
2005-10-25,18.56
2005-10-26,18.9048
2005-10-27,17.604
2005-10-28,18.16
2005-10-31,19.024
2005-11-01,18.68
2005-11-02,18.92
2005-11-03,19.4
2005-11-04,18.92
2005-11-07,18.48
2005-11-08,18.44
2005-11-09,18.64
2005-11-10,18.8
2005-11-11,18.56
2005-11-14,18.36
2005-11-15,17.88
2005-11-16,17.64
2005-11-17,18.0
2005-11-18,18.24
2005-11-21,18.84
2005-11-22,18.72
2005-11-23,18.84
2005-11-25,18.68
2005-11-28,18.4
2005-11-29,18.56
2005-11-30,18.92
2005-12-01,19.574
2005-12-02,19.44
2005-12-05,19.24
2005-12-06,19.4
2005-12-07,18.96
2005-12-08,18.96
2005-12-09,19.1184
2005-12-12,19.08
2005-12-13,19.0
2005-12-14,18.6
2005-12-15,18.88
2005-12-16,18.7996
2005-12-19,17.48
2005-12-20,17.44
2005-12-21,17.72
2005-12-22,18.16
2005-12-23,18.32
2005-12-27,17.6348
2005-12-28,17.32
2005-12-29,17.4788
2005-12-30,18.0
2006-01-03,18.28
2006-01-04,18.08
2006-01-05,18.0
2006-01-06,18.6388
2006-01-09,18.92
2006-01-10,18.96
2006-01-11,18.72
2006-01-12,18.6
2006-01-13,18.3196
2006-01-17,17.48
2006-01-18,17.0
2006-01-19,16.44
2006-01-20,16.1992
2006-01-23,16.12
2006-01-24,15.9996
2006-01-25,16.04
2006-01-26,16.76
2006-01-27,16.7592
2006-01-30,17.4
2006-01-31,17.76
2006-02-01,17.54
2006-02-02,17.0796
2006-02-03,17.318
2006-02-06,17.24
2006-02-07,17.4
2006-02-08,17.72
2006-02-09,18.1592
2006-02-10,17.5984
2006-02-13,17.4392
2006-02-14,18.04
2006-02-15,18.0396
2006-02-16,18.52
2006-02-17,18.3988
2006-02-21,18.1588
2006-02-22,18.6
2006-02-23,18.7596
2006-02-24,18.64
2006-02-27,18.84
2006-02-28,18.9992
2006-03-01,19.24
2006-03-02,19.4796
2006-03-03,19.3584
2006-03-06,18.0
2006-03-07,17.36
2006-03-08,17.12
2006-03-09,16.8788
2006-03-10,16.9996
2006-03-13,16.88
2006-03-14,16.9996
2006-03-15,16.9196
2006-03-16,16.96
2006-03-17,16.64
2006-03-20,16.52
2006-03-21,16.44
2006-03-22,16.72
2006-03-23,16.72
2006-03-24,17.0392
2006-03-27,16.8
2006-03-28,16.52
2006-03-29,16.88
2006-03-30,16.64
2006-03-31,16.28
2006-04-03,16.16
2006-04-04,16.12
2006-04-05,16.0
2006-04-06,15.9996
2006-04-07,15.84
2006-04-10,16.2
2006-04-11,15.96
2006-04-12,15.9984
2006-04-13,16.0
2006-04-17,16.0
2006-04-18,16.0
2006-04-19,15.92
2006-04-20,15.88
2006-04-21,16.0
2006-04-24,15.6
2006-04-25,15.56
2006-04-26,15.96
2006-04-27,15.92
2006-04-28,15.8
2006-05-01,15.76
2006-05-02,15.48
2006-05-03,15.36
2006-05-04,15.88
2006-05-05,16.0
2006-05-08,15.9576
2006-05-09,15.6
2006-05-10,15.6784
2006-05-11,14.4
2006-05-12,13.0376
2006-05-15,11.9996
2006-05-16,11.96
2006-05-17,11.3924
2006-05-18,11.88
2006-05-19,11.3984
2006-05-22,11.2
2006-05-23,11.08
2006-05-24,11.0
2006-05-25,11.2792
2006-05-26,11.24
2006-05-30,10.72
2006-05-31,10.52
2006-06-01,10.6396
2006-06-02,10.6784
2006-06-05,10.52
2006-06-06,10.52
2006-06-07,10.3528
2006-06-08,9.9592
2006-06-09,9.8
2006-06-12,9.4416
2006-06-13,8.92
2006-06-14,8.9196
2006-06-15,9.64
2006-06-16,9.16
2006-06-19,9.0396
2006-06-20,9.0784
2006-06-21,9.24
2006-06-22,9.12
2006-06-23,9.0
2006-06-26,8.96
2006-06-27,8.52
2006-06-28,8.08
2006-06-29,8.32
2006-06-30,8.76
2006-07-03,8.56
2006-07-05,8.28
2006-07-06,8.32
2006-07-07,8.0
2006-07-10,8.04
2006-07-11,8.04
2006-07-12,7.92
2006-07-13,7.72
2006-07-14,7.64
2006-07-17,7.84
2006-07-18,7.72
2006-07-19,8.04
2006-07-20,8.68
2006-07-21,8.52
2006-07-24,8.92
2006-07-25,9.04
2006-07-26,9.0
2006-07-27,8.76
2006-07-28,9.04
2006-07-31,9.12
2006-08-01,8.92
2006-08-02,9.44
2006-08-03,9.6
2006-08-04,9.64
2006-08-07,9.52
2006-08-08,9.6
2006-08-09,9.6
2006-08-10,9.4396
2006-08-11,9.32
2006-08-14,9.2
2006-08-15,9.44
2006-08-16,9.8
2006-08-17,9.88
2006-08-18,10.04
2006-08-21,10.04
2006-08-22,9.96
2006-08-23,9.88
2006-08-24,9.96
2006-08-25,9.8
2006-08-28,9.96
2006-08-29,10.28
2006-08-30,10.32
2006-08-31,10.92
2006-09-01,11.16
2006-09-05,11.24
2006-09-06,10.96
2006-09-07,10.4
2006-09-08,10.8
2006-09-11,10.68
2006-09-12,10.68
2006-09-13,10.8
2006-09-14,10.88
2006-09-15,10.68
2006-09-18,10.68
2006-09-19,10.56
2006-09-20,10.4
2006-09-21,9.0
2006-09-22,8.32
2006-09-25,8.36
2006-09-26,8.4
2006-09-27,8.32
2006-09-28,8.36
2006-09-29,8.24
2006-10-02,8.24
2006-10-03,8.32
2006-10-04,8.56
2006-10-05,9.0
2006-10-06,8.96
2006-10-09,8.72
2006-10-10,8.68
2006-10-11,8.76
2006-10-12,9.12
2006-10-13,9.24
2006-10-16,9.6
2006-10-17,9.44
2006-10-18,8.72
2006-10-19,9.04
2006-10-20,9.12
2006-10-23,8.92
2006-10-24,8.96
2006-10-25,9.04
2006-10-26,9.36
2006-10-27,9.4
2006-10-30,9.4
2006-10-31,9.6
2006-11-01,9.44
2006-11-02,9.24
2006-11-03,9.36
2006-11-06,9.52
2006-11-07,9.52
