Date,Closing Price
2004-11-01,5.1969
2004-11-02,5.0222
2004-11-03,5.1869
2004-11-04,5.2407
2004-11-05,5.3629
2004-11-08,5.2668
2004-11-09,5.3279
2004-11-10,5.3018
2004-11-11,5.3979
2004-11-12,5.4153
2004-11-15,5.2843
2004-11-16,5.2668
2004-11-17,5.3279
2004-11-18,5.4153
2004-11-19,5.3279
2004-11-22,5.6336
2004-11-23,5.5376
2004-11-24,5.6336
2004-11-26,5.7909
2004-11-29,5.8692
2004-11-30,6.028
2004-12-01,6.215
2004-12-02,6.0561
2004-12-03,5.8785
2004-12-06,5.8505
2004-12-07,5.5234
2004-12-08,5.7477
2004-12-09,5.8318
2004-12-10,5.8131
2004-12-13,5.8318
2004-12-14,6.028
2004-12-15,5.8224
2004-12-16,5.7757
2004-12-17,5.7383
2004-12-20,5.757
2004-12-21,5.9346
2004-12-22,6.0
2004-12-23,5.8692
2004-12-27,5.7757
2004-12-28,5.9907
2004-12-29,5.8879
2004-12-30,5.8879
2004-12-31,5.9533
2005-01-03,5.8131
2005-01-04,5.6636
2005-01-05,5.4486
2005-01-06,5.5607
2005-01-07,5.2617
2005-01-10,5.3271
2005-01-11,5.3458
2005-01-12,5.2617
2005-01-13,5.1589
2005-01-14,5.3271
2005-01-18,5.6075
2005-01-19,5.1308
2005-01-20,5.0561
2005-01-21,5.1308
2005-01-24,5.1589
2005-01-25,5.2243
2005-01-26,5.4206
2005-01-27,5.3738
2005-01-28,5.3084
2005-01-31,5.4673
2005-02-01,5.4299
2005-02-02,5.3738
2005-02-03,5.3925
2005-02-04,5.3738
2005-02-07,5.4393
2005-02-08,5.514
2005-02-09,5.1402
2005-02-10,5.2523
2005-02-11,5.4393
2005-02-14,5.3271
2005-02-15,5.2056
2005-02-16,5.2336
2005-02-17,5.0935
2005-02-18,5.1215
2005-02-22,5.0093
2005-02-23,5.1215
2005-02-24,5.2897
2005-02-25,5.1869
2005-02-28,5.1495
2005-03-01,5.2991
2005-03-02,5.2523
2005-03-03,5.2617
2005-03-04,5.3084
2005-03-07,5.1963
2005-03-08,5.271
2005-03-09,5.2336
2005-03-10,5.2617
2005-03-11,5.271
2005-03-14,5.3271
2005-03-15,5.1963
2005-03-16,5.0935
2005-03-17,5.243
2005-03-18,5.1589
2005-03-21,5.2056
2005-03-22,5.1963
2005-03-23,5.1869
2005-03-24,5.3832
2005-03-28,5.4673
2005-03-29,5.1215
2005-03-30,5.3738
2005-03-31,5.3738
2005-04-01,5.1963
2005-04-04,5.3178
2005-04-05,5.4206
2005-04-06,5.4206
2005-04-07,5.5047
2005-04-08,5.2523
2005-04-11,5.3271
2005-04-12,5.3364
2005-04-13,5.2804
2005-04-14,5.1495
2005-04-15,5.0467
2005-04-18,5.1869
2005-04-19,5.2991
2005-04-20,5.2991
2005-04-21,5.271
2005-04-22,5.0935
2005-04-25,5.1869
2005-04-26,5.0748
2005-04-27,5.1215
2005-04-28,5.0467
2005-04-29,4.8578
2005-05-02,5.0
2005-05-03,4.9533
2005-05-04,5.1308
2005-05-05,5.1495
2005-05-06,5.0748
2005-05-09,5.1402
2005-05-10,5.1869
2005-05-11,5.1869
2005-05-12,5.0
2005-05-13,4.7944
2005-05-16,4.9159
2005-05-17,5.0
2005-05-18,5.1963
2005-05-19,5.2991
2005-05-20,5.215
2005-05-23,5.1776
2005-05-24,5.2523
2005-05-25,5.1869
2005-05-26,5.3364
2005-05-27,5.4673
2005-05-31,5.4121
2005-06-01,5.4393
2005-06-02,5.4019
2005-06-03,5.215
2005-06-06,5.3271
2005-06-07,5.2991
2005-06-08,5.4206
2005-06-09,5.5047
2005-06-10,5.5047
2005-06-13,5.4766
2005-06-14,5.5794
2005-06-15,5.6916
2005-06-16,5.7944
2005-06-17,5.7383
2005-06-20,5.7103
2005-06-21,5.6449
2005-06-22,5.785
2005-06-23,5.514
2005-06-24,5.757
2005-06-27,5.6636
2005-06-28,5.785
2005-06-29,5.7477
2005-06-30,5.6168
