Date,Closing Price
2004-11-01,44.45
2004-11-02,44.1
2004-11-03,44.3867
2004-11-04,44.5
2004-11-05,43.24
2004-11-08,43.27
2004-11-09,43.35
2004-11-10,43.51
2004-11-11,43.71
2004-11-12,44.82
2004-11-15,45.69
2004-11-16,45.3
2004-11-17,44.06
2004-11-18,43.71
2004-11-19,43.09
2004-11-22,43.05
2004-11-23,43.3607
2004-11-24,43.96
2004-11-26,43.94
2004-11-29,43.53
2004-11-30,43.74
2004-12-01,44.61
2004-12-02,45.08
2004-12-03,45.89
2004-12-06,46.25
2004-12-07,45.68
2004-12-08,46.11
2004-12-09,46.0
2004-12-10,46.35
2004-12-13,46.25
2004-12-14,46.14
2004-12-15,46.2293
2004-12-16,45.8367
2004-12-17,45.99
2004-12-20,45.93
2004-12-21,46.27
2004-12-22,46.546
2004-12-23,46.71
2004-12-27,46.78
2004-12-28,46.8897
2004-12-29,46.9
2004-12-30,46.72
2004-12-31,46.03
2005-01-03,45.29
2005-01-04,44.87
2005-01-05,43.0
2005-01-06,43.34
2005-01-07,43.15
2005-01-10,43.51
2005-01-11,43.1
2005-01-12,42.96
2005-01-13,43.27
2005-01-14,43.59
2005-01-18,43.92
2005-01-19,44.31
2005-01-20,43.71
2005-01-21,43.7
2005-01-24,43.57
2005-01-25,42.9189
2005-01-26,42.8
2005-01-27,42.26
2005-01-28,42.53
2005-01-31,41.96
2005-02-01,42.17
2005-02-02,42.4
2005-02-03,42.7
2005-02-04,43.508
2005-02-07,43.23
2005-02-08,43.42
2005-02-09,43.62
2005-02-10,43.82
2005-02-11,44.55
2005-02-14,44.63
2005-02-15,44.87
2005-02-16,45.087
2005-02-17,45.0
2005-02-18,44.6
2005-02-22,43.3131
2005-02-23,43.21
2005-02-24,43.35
2005-02-25,44.1646
2005-02-28,44.2
2005-03-01,44.31
2005-03-02,43.8026
2005-03-03,44.0
2005-03-04,45.07
2005-03-07,45.56
2005-03-08,45.56
2005-03-09,44.3184
2005-03-10,44.69
2005-03-11,43.9906
2005-03-14,44.95
2005-03-15,44.75
2005-03-16,44.42
2005-03-17,44.4
2005-03-18,44.12
2005-03-21,43.93
2005-03-22,43.08
2005-03-23,42.83
2005-03-24,43.2378
2005-03-28,42.57
2005-03-29,42.77
2005-03-30,42.74
2005-03-31,42.35
2005-04-01,41.55
2005-04-04,41.4
2005-04-05,41.5
2005-04-06,41.77
2005-04-07,42.45
2005-04-08,42.2
2005-04-11,42.22
2005-04-12,42.84
2005-04-13,42.8711
2005-04-14,42.5322
2005-04-15,42.4723
2005-04-18,42.5
2005-04-19,42.73
2005-04-20,42.49
2005-04-21,42.63
2005-04-22,42.73
2005-04-25,43.43
2005-04-26,43.18
2005-04-27,43.5515
2005-04-28,43.35
