Date,Closing Price
2004-11-01,20.94
2004-11-02,20.94
2004-11-03,21.15
2004-11-04,21.21
2004-11-05,21.03
2004-11-08,20.85
2004-11-09,20.46
2004-11-10,20.49
2004-11-11,20.61
2004-11-12,20.7
2004-11-15,20.73
2004-11-16,20.64
2004-11-17,20.64
2004-11-18,20.67
2004-11-19,20.61
2004-11-22,20.55
2004-11-23,20.64
2004-11-24,20.67
2004-11-26,20.79
2004-11-29,20.58
2004-11-30,20.52
2004-12-01,20.76
2004-12-02,20.67
2004-12-03,20.82
2004-12-06,21.12
2004-12-07,21.24
2004-12-08,21.15
2004-12-09,21.0
2004-12-10,21.0
2004-12-13,21.03
2004-12-14,21.06
2004-12-15,20.97
2004-12-16,21.09
2004-12-17,21.06
2004-12-20,21.12
2004-12-21,21.03
2004-12-22,21.12
2004-12-23,21.06
2004-12-27,21.15
2004-12-28,21.0
2004-12-29,21.0
2004-12-30,21.03
2004-12-31,21.0
2005-01-03,20.94
2005-01-04,20.94
2005-01-05,21.0
2005-01-06,20.91
2005-01-07,20.85
2005-01-10,20.91
2005-01-11,20.94
2005-01-12,20.76
2005-01-13,20.73
2005-01-14,20.43
2005-01-18,20.31
2005-01-19,20.37
2005-01-20,20.31
2005-01-21,20.16
2005-01-24,20.13
2005-01-25,20.16
2005-01-26,20.25
2005-01-27,20.25
2005-01-28,20.43
2005-01-31,20.31
2005-02-01,20.22
2005-02-02,20.22
2005-02-03,20.31
2005-02-04,20.43
2005-02-07,20.52
2005-02-08,20.61
2005-02-09,20.58
2005-02-10,20.52
2005-02-11,20.4
2005-02-14,20.34
2005-02-15,20.34
2005-02-16,20.43
2005-02-17,20.37
2005-02-18,20.16
2005-02-22,19.86
2005-02-23,19.98
2005-02-24,20.13
2005-02-25,20.22
2005-02-28,20.13
2005-03-01,20.1
2005-03-02,20.28
2005-03-03,20.31
2005-03-04,20.37
2005-03-07,20.34
2005-03-08,20.34
2005-03-09,19.98
2005-03-10,20.01
2005-03-11,19.65
2005-03-14,19.11
2005-03-15,18.81
2005-03-16,18.57
2005-03-17,18.87
2005-03-18,18.69
2005-03-21,18.39
2005-03-22,18.24
2005-03-23,17.91
2005-03-24,18.12
2005-03-28,18.18
2005-03-29,18.36
2005-03-30,18.66
2005-03-31,18.69
2005-04-01,18.81
2005-04-04,19.05
2005-04-05,18.99
2005-04-06,19.11
2005-04-07,19.08
2005-04-08,18.99
2005-04-11,18.87
2005-04-12,18.69
2005-04-13,18.54
2005-04-14,18.39
2005-04-15,18.42
2005-04-18,18.51
2005-04-19,18.57
2005-04-20,18.57
2005-04-21,18.66
2005-04-22,18.54
2005-04-25,18.51
2005-04-26,18.57
2005-04-27,18.6
2005-04-28,18.66
2005-04-29,18.72
2005-05-02,18.72
2005-05-03,18.75
2005-05-04,18.84
2005-05-05,18.72
2005-05-06,18.6
2005-05-09,18.75
2005-05-10,18.84
2005-05-11,19.29
2005-05-12,19.11
2005-05-13,19.17
2005-05-16,19.11
2005-05-17,18.99
2005-05-18,18.81
2005-05-19,18.9
2005-05-20,19.02
2005-05-23,19.05
2005-05-24,19.11
2005-05-25,19.17
2005-05-26,19.41
2005-05-27,19.44
2005-05-31,19.47
2005-06-01,19.65
2005-06-02,19.59
2005-06-03,19.74
2005-06-06,19.83
2005-06-07,19.83
2005-06-08,19.59
2005-06-09,19.59
2005-06-10,19.5
2005-06-13,19.5
2005-06-14,19.26
2005-06-15,19.41
2005-06-16,19.44
2005-06-17,19.41
2005-06-20,19.35
2005-06-21,19.35
2005-06-22,19.44
2005-06-23,19.41
2005-06-24,19.56
2005-06-27,19.71
2005-06-28,19.65
2005-06-29,19.62
2005-06-30,19.83
2005-07-01,19.83
2005-07-05,19.83
2005-07-06,19.92
2005-07-07,20.01
2005-07-08,20.07
2005-07-11,20.19
2005-07-12,20.04
2005-07-13,19.98
2005-07-14,20.07
2005-07-15,20.04
2005-07-18,19.89
2005-07-19,19.89
2005-07-20,19.95
2005-07-21,19.8
2005-07-22,19.98
2005-07-25,20.07
2005-07-26,20.07
2005-07-27,20.04
2005-07-28,20.1
2005-07-29,20.1
2005-08-01,20.13
2005-08-02,20.22
2005-08-03,20.19
2005-08-04,20.22
2005-08-05,20.4
2005-08-08,19.95
2005-08-09,20.07
2005-08-10,20.34
2005-08-11,20.25
2005-08-12,20.19
2005-08-15,20.25
2005-08-16,20.4
2005-08-17,20.55
2005-08-18,20.58
2005-08-19,20.61
2005-08-22,20.49
2005-08-23,20.52
2005-08-24,20.61
2005-08-25,20.67
2005-08-26,20.7
2005-08-29,20.43
2005-08-30,20.1
2005-08-31,20.01
2005-09-01,20.28
2005-09-02,20.46
2005-09-06,20.61
2005-09-07,20.67
2005-09-08,20.73
2005-09-09,20.7
2005-09-12,20.64
2005-09-13,20.448
2005-09-14,20.49
2005-09-15,20.1
2005-09-16,20.4
2005-09-19,20.37
2005-09-20,20.37
2005-09-21,20.31
2005-09-22,20.1
2005-09-23,20.16
2005-09-26,20.1
2005-09-27,19.98
2005-09-28,20.16
2005-09-29,20.16
2005-09-30,20.04
2005-10-03,20.19
2005-10-04,20.13
2005-10-05,20.13
2005-10-06,19.647
