Date,Closing Price
2004-11-01,14.58
2004-11-02,14.79
2004-11-03,14.79
2004-11-04,14.8
2004-11-05,14.79
2004-11-08,14.55
2004-11-09,14.55
2004-11-10,14.42
2004-11-11,14.44
2004-11-12,14.65
2004-11-15,14.7
2004-11-16,14.7
2004-11-17,14.5
2004-11-18,14.54
2004-11-19,14.4
2004-11-22,14.59
2004-11-23,14.54
2004-11-24,14.68
2004-11-26,14.63
2004-11-29,14.72
2004-11-30,14.47
2004-12-01,14.4
2004-12-02,14.33
2004-12-03,14.55
2004-12-06,14.69
2004-12-07,14.83
2004-12-08,14.82
2004-12-09,14.731
2004-12-10,14.7
2004-12-13,14.7
2004-12-14,14.81
2004-12-15,14.781
2004-12-16,14.8
2004-12-17,14.79
2004-12-20,14.64
2004-12-21,14.6
2004-12-22,14.73
2004-12-23,14.96
2004-12-27,14.934
2004-12-28,14.75
2004-12-29,14.52
2004-12-30,14.6
2004-12-31,14.7
2005-01-03,14.64
2005-01-04,14.58
2005-01-05,14.35
2005-01-06,14.16
2005-01-07,14.16
2005-01-10,14.31
2005-01-11,14.29
2005-01-12,14.35
2005-01-13,14.18
2005-01-14,14.19
2005-01-18,14.14
2005-01-19,14.08
2005-01-20,14.15
2005-01-21,14.25
2005-01-24,14.15
2005-01-25,14.07
2005-01-26,14.26
2005-01-27,14.35
2005-01-28,14.4
2005-01-31,14.44
2005-02-01,14.57
2005-02-02,14.64
2005-02-03,14.61
2005-02-04,14.71
2005-02-07,14.69
2005-02-08,14.63
2005-02-09,14.59
2005-02-10,14.64
2005-02-11,14.58
2005-02-14,14.63
2005-02-15,14.57
2005-02-16,14.54
2005-02-17,14.54
2005-02-18,14.43
2005-02-22,14.28
2005-02-23,14.3
2005-02-24,14.35
2005-02-25,14.47
2005-02-28,14.481
2005-03-01,14.48
2005-03-02,14.47
2005-03-03,14.51
2005-03-04,14.35
2005-03-07,14.37
2005-03-08,14.33
2005-03-09,14.24
2005-03-10,14.17
2005-03-11,14.05
2005-03-14,14.06
2005-03-15,14.01
2005-03-16,13.55
2005-03-17,13.48
2005-03-18,13.44
2005-03-21,13.32
2005-03-22,13.07
2005-03-23,12.94
2005-03-24,12.95
2005-03-28,12.93
2005-03-29,12.97
2005-03-30,13.03
2005-03-31,13.35
2005-04-01,13.36
2005-04-04,13.36
2005-04-05,13.34
2005-04-06,13.36
2005-04-07,13.4
2005-04-08,13.36
2005-04-11,13.36
2005-04-12,13.46
2005-04-13,13.55
2005-04-14,13.35
2005-04-15,13.32
2005-04-18,13.26
2005-04-19,13.3
2005-04-20,13.28
2005-04-21,13.26
2005-04-22,13.48
2005-04-25,13.44
2005-04-26,13.36
2005-04-27,13.35
2005-04-28,13.45
2005-04-29,13.59
2005-05-02,13.56
2005-05-03,13.57
2005-05-04,13.7
2005-05-05,13.79
2005-05-06,13.75
2005-05-09,13.67
2005-05-10,13.67
2005-05-11,13.43
2005-05-12,13.5
2005-05-13,13.6
2005-05-16,13.68
2005-05-17,14.01
2005-05-18,13.93
2005-05-19,13.85
2005-05-20,13.97
2005-05-23,13.94
2005-05-24,14.0503
2005-05-25,14.13
2005-05-26,14.14
2005-05-27,14.17
