Date,Closing Price
2004-11-01,11.525
2004-11-02,11.575
2004-11-03,11.895
2004-11-04,11.975
2004-11-05,12.095
2004-11-08,11.99
2004-11-09,11.875
2004-11-10,11.98
2004-11-11,12.095
2004-11-12,12.16
2004-11-15,12.045
2004-11-16,12.05
2004-11-17,12.085
2004-11-18,12.035
2004-11-19,12.145
2004-11-22,12.35
2004-11-23,12.465
2004-11-24,12.565
2004-11-26,12.615
2004-11-29,12.3367
2004-11-30,12.215
2004-12-01,12.115
2004-12-02,11.97
2004-12-03,11.895
2004-12-06,11.875
2004-12-07,11.925
2004-12-08,12.0275
2004-12-09,12.2
2004-12-10,12.24
2004-12-13,12.23
2004-12-14,12.225
2004-12-15,12.2599
2004-12-16,12.255
2004-12-17,12.41
2004-12-20,12.36
2004-12-21,12.58
2004-12-22,12.5257
2004-12-23,12.615
2004-12-27,12.555
2004-12-28,12.525
2004-12-29,12.815
2004-12-30,12.9
2004-12-31,12.935
2005-01-03,12.675
2005-01-04,12.75
2005-01-05,12.49
2005-01-06,12.725
2005-01-07,12.9193
2005-01-10,12.9947
2005-01-11,13.1212
2005-01-12,13.33
2005-01-13,13.3
2005-01-14,13.425
2005-01-18,13.565
2005-01-19,13.59
2005-01-20,13.635
2005-01-21,13.75
2005-01-24,13.705
2005-01-25,13.525
2005-01-26,13.46
2005-01-27,13.39
2005-01-28,13.325
2005-01-31,13.685
2005-02-01,13.66
2005-02-02,13.85
2005-02-03,13.64
2005-02-04,13.619
2005-02-07,13.21
2005-02-08,13.025
2005-02-09,13.235
2005-02-10,13.53
2005-02-11,13.475
2005-02-14,13.485
2005-02-15,13.52
2005-02-16,13.52
2005-02-17,13.525
2005-02-18,13.5
2005-02-22,13.2733
2005-02-23,13.445
2005-02-24,13.475
2005-02-25,13.475
2005-02-28,13.365
2005-03-01,13.48
2005-03-02,13.5
2005-03-03,13.51
2005-03-04,13.39
2005-03-07,13.545
2005-03-08,13.485
2005-03-09,13.31
2005-03-10,13.29
2005-03-11,13.275
2005-03-14,13.215
2005-03-15,13.09
2005-03-16,12.77
2005-03-17,13.065
2005-03-18,13.06
2005-03-21,12.875
2005-03-22,12.6855
2005-03-23,12.16
2005-03-24,12.355
2005-03-28,12.58
2005-03-29,12.37
2005-03-30,12.54
2005-03-31,12.85
2005-04-01,12.965
2005-04-04,12.915
2005-04-05,12.99
2005-04-06,13.245
2005-04-07,13.2099
2005-04-08,13.0
2005-04-11,12.85
2005-04-12,12.825
2005-04-13,12.725
2005-04-14,12.625
2005-04-15,12.485
2005-04-18,12.8397
2005-04-19,13.16
2005-04-20,13.1
2005-04-21,13.26
2005-04-22,13.415
2005-04-25,13.455
2005-04-26,13.35
2005-04-27,13.055
2005-04-28,12.9
2005-04-29,12.8427
2005-05-02,12.83
2005-05-03,12.805
2005-05-04,12.775
2005-05-05,13.27
2005-05-06,13.095
2005-05-09,13.13
2005-05-10,13.115
2005-05-11,13.06
2005-05-12,12.86
2005-05-13,12.745
2005-05-16,12.815
2005-05-17,13.06
2005-05-18,13.0
2005-05-19,13.0
2005-05-20,13.08
2005-05-23,13.005
2005-05-24,12.955
2005-05-25,12.985
2005-05-26,12.97
2005-05-27,12.97
2005-05-31,12.85
2005-06-01,13.06
2005-06-02,13.265
2005-06-03,13.33
2005-06-06,13.365
2005-06-07,13.375
2005-06-08,13.475
2005-06-09,13.435
2005-06-10,13.475
2005-06-13,13.5
2005-06-14,13.48
2005-06-15,13.375
2005-06-16,13.47
2005-06-17,13.475
2005-06-20,13.48
2005-06-21,13.495
2005-06-22,13.235
2005-06-23,13.41
2005-06-24,13.405
2005-06-27,13.515
2005-06-28,13.325
2005-06-29,13.33
2005-06-30,13.39
2005-07-01,13.49
2005-07-05,13.57
2005-07-06,13.58
2005-07-07,13.425
2005-07-08,13.58
2005-07-11,13.585
2005-07-12,13.705
2005-07-13,13.725
2005-07-14,13.585
2005-07-15,13.595
2005-07-18,13.43
2005-07-19,13.62
2005-07-20,13.66
2005-07-21,13.59
2005-07-22,13.535
2005-07-25,13.54
2005-07-26,13.675
2005-07-27,13.55
2005-07-28,13.605
2005-07-29,13.3638
2005-08-01,13.11
2005-08-02,13.235
2005-08-03,13.165
2005-08-04,13.225
2005-08-05,12.975
2005-08-08,12.71
2005-08-09,12.5
2005-08-10,12.605
2005-08-11,12.63
2005-08-12,12.615
2005-08-15,12.52
2005-08-16,12.41
2005-08-17,11.875
2005-08-18,12.325
2005-08-19,12.505
2005-08-22,13.035
2005-08-23,12.62
2005-08-24,12.63
2005-08-25,12.525
2005-08-26,12.39
2005-08-29,12.2
2005-08-30,12.42
2005-08-31,12.14
2005-09-01,12.25
2005-09-02,12.34
2005-09-06,12.41
2005-09-07,12.35
2005-09-08,12.34
2005-09-09,12.475
2005-09-12,12.525
2005-09-13,12.675
2005-09-14,12.77
2005-09-15,12.75
2005-09-16,12.9
2005-09-19,12.85
2005-09-20,12.78
2005-09-21,12.4
2005-09-22,12.18
2005-09-23,12.24
2005-09-26,12.55
2005-09-27,12.53
2005-09-28,12.59
2005-09-29,12.625
2005-09-30,12.6
2005-10-03,13.0
2005-10-04,12.53
2005-10-05,12.435
2005-10-06,12.42
2005-10-07,12.565
2005-10-10,12.43
2005-10-11,12.575
2005-10-12,12.425
2005-10-13,12.3
2005-10-14,12.48
2005-10-17,12.5
2005-10-18,12.38
2005-10-19,12.455
2005-10-20,12.34
2005-10-21,12.5
2005-10-24,12.625
2005-10-25,12.715
2005-10-26,13.005
2005-10-27,12.555
2005-10-28,12.775
2005-10-31,12.935
2005-11-01,12.93
2005-11-02,12.845
2005-11-03,12.95
2005-11-04,12.91
2005-11-07,12.7445
2005-11-08,12.73
2005-11-09,12.895
2005-11-10,12.87
2005-11-11,12.825
2005-11-14,12.98
2005-11-15,12.835
2005-11-16,12.7
2005-11-17,12.75
2005-11-18,12.8
2005-11-21,12.805
2005-11-22,12.79
2005-11-23,12.78
2005-11-25,12.795
2005-11-28,12.7345
2005-11-29,12.515
2005-11-30,12.515
2005-12-01,12.525
2005-12-02,12.5155
2005-12-05,12.515
2005-12-06,12.445
2005-12-07,12.325
2005-12-08,12.275
2005-12-09,12.345
2005-12-12,12.23
2005-12-13,12.105
2005-12-14,12.405
2005-12-15,12.5
2005-12-16,12.3815
2005-12-19,12.215
2005-12-20,11.99
2005-12-21,12.015
2005-12-22,12.095
2005-12-23,11.97
2005-12-27,11.74
2005-12-28,11.825
2005-12-29,11.79
2005-12-30,11.99
2006-01-03,12.36
2006-01-04,12.485
2006-01-05,12.42
2006-01-06,12.5
2006-01-09,12.665
2006-01-10,12.67
2006-01-11,12.65
2006-01-12,12.645
2006-01-13,12.695
2006-01-17,12.775
2006-01-18,12.685
2006-01-19,12.775
2006-01-20,12.79
2006-01-23,12.865
2006-01-24,12.9514
2006-01-25,12.905
2006-01-26,12.8
2006-01-27,12.65
2006-01-30,12.62
2006-01-31,12.6251
2006-02-01,12.585
2006-02-02,12.5
2006-02-03,12.505
2006-02-06,12.595
2006-02-07,12.35
2006-02-08,12.395
2006-02-09,12.365
2006-02-10,12.36
2006-02-13,12.25
2006-02-14,12.22
2006-02-15,12.395
2006-02-16,12.51
2006-02-17,12.505
2006-02-21,12.475
2006-02-22,12.51
2006-02-23,12.5101
2006-02-24,12.495
2006-02-27,12.35
2006-02-28,12.1517
2006-03-01,11.95
2006-03-02,11.9
2006-03-03,12.075
2006-03-06,11.975
2006-03-07,12.06
2006-03-08,12.07
2006-03-09,12.025
2006-03-10,12.065
2006-03-13,12.2
2006-03-14,12.205
2006-03-15,12.155
2006-03-16,12.28
2006-03-17,12.285
2006-03-20,12.175
2006-03-21,12.14
2006-03-22,12.215
2006-03-23,12.235
2006-03-24,12.325
2006-03-27,12.225
2006-03-28,12.25
2006-03-29,12.375
2006-03-30,12.375
2006-03-31,12.325
2006-04-03,12.22
2006-04-04,12.325
2006-04-05,12.4
2006-04-06,12.475
2006-04-07,12.465
2006-04-10,12.375
2006-04-11,12.345
2006-04-12,12.815
2006-04-13,12.26
2006-04-17,12.395
2006-04-18,12.515
2006-04-19,12.535
2006-04-20,12.535
2006-04-21,12.625
2006-04-24,12.655
2006-04-25,12.515
2006-04-26,12.425
2006-04-27,12.39
2006-04-28,12.38
2006-05-01,12.44
2006-05-02,12.4291
2006-05-03,12.51
2006-05-04,12.51
2006-05-05,12.765
2006-05-08,12.62
2006-05-09,12.555
2006-05-10,12.705
2006-05-11,12.63
2006-05-12,12.5
2006-05-15,12.335
2006-05-16,12.395
2006-05-17,12.185
2006-05-18,12.25
2006-05-19,12.26
2006-05-22,12.31
2006-05-23,12.485
2006-05-24,12.285
2006-05-25,12.325
2006-05-26,12.395
2006-05-30,12.55
2006-05-31,12.59
2006-06-01,12.505
2006-06-02,12.495
2006-06-05,12.405
2006-06-06,12.33
2006-06-07,12.31
2006-06-08,12.34
2006-06-09,12.32
2006-06-12,12.22
2006-06-13,11.95
2006-06-14,12.09
2006-06-15,12.255
2006-06-16,12.37
2006-06-19,12.245
2006-06-20,12.29
2006-06-21,12.335
2006-06-22,12.39
2006-06-23,12.435
2006-06-26,12.455
2006-06-27,12.48
2006-06-28,12.435
2006-06-29,12.475
2006-06-30,12.44
2006-07-03,12.54
2006-07-05,12.56
2006-07-06,12.6025
2006-07-07,12.635
2006-07-10,12.635
2006-07-11,12.755
2006-07-12,12.7
2006-07-13,12.8
2006-07-14,12.775
2006-07-17,12.88
2006-07-18,12.9
2006-07-19,13.03
2006-07-20,13.1
2006-07-21,13.125
2006-07-24,13.11
2006-07-25,13.35
2006-07-26,13.52
2006-07-27,13.27
2006-07-28,13.25
2006-07-31,13.37
2006-08-01,13.47
2006-08-02,13.31
2006-08-03,13.385
2006-08-04,13.395
2006-08-07,13.46
2006-08-08,13.375
2006-08-09,13.275
2006-08-10,13.15
2006-08-11,13.155
2006-08-14,13.17
2006-08-15,13.205
2006-08-16,13.26
2006-08-17,13.285
2006-08-18,13.43
2006-08-21,13.46
2006-08-22,13.475
2006-08-23,13.37
2006-08-24,13.375
2006-08-25,13.435
2006-08-28,13.345
2006-08-29,13.3
2006-08-30,13.225
2006-08-31,13.385
2006-09-01,13.415
2006-09-05,13.35
2006-09-06,12.92
2006-09-07,12.925
2006-09-08,13.125
2006-09-11,13.17
2006-09-12,13.195
2006-09-13,13.32
2006-09-14,13.35
2006-09-15,13.4
2006-09-18,13.33
2006-09-19,13.285
2006-09-20,13.105
2006-09-21,13.14
2006-09-22,13.105
2006-09-25,13.09
2006-09-26,13.175
2006-09-27,13.285
2006-09-28,13.395
2006-09-29,13.375
2006-10-02,13.32
2006-10-03,13.175
2006-10-04,13.225
2006-10-05,13.35
2006-10-06,13.325
2006-10-09,13.305
2006-10-10,13.335
2006-10-11,13.3
2006-10-12,13.46
2006-10-13,13.745
2006-10-16,13.805
2006-10-17,13.9398
2006-10-18,13.81
2006-10-19,13.99
2006-10-20,13.96
2006-10-23,14.025
2006-10-24,13.985
2006-10-25,14.1
2006-10-26,14.075
2006-10-27,13.76
2006-10-30,13.625
2006-10-31,13.7
2006-11-01,13.75
2006-11-02,13.74
2006-11-03,13.845
2006-11-06,13.82
2006-11-07,13.77
2006-11-08,13.9
2006-11-09,14.0
2006-11-10,14.025
2006-11-13,14.055
2006-11-14,14.135
2006-11-15,14.065
2006-11-16,14.29
2006-11-17,14.1301
2006-11-20,14.115
2006-11-21,14.14
2006-11-22,14.125
2006-11-24,14.235
2006-11-27,14.11
2006-11-28,14.15
2006-11-29,14.225
2006-11-30,14.14
2006-12-01,14.23
2006-12-04,14.315
2006-12-05,14.425
2006-12-06,14.55
2006-12-07,14.535
2006-12-08,14.705
2006-12-11,14.555
2006-12-12,14.7
2006-12-13,14.85
2006-12-14,14.9
2006-12-15,14.825
2006-12-18,14.725
2006-12-19,14.525
2006-12-20,14.6
2006-12-21,14.325
2006-12-22,14.4
2006-12-26,14.39
2006-12-27,14.425
2006-12-28,14.485
2006-12-29,14.475
2007-01-03,14.495
2007-01-04,14.4
2007-01-05,14.255
2007-01-08,14.43
2007-01-09,14.31
2007-01-10,14.27
2007-01-11,14.23
2007-01-12,14.255
2007-01-16,14.405
2007-01-17,14.6
2007-01-18,14.51
2007-01-19,14.56
2007-01-22,14.805
2007-01-23,14.875
2007-01-24,14.875
2007-01-25,14.55
2007-01-26,14.6
2007-01-29,14.475
2007-01-30,14.675
2007-01-31,14.775
2007-02-01,14.79
2007-02-02,14.915
2007-02-05,15.06
2007-02-06,15.11
2007-02-07,15.105
2007-02-08,15.055
2007-02-09,15.08
2007-02-12,14.95
2007-02-13,14.965
2007-02-14,14.89
2007-02-15,15.0
2007-02-16,15.0
2007-02-20,14.925
2007-02-21,15.015
2007-02-22,15.075
2007-02-23,15.255
2007-02-26,15.3
2007-02-27,15.225
2007-02-28,15.25
2007-03-01,15.355
2007-03-02,15.5
2007-03-05,15.1785
2007-03-06,15.205
2007-03-07,15.21
