Date,Closing Price
2004-11-01,23.6167
2004-11-02,23.7333
2004-11-03,24.0
2004-11-04,24.3267
2004-11-05,24.39
2004-11-08,24.3
2004-11-09,24.5
2004-11-10,24.6867
2004-11-11,24.7667
2004-11-12,24.99
2004-11-15,24.5303
2004-11-16,24.4333
2004-11-17,24.9167
2004-11-18,24.5467
2004-11-19,24.24
2004-11-22,24.6333
2004-11-23,25.2167
2004-11-24,25.0933
2004-11-26,25.11
2004-11-29,25.6667
2004-11-30,26.1233
2004-12-01,26.6433
2004-12-02,26.4167
2004-12-03,26.8333
2004-12-06,27.412
2004-12-07,26.7567
2004-12-08,27.0
2004-12-09,26.7367
2004-12-10,27.8033
2004-12-13,27.5333
2004-12-14,27.9833
2004-12-15,28.766
2004-12-16,28.0017
2004-12-17,27.8791
2004-12-20,27.9533
2004-12-21,28.2167
2004-12-22,28.3167
2004-12-23,28.61
2004-12-27,28.3433
2004-12-28,28.8833
2004-12-29,28.6867
2004-12-30,28.5867
2004-12-31,28.7667
2005-01-03,28.1667
2005-01-04,27.6367
2005-01-05,26.7686
2005-01-06,27.3904
2005-01-07,26.9777
2005-01-10,27.3933
2005-01-11,26.9133
2005-01-12,27.0
2005-01-13,27.4867
2005-01-14,27.8867
2005-01-18,27.7867
2005-01-19,27.84
2005-01-20,27.31
2005-01-21,27.2
2005-01-24,27.33
2005-01-25,27.0
2005-01-26,26.5
2005-01-27,26.3567
2005-01-28,26.5633
2005-01-31,26.5833
2005-02-01,26.689
2005-02-02,26.9467
2005-02-03,27.1867
2005-02-04,27.45
2005-02-07,27.2
2005-02-08,27.1933
2005-02-09,26.7633
2005-02-10,26.78
2005-02-11,26.8033
2005-02-14,26.8511
2005-02-15,26.83
2005-02-16,27.6681
2005-02-17,27.0667
2005-02-18,26.9333
2005-02-22,26.0533
2005-02-23,26.1
2005-02-24,26.7266
2005-02-25,28.02
2005-02-28,27.84
2005-03-01,28.0767
2005-03-02,27.9467
2005-03-03,27.6433
2005-03-04,28.7667
2005-03-07,28.3267
2005-03-08,28.13
2005-03-09,27.92
2005-03-10,27.3933
2005-03-11,27.42
2005-03-14,27.4233
2005-03-15,27.8633
2005-03-16,28.05
2005-03-17,28.0533
2005-03-18,27.6767
2005-03-21,27.44
2005-03-22,27.4833
2005-03-23,27.4533
2005-03-24,27.5
2005-03-28,27.4967
2005-03-29,26.9333
2005-03-30,26.8867
2005-03-31,26.98
2005-04-01,27.39
2005-04-04,27.54
2005-04-05,27.6033
2005-04-06,27.8
