Date,Closing Price
2004-11-01,14.6567
2004-11-02,14.6933
2004-11-03,14.8639
2004-11-04,15.23
2004-11-05,15.26
2004-11-08,15.2333
2004-11-09,15.2
2004-11-10,15.3633
2004-11-11,15.42
2004-11-12,15.33
2004-11-15,15.2369
2004-11-16,15.2467
2004-11-17,15.2633
2004-11-18,15.1933
2004-11-19,15.0833
2004-11-22,15.1333
2004-11-23,15.1333
2004-11-24,15.4
2004-11-26,15.5
2004-11-29,15.8367
2004-11-30,15.9333
2004-12-01,16.19
2004-12-02,16.49
2004-12-03,16.4967
2004-12-06,16.4567
2004-12-07,16.4714
2004-12-08,16.5867
2004-12-09,16.68
2004-12-10,16.73
2004-12-13,16.7367
2004-12-14,16.8567
2004-12-15,17.21
2004-12-16,17.48
2004-12-17,17.33
2004-12-20,17.36
2004-12-21,17.43
2004-12-22,17.5546
2004-12-23,17.58
2004-12-27,17.5333
2004-12-28,17.3067
2004-12-29,17.6033
2004-12-30,17.6433
2004-12-31,17.5367
2005-01-03,17.6567
2005-01-04,17.5667
2005-01-05,17.3867
2005-01-06,17.2433
2005-01-07,17.0833
2005-01-10,17.18
2005-01-11,16.9894
2005-01-12,17.0867
2005-01-13,17.1833
2005-01-14,17.6233
2005-01-18,17.7633
2005-01-19,17.9233
2005-01-20,17.69
2005-01-21,17.6333
2005-01-24,17.6167
2005-01-25,17.4833
2005-01-26,17.5167
2005-01-27,17.5833
2005-01-28,17.5967
2005-01-31,17.9267
2005-02-01,18.3333
2005-02-02,18.37
2005-02-03,18.4467
2005-02-04,18.7267
2005-02-07,18.7667
2005-02-08,18.7833
2005-02-09,18.7633
2005-02-10,19.0033
2005-02-11,18.9533
2005-02-14,18.8359
2005-02-15,18.6933
2005-02-16,18.7356
2005-02-17,18.7367
2005-02-18,19.0867
2005-02-22,18.6461
2005-02-23,18.9733
2005-02-24,19.29
2005-02-25,19.4713
2005-02-28,20.14
2005-03-01,20.3
2005-03-02,19.9492
2005-03-03,19.7833
2005-03-04,19.7216
2005-03-07,19.91
2005-03-08,19.8467
2005-03-09,19.8711
2005-03-10,19.4633
2005-03-11,19.1833
2005-03-14,18.76
2005-03-15,18.6167
2005-03-16,18.3356
2005-03-17,18.3633
2005-03-18,18.15
2005-03-21,18.2433
2005-03-22,18.12
2005-03-23,17.8567
2005-03-24,17.9167
2005-03-28,17.8867
2005-03-29,17.5233
2005-03-30,17.7267
2005-03-31,17.8333
2005-04-01,18.0833
2005-04-04,17.88
2005-04-05,17.81
2005-04-06,17.5133
2005-04-07,17.55
2005-04-08,17.4033
2005-04-11,17.2167
2005-04-12,17.3133
2005-04-13,17.3133
2005-04-14,17.1667
2005-04-15,16.9567
2005-04-18,17.1
2005-04-19,17.4667
2005-04-20,17.23
2005-04-21,17.4467
2005-04-22,17.25
2005-04-25,17.5
2005-04-26,17.4833
2005-04-27,17.4167
2005-04-28,17.2167
2005-04-29,17.0003
2005-05-02,17.0467
2005-05-03,17.0033
2005-05-04,17.36
2005-05-05,17.3333
2005-05-06,17.46
2005-05-09,17.4333
2005-05-10,17.2833
2005-05-11,17.2233
2005-05-12,17.2667
2005-05-13,17.0833
2005-05-16,17.2267
2005-05-17,17.14
2005-05-18,17.19
2005-05-19,17.4667
2005-05-20,17.57
2005-05-23,17.86
2005-05-24,17.86
2005-05-25,17.8833
2005-05-26,18.18
2005-05-27,18.3267
2005-05-31,18.25
2005-06-01,18.3467
2005-06-02,18.6367
2005-06-03,18.4433
2005-06-06,18.29
2005-06-07,18.35
2005-06-08,18.5533
2005-06-09,18.7667
2005-06-10,18.8233
2005-06-13,18.9967
2005-06-14,19.0967
2005-06-15,19.2
2005-06-16,19.3467
2005-06-17,19.5233
2005-06-20,19.67
2005-06-21,19.5433
2005-06-22,19.4167
2005-06-23,19.43
2005-06-24,19.1333
2005-06-27,19.3167
2005-06-28,19.5988
2005-06-29,19.74
2005-06-30,19.8567
2005-07-01,19.7833
2005-07-05,20.2767
2005-07-06,20.3667
2005-07-07,20.4633
2005-07-08,20.4333
2005-07-11,20.4933
2005-07-12,20.4833
2005-07-13,20.4333
2005-07-14,20.8
2005-07-15,21.16
2005-07-18,21.1333
2005-07-19,21.6167
2005-07-20,21.3767
2005-07-21,21.2867
2005-07-22,21.2167
2005-07-25,21.0333
2005-07-26,21.1167
2005-07-27,21.34
2005-07-28,21.3233
2005-07-29,21.6733
2005-08-01,21.7467
2005-08-02,22.3067
2005-08-03,22.7233
2005-08-04,23.0167
2005-08-05,22.9467
2005-08-08,22.79
2005-08-09,23.0467
2005-08-10,22.9767
2005-08-11,23.1133
2005-08-12,23.2567
2005-08-15,23.3467
2005-08-16,23.0067
2005-08-17,22.68
2005-08-18,22.8333
2005-08-19,22.87
2005-08-22,23.17
2005-08-23,22.8067
2005-08-24,23.0
2005-08-25,22.8433
2005-08-26,22.3
2005-08-29,22.0633
2005-08-30,22.3233
2005-08-31,22.8333
2005-09-01,23.1967
2005-09-02,23.4
2005-09-06,23.56
2005-09-07,24.16
2005-09-08,24.1433
2005-09-09,24.5767
2005-09-12,24.4433
2005-09-13,24.1467
2005-09-14,24.02
2005-09-15,24.0033
2005-09-16,24.1667
2005-09-19,24.4167
2005-09-20,24.2167
2005-09-21,23.64
2005-09-22,23.14
2005-09-23,23.2
2005-09-26,23.3833
2005-09-27,23.3067
2005-09-28,23.2467
2005-09-29,22.9733
2005-09-30,23.3333
2005-10-03,23.2
2005-10-04,23.2133
2005-10-05,22.7667
2005-10-06,22.24
2005-10-07,22.35
2005-10-10,22.2333
2005-10-11,22.3667
2005-10-12,21.6033
2005-10-13,21.6733
2005-10-14,21.49
2005-10-17,21.69
2005-10-18,21.8033
2005-10-19,21.93
2005-10-20,21.8
2005-10-21,22.4938
2005-10-24,22.89
2005-10-25,22.4333
2005-10-26,22.12
2005-10-27,21.7333
2005-10-28,22.19
2005-10-31,22.66
2005-11-01,22.5867
2005-11-02,22.7333
2005-11-03,22.7767
2005-11-04,23.3
2005-11-07,23.3933
2005-11-08,23.2033
2005-11-09,23.1967
2005-11-10,23.2133
2005-11-11,23.3846
2005-11-14,23.33
2005-11-15,23.0733
2005-11-16,23.12
2005-11-17,23.0767
2005-11-18,22.7867
2005-11-21,22.7833
2005-11-22,22.7167
2005-11-23,22.85
2005-11-25,22.9
2005-11-28,22.6833
2005-11-29,22.66
2005-11-30,22.6695
2005-12-01,22.6633
2005-12-02,23.0837
2005-12-05,22.7433
2005-12-06,23.28
2005-12-07,23.0567
2005-12-08,22.7533
2005-12-09,22.5397
2005-12-12,22.9
2005-12-13,22.72
2005-12-14,23.12
2005-12-15,23.1533
2005-12-16,23.209
2005-12-19,23.1933
2005-12-20,23.4667
2005-12-21,24.0233
2005-12-22,23.8067
2005-12-23,24.0533
2005-12-27,24.1267
2005-12-28,23.9
2005-12-29,24.1933
2005-12-30,24.1833
2006-01-03,24.8533
2006-01-04,25.6951
2006-01-05,25.4967
2006-01-06,25.6433
2006-01-09,25.67
2006-01-10,25.5267
2006-01-11,26.15
2006-01-12,26.2
2006-01-13,26.13
2006-01-17,25.6333
2006-01-18,25.33
2006-01-19,25.5
2006-01-20,25.0833
2006-01-23,25.2033
2006-01-24,25.3267
2006-01-25,25.4823
2006-01-26,25.99
2006-01-27,26.7533
2006-01-30,26.55
2006-01-31,26.1133
2006-02-01,25.9867
2006-02-02,25.64
2006-02-03,25.5333
2006-02-06,26.0076
2006-02-07,26.01
2006-02-08,26.1667
2006-02-09,26.5933
2006-02-10,26.61
2006-02-13,26.1667
2006-02-14,26.1833
2006-02-15,26.2567
2006-02-16,26.6667
2006-02-17,26.91
2006-02-21,26.7533
2006-02-22,27.2843
2006-02-23,27.4067
2006-02-24,27.7333
2006-02-27,28.7367
2006-02-28,28.9967
2006-03-01,29.1767
2006-03-02,29.1267
2006-03-03,28.91
2006-03-06,28.45
2006-03-07,27.7467
2006-03-08,27.61
2006-03-09,27.9333
2006-03-10,28.3433
2006-03-13,28.1233
2006-03-14,28.1667
2006-03-15,29.9033
2006-03-16,30.8233
2006-03-17,30.52
2006-03-20,30.6467
2006-03-21,30.2467
2006-03-22,29.8567
2006-03-23,29.9597
2006-03-24,30.03
2006-03-27,30.1267
2006-03-28,30.59
2006-03-29,30.5833
2006-03-30,30.45
2006-03-31,30.5533
2006-04-03,31.0767
2006-04-04,31.0667
2006-04-05,30.8333
2006-04-06,30.2
2006-04-07,29.3033
2006-04-10,29.5733
2006-04-11,29.09
2006-04-12,29.46
2006-04-13,29.67
2006-04-17,29.84
2006-04-18,29.8917
2006-04-19,29.5
2006-04-20,29.5667
2006-04-21,29.86
2006-04-24,29.8633
2006-04-25,29.6833
2006-04-26,30.3733
2006-04-27,30.1867
2006-04-28,30.9833
2006-05-01,30.9467
2006-05-02,32.15
2006-05-03,31.7833
2006-05-04,31.9667
2006-05-05,32.0833
2006-05-08,32.2167
2006-05-09,32.3
2006-05-10,32.2333
2006-05-11,31.6133
2006-05-12,31.0438
2006-05-15,30.7867
2006-05-16,31.2233
2006-05-17,30.69
2006-05-18,30.08
2006-05-19,29.99
2006-05-22,28.4
2006-05-23,29.1367
2006-05-24,28.1333
2006-05-25,29.3133
2006-05-26,29.6533
2006-05-30,28.0467
2006-05-31,28.5967
2006-06-01,29.4667
2006-06-02,29.45
2006-06-05,28.4267
2006-06-06,28.47
2006-06-07,28.2299
2006-06-08,28.1533
2006-06-09,27.2033
2006-06-12,25.6612
2006-06-13,25.0102
2006-06-14,24.08
2006-06-15,25.3333
2006-06-16,25.0567
2006-06-19,25.1267
2006-06-20,25.4333
2006-06-21,26.2567
2006-06-22,26.4067
2006-06-23,26.6467
2006-06-26,26.44
2006-06-27,25.8133
2006-06-28,26.2467
2006-06-29,27.6995
2006-06-30,27.9067
2006-07-03,29.2533
2006-07-05,28.9333
2006-07-06,28.9933
2006-07-07,28.2595
2006-07-10,28.54
2006-07-11,28.6167
2006-07-12,28.6567
2006-07-13,27.5329
2006-07-14,26.9967
2006-07-17,26.8567
2006-07-18,27.67
2006-07-19,28.8367
2006-07-20,28.3733
2006-07-21,27.9367
2006-07-24,29.0667
2006-07-25,29.6367
2006-07-26,29.0533
2006-07-27,28.83
2006-07-28,29.3
2006-07-31,29.28
2006-08-01,29.3567
2006-08-02,29.8667
2006-08-03,29.8833
2006-08-04,30.2233
2006-08-07,29.77
2006-08-08,30.03
2006-08-09,29.28
2006-08-10,29.3033
2006-08-11,29.5133
2006-08-14,29.9667
2006-08-15,30.7167
2006-08-16,30.95
2006-08-17,30.9833
2006-08-18,30.9033
2006-08-21,30.94
2006-08-22,31.0167
2006-08-23,30.8033
2006-08-24,30.6667
2006-08-25,30.5967
2006-08-28,30.8467
2006-08-29,30.9333
2006-08-30,31.5731
2006-08-31,31.3467
2006-09-01,31.4267
2006-09-05,31.2333
2006-09-06,30.7026
2006-09-07,30.4133
2006-09-08,30.4933
2006-09-11,30.5567
2006-09-12,31.8733
2006-09-13,32.6367
2006-09-14,32.7158
2006-09-15,32.6933
2006-09-18,32.93
2006-09-19,33.1318
2006-09-20,33.2967
2006-09-21,32.18
2006-09-22,31.4233
2006-09-25,32.6249
2006-09-26,32.3333
2006-09-27,32.0441
2006-09-28,32.3233
2006-09-29,32.3133
2006-10-02,32.14
2006-10-03,31.93
2006-10-04,33.0867
2006-10-05,33.2533
2006-10-06,32.84
2006-10-09,32.75
2006-10-10,32.9367
2006-10-11,32.7567
2006-10-12,33.3867
2006-10-13,33.8333
2006-10-16,33.9833
2006-10-17,33.25
2006-10-18,33.31
2006-10-19,33.3067
2006-10-20,32.8333
2006-10-23,32.98
2006-10-24,32.4933
2006-10-25,32.7047
2006-10-26,33.1167
2006-10-27,32.79
2006-10-30,31.7967
2006-10-31,32.2333
2006-11-01,32.62
2006-11-02,32.54
2006-11-03,32.68
2006-11-06,33.58
2006-11-07,33.3833
2006-11-08,34.0267
2006-11-09,33.6
2006-11-10,34.1267
2006-11-13,33.8167
2006-11-14,34.3267
2006-11-15,34.1633
2006-11-16,34.7067
2006-11-17,34.63
2006-11-20,35.2967
2006-11-21,35.1033
2006-11-22,35.1986
2006-11-24,34.94
2006-11-27,34.1133
2006-11-28,33.9333
2006-11-29,34.8152
2006-11-30,35.0833
2006-12-01,35.3897
2006-12-04,36.5367
2006-12-05,38.2967
2006-12-06,37.92
2006-12-07,37.4567
2006-12-08,37.8333
2006-12-11,38.5
2006-12-12,38.41
2006-12-13,38.6667
2006-12-14,39.1933
2006-12-15,38.99
2006-12-18,38.8633
2006-12-19,38.2533
2006-12-20,37.83
2006-12-21,37.97
2006-12-22,37.9067
2006-12-26,38.3067
2006-12-27,38.7033
2006-12-28,38.6167
2006-12-29,38.56
2007-01-03,39.05
2007-01-04,38.3133
2007-01-05,38.0667
2007-01-08,38.6333
2007-01-09,38.0767
2007-01-10,38.6933
2007-01-11,39.4633
2007-01-12,39.24
2007-01-16,39.6467
2007-01-17,39.8833
2007-01-18,39.19
2007-01-19,39.64
2007-01-22,39.8633
2007-01-23,39.8467
2007-01-24,39.9333
2007-01-25,38.7667
2007-01-26,39.22
2007-01-29,38.7333
2007-01-30,39.2133
2007-01-31,39.9667
2007-02-01,41.5
2007-02-02,42.4967
2007-02-05,42.0833
2007-02-06,42.5133
2007-02-07,43.4967
2007-02-08,43.0833
2007-02-09,42.8167
2007-02-12,42.61
2007-02-13,42.95
2007-02-14,44.37
2007-02-15,44.1467
2007-02-16,43.7567
2007-02-20,42.9967
2007-02-21,42.3933
2007-02-22,42.37
2007-02-23,41.4267
2007-02-26,39.5267
2007-02-27,35.9
2007-02-28,36.8
2007-03-01,36.9
2007-03-02,36.2233
2007-03-05,35.5523
2007-03-06,35.68
2007-03-07,35.0267
2007-03-08,35.9667
2007-03-09,36.5833
2007-03-12,36.4333
2007-03-13,34.8567
2007-03-14,35.3
2007-03-15,36.23
2007-03-16,36.08
2007-03-19,36.1
