Date,Closing Price
2004-11-01,39.1963
2004-11-02,38.33
2004-11-03,39.2902
2004-11-04,39.87
2004-11-05,38.78
2004-11-08,38.99
2004-11-09,38.98
2004-11-10,39.26
2004-11-11,39.57
2004-11-12,40.0954
2004-11-15,41.01
2004-11-16,40.07
2004-11-17,39.39
2004-11-18,39.29
2004-11-19,38.6
2004-11-22,39.14
2004-11-23,39.8
2004-11-24,40.35
2004-11-26,40.24
2004-11-29,39.99
2004-11-30,39.8
2004-12-01,40.21
2004-12-02,40.13
2004-12-03,40.3
2004-12-06,40.89
2004-12-07,40.54
2004-12-08,40.88
2004-12-09,41.26
2004-12-10,41.71
2004-12-13,41.15
2004-12-14,41.22
2004-12-15,41.368
2004-12-16,40.83
2004-12-17,41.41
2004-12-20,41.4
2004-12-21,41.7192
2004-12-22,42.076
2004-12-23,41.92
2004-12-27,41.64
2004-12-28,41.7017
2004-12-29,40.82
2004-12-30,40.9
2004-12-31,40.72
2005-01-03,40.28
2005-01-04,39.8
2005-01-05,38.2947
2005-01-06,38.7511
2005-01-07,38.59
2005-01-10,38.51
2005-01-11,38.0552
2005-01-12,38.1438
2005-01-13,38.07
2005-01-14,38.54
2005-01-18,38.81
2005-01-19,38.96
2005-01-20,38.66
2005-01-21,39.02
2005-01-24,39.81
2005-01-25,38.9436
2005-01-26,39.22
2005-01-27,39.01
2005-01-28,39.12
2005-01-31,39.1
2005-02-01,39.5425
2005-02-02,40.03
2005-02-03,40.16
2005-02-04,40.53
2005-02-07,40.75
2005-02-08,41.104
2005-02-09,41.29
2005-02-10,41.69
2005-02-11,42.06
2005-02-14,42.2847
2005-02-15,42.51
2005-02-16,42.65
2005-02-17,42.45
2005-02-18,41.95
2005-02-22,41.0343
2005-02-23,40.94
2005-02-24,40.88
2005-02-25,41.73
2005-02-28,41.59
2005-03-01,41.62
2005-03-02,41.14
2005-03-03,41.23
2005-03-04,41.92
2005-03-07,42.0
2005-03-08,41.47
2005-03-09,40.39
2005-03-10,40.57
2005-03-11,39.96
2005-03-14,40.87
2005-03-15,40.38
2005-03-16,40.0
2005-03-17,39.84
2005-03-18,39.57
2005-03-21,39.51
2005-03-22,38.64
2005-03-23,38.6
2005-03-24,38.8
2005-03-28,38.93
2005-03-29,38.07
2005-03-30,38.39
2005-03-31,37.83
2005-04-01,37.7
2005-04-04,37.65
2005-04-05,37.6
2005-04-06,37.89
2005-04-07,37.89
2005-04-08,37.55
2005-04-11,37.49
2005-04-12,38.0
2005-04-13,38.05
2005-04-14,37.552
2005-04-15,37.35
2005-04-18,37.62
2005-04-19,38.08
2005-04-20,37.7
2005-04-21,37.7622
2005-04-22,37.7
2005-04-25,38.24
2005-04-26,38.3
2005-04-27,38.5346
2005-04-28,38.1
2005-04-29,38.2
2005-05-02,37.45
2005-05-03,37.6
2005-05-04,38.25
2005-05-05,38.57
2005-05-06,37.96
2005-05-09,38.83
2005-05-10,38.95
2005-05-11,38.97
2005-05-12,38.4
2005-05-13,38.15
2005-05-16,38.75
2005-05-17,38.88
2005-05-18,39.48
2005-05-19,39.3
2005-05-20,39.73
2005-05-23,39.43
2005-05-24,38.86
2005-05-25,38.04
2005-05-26,38.0
2005-05-27,38.73
2005-05-31,38.8
2005-06-01,39.33
2005-06-02,38.96
2005-06-03,39.15
2005-06-06,39.91
2005-06-07,40.4
2005-06-08,40.88
2005-06-09,40.82
2005-06-10,40.85
2005-06-13,41.11
2005-06-14,41.8
2005-06-15,41.68
2005-06-16,41.64
2005-06-17,42.0
2005-06-20,42.16
2005-06-21,41.6
2005-06-22,41.47
2005-06-23,41.28
2005-06-24,40.9133
2005-06-27,40.75
2005-06-28,40.01
2005-06-29,40.04
2005-06-30,39.91
2005-07-01,40.15
2005-07-05,40.9
2005-07-06,40.45
2005-07-07,40.23
2005-07-08,40.72
2005-07-11,41.43
2005-07-12,41.19
2005-07-13,40.68
2005-07-14,40.01
2005-07-15,40.55
2005-07-18,40.04
2005-07-19,40.8
2005-07-20,41.3
2005-07-21,40.45
2005-07-22,40.41
2005-07-25,40.3
2005-07-26,40.05
2005-07-27,39.88
2005-07-28,41.24
2005-07-29,41.2825
2005-08-01,41.38
2005-08-02,41.8
2005-08-03,41.44
2005-08-04,40.35
2005-08-05,38.8
2005-08-08,37.56
2005-08-09,37.7103
2005-08-10,37.54
2005-08-11,37.6
2005-08-12,37.72
2005-08-15,37.98
2005-08-16,38.01
2005-08-17,37.84
2005-08-18,37.57
2005-08-19,37.41
2005-08-22,37.64
2005-08-23,37.62
2005-08-24,37.84
2005-08-25,37.77
2005-08-26,37.2
2005-08-29,37.361
2005-08-30,37.45
2005-08-31,37.91
2005-09-01,38.4
2005-09-02,38.48
2005-09-06,39.52
2005-09-07,39.36
2005-09-08,39.37
2005-09-09,39.48
2005-09-12,39.7
2005-09-13,39.35
2005-09-14,39.07
2005-09-15,39.47
2005-09-16,40.55
2005-09-19,40.09
2005-09-20,39.49
2005-09-21,38.73
2005-09-22,39.35
2005-09-23,39.25
2005-09-26,39.49
2005-09-27,39.35
2005-09-28,39.0
2005-09-29,39.5298
2005-09-30,40.05
2005-10-03,40.3
2005-10-04,39.79
2005-10-05,39.02
2005-10-06,39.27
2005-10-07,39.8
2005-10-10,39.08
2005-10-11,38.6
2005-10-12,37.79
2005-10-13,38.44
2005-10-14,39.31
2005-10-17,39.7712
2005-10-18,39.28
2005-10-19,40.06
2005-10-20,39.21
2005-10-21,39.8
2005-10-24,40.83
2005-10-25,40.25
2005-10-26,39.98
2005-10-27,39.35
2005-10-28,40.18
2005-10-31,40.64
2005-11-01,40.16
2005-11-02,40.91
2005-11-03,40.6
2005-11-04,40.56
2005-11-07,40.4
2005-11-08,40.45
2005-11-09,41.23
2005-11-10,40.85
2005-11-11,40.79
2005-11-14,40.9
2005-11-15,40.48
2005-11-16,40.12
2005-11-17,40.95
2005-11-18,41.12
2005-11-21,41.33
2005-11-22,41.82
2005-11-23,41.73
2005-11-25,41.43
2005-11-28,40.61
2005-11-29,41.03
2005-11-30,40.55
2005-12-01,40.86
2005-12-02,40.98
2005-12-05,39.98
2005-12-06,39.33
2005-12-07,39.29
2005-12-08,39.61
2005-12-09,39.84
2005-12-12,39.83
2005-12-13,39.95
2005-12-14,40.29
2005-12-15,39.53
2005-12-16,40.15
2005-12-19,39.33
2005-12-20,39.25
2005-12-21,40.05
2005-12-22,40.21
2005-12-23,40.3
2005-12-27,39.94
2005-12-28,39.07
2005-12-29,38.78
2005-12-30,38.5
2006-01-03,39.42
2006-01-04,39.23
2006-01-05,39.56
2006-01-06,40.0
2006-01-09,40.0
2006-01-10,39.95
2006-01-11,39.44
2006-01-12,38.79
2006-01-13,38.99
2006-01-17,38.7
2006-01-18,38.8106
2006-01-19,38.9
2006-01-20,38.5983
2006-01-23,38.74
2006-01-24,39.47
2006-01-25,39.2468
2006-01-26,39.6387
2006-01-27,39.8499
2006-01-30,39.34
2006-01-31,39.07
2006-02-01,39.02
2006-02-02,38.6283
2006-02-03,38.0
2006-02-06,38.3191
2006-02-07,38.0499
2006-02-08,37.72
2006-02-09,38.0483
2006-02-10,38.01
2006-02-13,38.2051
2006-02-14,38.5284
2006-02-15,38.8489
2006-02-16,38.94
2006-02-17,38.9
2006-02-21,38.9472
2006-02-22,39.8199
2006-02-23,39.7725
2006-02-24,39.46
2006-02-27,39.4791
2006-02-28,38.5789
2006-03-01,38.4694
2006-03-02,38.79
2006-03-03,38.36
2006-03-06,39.38
2006-03-07,39.15
2006-03-08,39.2891
2006-03-09,39.6971
2006-03-10,40.43
2006-03-13,40.35
2006-03-14,40.7967
2006-03-15,41.45
2006-03-16,41.89
2006-03-17,42.15
2006-03-20,42.1715
2006-03-21,41.9
2006-03-22,42.4
2006-03-23,42.84
2006-03-24,42.9
2006-03-27,42.43
2006-03-28,43.23
2006-03-29,43.03
2006-03-30,42.22
2006-03-31,42.6555
2006-04-03,41.7883
2006-04-04,41.18
2006-04-05,41.58
2006-04-06,41.71
2006-04-07,41.01
2006-04-10,40.48
2006-04-11,40.2
2006-04-12,40.06
2006-04-13,39.63
2006-04-17,39.63
2006-04-18,41.07
2006-04-19,41.52
2006-04-20,40.87
2006-04-21,40.75
2006-04-24,40.2
2006-04-25,39.7
2006-04-26,39.62
2006-04-27,39.71
2006-04-28,39.24
2006-05-01,38.6
2006-05-02,37.76
2006-05-03,37.82
2006-05-04,38.23
2006-05-05,38.79
2006-05-08,38.75
2006-05-09,38.5
2006-05-10,38.49
2006-05-11,37.8
2006-05-12,37.44
2006-05-15,37.75
2006-05-16,37.66
2006-05-17,37.1793
2006-05-18,37.1
2006-05-19,37.24
2006-05-22,36.88
2006-05-23,36.51
2006-05-24,36.69
2006-05-25,37.6
2006-05-26,37.7
2006-05-30,37.05
2006-05-31,37.0
2006-06-01,38.0
2006-06-02,38.36
2006-06-05,38.28
2006-06-06,38.23
2006-06-07,38.2
2006-06-08,38.5676
2006-06-09,38.85
2006-06-12,38.03
2006-06-13,37.51
2006-06-14,37.42
2006-06-15,38.27
2006-06-16,37.8946
2006-06-19,37.4495
2006-06-20,37.45
2006-06-21,38.0268
2006-06-22,37.6449
2006-06-23,37.23
2006-06-26,37.9
2006-06-27,37.35
2006-06-28,36.72
2006-06-29,38.0897
2006-06-30,37.9382
2006-07-03,38.39
2006-07-05,38.29
2006-07-06,38.31
2006-07-07,37.78
2006-07-10,38.386
2006-07-11,38.5
2006-07-12,38.26
2006-07-13,37.61
2006-07-14,37.2493
2006-07-17,37.52
2006-07-18,38.3996
2006-07-19,39.1068
2006-07-20,38.22
2006-07-21,37.5
2006-07-24,37.8
2006-07-25,38.1891
2006-07-26,39.7033
2006-07-27,39.9348
2006-07-28,40.5
2006-07-31,40.23
2006-08-01,40.25
2006-08-02,40.8404
2006-08-03,41.1501
2006-08-04,41.74
2006-08-07,41.35
2006-08-08,40.9065
2006-08-09,40.5729
2006-08-10,40.5197
2006-08-11,40.57
2006-08-14,40.94
2006-08-15,41.34
2006-08-16,41.46
2006-08-17,41.95
2006-08-18,42.057
2006-08-21,41.95
2006-08-22,42.47
2006-08-23,41.93
2006-08-24,42.19
2006-08-25,42.06
2006-08-28,42.766
2006-08-29,43.1302
2006-08-30,43.3141
2006-08-31,43.3115
2006-09-01,43.0199
2006-09-05,43.66
2006-09-06,42.7987
2006-09-07,42.27
2006-09-08,42.4296
2006-09-11,42.6121
2006-09-12,42.9993
2006-09-13,43.02
2006-09-14,43.0245
2006-09-15,43.46
2006-09-18,43.0
2006-09-19,42.37
2006-09-20,42.336
2006-09-21,43.0
2006-09-22,43.3688
2006-09-25,43.95
2006-09-26,44.25
2006-09-27,44.0202
2006-09-28,44.11
2006-09-29,44.0
2006-10-02,43.6977
2006-10-03,44.3549
2006-10-04,44.9153
2006-10-05,45.84
2006-10-06,45.34
2006-10-09,45.7
2006-10-10,45.58
2006-10-11,45.4
2006-10-12,45.85
2006-10-13,46.36
2006-10-16,46.49
2006-10-17,46.17
2006-10-18,46.2003
2006-10-19,46.3
2006-10-20,45.95
2006-10-23,45.92
2006-10-24,45.9664
2006-10-25,46.0
2006-10-26,46.37
2006-10-27,45.95
2006-10-30,45.9767
2006-10-31,45.97
2006-11-01,45.36
2006-11-02,44.7774
2006-11-03,44.67
2006-11-06,45.02
2006-11-07,44.88
2006-11-08,45.22
2006-11-09,45.4
2006-11-10,45.77
2006-11-13,45.84
2006-11-14,46.9
2006-11-15,47.19
2006-11-16,47.78
2006-11-17,47.68
2006-11-20,49.2496
2006-11-21,50.57
2006-11-22,50.2
2006-11-24,50.45
2006-11-27,48.46
2006-11-28,49.0886
2006-11-29,50.12
2006-11-30,50.25
2006-12-01,49.99
2006-12-04,50.0
2006-12-05,49.35
2006-12-06,49.398
2006-12-07,49.06
2006-12-08,49.1
2006-12-11,49.04
2006-12-12,48.8
2006-12-13,48.3797
2006-12-14,48.17
2006-12-15,47.7576
2006-12-18,47.1
2006-12-19,46.78
2006-12-20,46.8999
2006-12-21,46.72
2006-12-22,46.6
2006-12-26,47.15
2006-12-27,46.63
2006-12-28,46.9
2006-12-29,46.87
2007-01-03,46.7
2007-01-04,46.47
2007-01-05,45.8196
2007-01-08,45.71
2007-01-09,46.13
2007-01-10,46.4484
2007-01-11,47.17
2007-01-12,47.35
2007-01-16,47.15
2007-01-17,47.03
2007-01-18,46.6958
2007-01-19,47.43
2007-01-22,46.68
2007-01-23,46.6876
2007-01-24,47.1537
2007-01-25,46.76
2007-01-26,47.14
2007-01-29,47.26
2007-01-30,47.28
2007-01-31,47.26
2007-02-01,47.66
2007-02-02,47.7796
2007-02-05,47.36
2007-02-06,47.9823
2007-02-07,49.07
2007-02-08,48.97
2007-02-09,48.9995
2007-02-12,48.8998
2007-02-13,49.1789
2007-02-14,48.9999
2007-02-15,48.65
2007-02-16,48.79
2007-02-20,49.51
2007-02-21,49.3264
2007-02-22,49.2899
2007-02-23,48.08
2007-02-26,48.2943
2007-02-27,46.33
2007-02-28,46.37
2007-03-01,46.43
2007-03-02,45.85
2007-03-05,45.959
2007-03-06,45.96
2007-03-07,45.28
2007-03-08,45.66
2007-03-09,46.09
2007-03-12,46.1408
2007-03-13,44.8
2007-03-14,45.3662
2007-03-15,46.11
2007-03-16,46.2
2007-03-19,46.2
2007-03-20,46.11
2007-03-21,46.8
2007-03-22,46.87
2007-03-23,46.81
2007-03-26,45.8375
2007-03-27,45.5
2007-03-28,44.61
2007-03-29,44.84
2007-03-30,45.14
2007-04-02,45.68
2007-04-03,45.71
2007-04-04,45.0
2007-04-05,44.83
2007-04-09,44.33
2007-04-10,44.2412
2007-04-11,43.9
2007-04-12,43.75
2007-04-13,44.37
2007-04-16,44.6839
2007-04-17,44.91
2007-04-18,44.01
2007-04-19,43.49
2007-04-20,43.8579
2007-04-23,44.2999
2007-04-24,44.01
2007-04-25,44.09
2007-04-26,44.2
2007-04-27,44.27
2007-04-30,43.79
2007-05-01,43.8
2007-05-02,44.53
2007-05-03,44.82
2007-05-04,45.0
2007-05-07,44.6725
2007-05-08,44.26
2007-05-09,44.52
2007-05-10,44.03
2007-05-11,44.4
2007-05-14,43.93
2007-05-15,43.52
2007-05-16,43.35
2007-05-17,42.68
2007-05-18,42.29
2007-05-21,43.33
2007-05-22,43.6
2007-05-23,43.07
2007-05-24,42.08
2007-05-25,42.44
2007-05-29,43.2
2007-05-30,44.2
2007-05-31,44.55
2007-06-01,44.85
2007-06-04,45.42
2007-06-05,44.7
2007-06-06,44.35
2007-06-07,42.92
2007-06-08,43.55
2007-06-11,42.69
2007-06-12,41.63
2007-06-13,42.34
2007-06-14,41.91
2007-06-15,42.32
2007-06-18,41.6
2007-06-19,41.16
2007-06-20,40.34
2007-06-21,39.5
2007-06-22,39.23
2007-06-25,39.08
2007-06-26,38.96
2007-06-27,38.85
2007-06-28,39.17
2007-06-29,38.84
2007-07-02,39.15
2007-07-03,38.98
2007-07-05,39.3
2007-07-06,39.2
2007-07-09,38.6
2007-07-10,37.99
2007-07-11,38.27
2007-07-12,39.31
2007-07-13,40.77
2007-07-16,40.5
2007-07-17,40.77
2007-07-18,40.67
2007-07-19,41.21
2007-07-20,40.32
2007-07-23,39.87
2007-07-24,39.41
2007-07-25,40.2
2007-07-26,39.57
2007-07-27,39.02
2007-07-30,38.7
2007-07-31,38.71
2007-08-01,38.99
2007-08-02,39.42
2007-08-03,38.9
2007-08-06,37.96
2007-08-07,39.25
2007-08-08,40.5
2007-08-09,40.38
2007-08-10,39.72
2007-08-13,39.8
2007-08-14,39.17
2007-08-15,37.64
2007-08-16,39.1
2007-08-17,40.5
2007-08-20,40.6
2007-08-21,41.37
2007-08-22,40.95
2007-08-23,40.04
2007-08-24,39.45
2007-08-27,39.88
2007-08-28,38.96
2007-08-29,40.46
2007-08-30,40.43
2007-08-31,40.78
2007-09-04,40.58
2007-09-05,39.87
2007-09-06,40.21
2007-09-07,38.56
2007-09-10,37.8
2007-09-11,38.22
2007-09-12,38.5
2007-09-13,38.7
2007-09-14,38.98
2007-09-17,38.7
2007-09-18,40.0
2007-09-19,40.19
2007-09-20,39.97
2007-09-21,40.23
2007-09-24,40.19
2007-09-25,40.1
2007-09-26,39.77
2007-09-27,39.8
2007-09-28,38.8
2007-10-01,39.89
2007-10-02,40.79
2007-10-03,40.95
2007-10-04,41.5
2007-10-05,42.69
2007-10-08,42.1
2007-10-09,41.91
2007-10-10,41.7
2007-10-11,41.31
2007-10-12,40.5
2007-10-15,39.62
2007-10-16,39.14
2007-10-17,39.91
2007-10-18,40.39
2007-10-19,39.26
2007-10-22,39.48
2007-10-23,39.79
2007-10-24,39.46
2007-10-25,40.04
2007-10-26,40.5
2007-10-29,40.24
2007-10-30,39.95
2007-10-31,40.75
2007-11-01,38.61
2007-11-02,38.47
2007-11-05,37.56
2007-11-06,38.3
2007-11-07,37.0
2007-11-08,36.77
2007-11-09,36.92
2007-11-12,37.26
2007-11-13,38.64
2007-11-14,38.93
2007-11-15,39.03
2007-11-16,38.77
2007-11-19,38.17
2007-11-20,37.37
2007-11-21,37.3
2007-11-23,38.3
2007-11-26,36.41
2007-11-27,36.37
2007-11-28,37.27
2007-11-29,36.61
2007-11-30,36.52
2007-12-03,36.76
2007-12-04,36.47
2007-12-05,37.49
2007-12-06,39.06
2007-12-07,39.52
2007-12-10,40.05
2007-12-11,38.12
2007-12-12,38.44
2007-12-13,37.95
2007-12-14,36.05
2007-12-17,35.02
2007-12-18,35.0
2007-12-19,35.19
2007-12-20,35.56
2007-12-21,36.37
2007-12-24,36.93
2007-12-26,36.6
2007-12-27,35.45
2007-12-28,35.07
2007-12-31,34.49
2008-01-02,33.52
2008-01-03,31.68
