Date,Closing Price
2004-11-01,3.8483
2004-11-02,3.779
2004-11-03,3.8619
2004-11-04,3.9091
2004-11-05,3.9154
2004-11-08,3.8629
2004-11-09,3.9825
2004-11-10,3.9301
2004-11-11,4.0224
2004-11-12,4.0098
2004-11-15,4.079
2004-11-16,4.037
2004-11-17,4.1105
2004-11-18,4.1391
2004-11-19,4.1209
2004-11-22,4.2572
2004-11-23,4.2971
2004-11-24,4.3306
2004-11-26,4.337
2004-11-29,4.4354
2004-11-30,4.4858
2004-12-01,4.5467
2004-12-02,4.5403
2004-12-03,4.4984
2004-12-06,4.4418
2004-12-07,4.2802
2004-12-08,4.337
2004-12-09,4.2991
2004-12-10,4.404
2004-12-13,4.4648
2004-12-14,4.4878
2004-12-15,4.6552
2004-12-16,4.7175
2004-12-17,4.7416
2004-12-20,4.6976
2004-12-21,4.707
2004-12-22,4.7396
2004-12-23,4.7647
2004-12-27,4.6766
2004-12-28,4.815
2004-12-29,4.8549
2004-12-30,4.8234
2004-12-31,4.7374
2005-01-03,4.5529
2005-01-04,4.469
2005-01-05,4.4292
2005-01-06,4.5049
2005-01-07,4.3417
2005-01-10,4.4354
2005-01-11,4.469
2005-01-12,4.4586
2005-01-13,4.4502
2005-01-14,4.5166
2005-01-18,4.5403
2005-01-19,4.511
2005-01-20,4.4858
2005-01-21,4.3789
2005-01-24,4.3265
2005-01-25,4.3621
2005-01-26,4.4627
2005-01-27,4.4984
2005-01-28,4.4438
2005-01-31,4.5298
2005-02-01,4.5655
2005-02-02,4.4354
2005-02-03,4.3306
2005-02-04,4.2594
2005-02-07,4.4208
2005-02-08,4.4795
2005-02-09,4.4376
2005-02-10,4.4124
2005-02-11,4.5698
2005-02-14,4.6138
2005-02-15,4.6158
2005-02-16,4.6976
2005-02-17,4.6976
2005-02-18,4.6598
2005-02-22,4.6138
2005-02-23,4.6138
2005-02-24,4.6662
2005-02-25,4.7374
2005-02-28,4.7458
2005-03-01,4.6662
2005-03-02,4.6725
2005-03-03,4.6557
2005-03-04,4.7291
2005-03-07,4.6242
2005-03-08,4.597
2005-03-09,4.5613
2005-03-10,4.5131
2005-03-11,4.5319
2005-03-14,4.555
2005-03-15,4.5005
2005-03-16,4.5214
2005-03-17,4.534
2005-03-18,4.404
2005-03-21,4.404
2005-03-22,4.3935
2005-03-23,4.339
2005-03-24,4.3579
2005-03-28,4.3054
2005-03-29,4.2405
2005-03-30,4.3096
2005-03-31,4.2153
2005-04-01,4.1105
2005-04-04,4.1083
2005-04-05,4.2194
2005-04-06,4.2467
2005-04-07,4.3034
2005-04-08,4.1943
2005-04-11,4.1167
2005-04-12,4.1733
2005-04-13,4.0559
2005-04-14,3.9468
2005-04-15,3.9154
2005-04-18,3.9406
2005-04-19,3.9825
2005-04-20,3.9992
2005-04-21,4.0685
2005-04-22,3.993
2005-04-25,4.016
2005-04-26,3.9594
2005-04-27,3.9636
2005-04-28,3.9573
2005-04-29,3.9846
2005-05-02,4.0139
2005-05-03,3.9972
2005-05-04,4.0496
2005-05-05,4.0328
2005-05-06,3.9699
2005-05-09,4.0328
2005-05-10,3.949
2005-05-11,3.9678
2005-05-12,3.9301
2005-05-13,3.8629
2005-05-16,4.0056
2005-05-17,4.0496
2005-05-18,4.2635
2005-05-19,4.2761
2005-05-20,4.2551
2005-05-23,4.3054
2005-05-24,4.2886
2005-05-25,4.1838
2005-05-26,4.2782
2005-05-27,4.3306
2005-05-31,4.424
2005-06-01,4.5298
2005-06-02,4.5487
2005-06-03,4.4878
2005-06-06,4.5257
2005-06-07,4.5948
2005-06-08,4.5718
2005-06-09,4.6033
2005-06-10,4.6011
2005-06-13,4.641
2005-06-14,4.6578
2005-06-15,4.6326
2005-06-16,4.6662
2005-06-17,4.6536
2005-06-20,4.6536
2005-06-21,4.6515
2005-06-22,4.6347
2005-06-23,4.6683
2005-06-24,4.7291
2005-06-27,4.771
2005-06-28,4.9388
2005-06-29,4.9157
2005-06-30,4.9094
2005-07-01,4.9702
2005-07-05,5.0542
2005-07-06,4.9807
2005-07-07,4.9912
2005-07-08,5.0331
2005-07-11,5.0646
2005-07-12,5.0605
2005-07-13,4.9954
2005-07-14,4.9493
2005-07-15,4.9367
2005-07-18,4.9514
2005-07-19,5.0226
2005-07-20,5.1611
2005-07-21,5.0059
2005-07-22,5.203
2005-07-25,5.117
2005-07-26,5.1611
2005-07-27,5.1548
2005-07-28,5.2345
2005-07-29,5.201
2005-08-01,5.2429
2005-08-02,5.3163
2005-08-03,5.2051
2005-08-04,5.1381
2005-08-05,5.1338
2005-08-08,5.115
2005-08-09,5.0982
2005-08-10,5.0835
2005-08-11,5.1086
2005-08-12,5.0226
2005-08-15,5.0646
2005-08-16,4.9262
2005-08-17,4.941
2005-08-18,4.8905
2005-08-19,4.8759
2005-08-22,4.8948
2005-08-23,4.8654
2005-08-24,4.9199
2005-08-25,4.9367
2005-08-26,4.8864
2005-08-29,5.0605
2005-08-30,4.9346
2005-08-31,5.0437
2005-09-01,5.052
2005-09-02,5.0038
2005-09-06,5.0542
2005-09-07,5.1317
2005-09-08,5.0646
2005-09-09,5.201
2005-09-12,5.3099
2005-09-13,5.2638
2005-09-14,5.1422
2005-09-15,5.1758
2005-09-16,5.2764
2005-09-19,5.1526
2005-09-20,4.9493
2005-09-21,4.8109
2005-09-22,4.859
2005-09-23,4.8214
2005-09-26,4.8109
2005-09-27,4.8297
2005-09-28,4.7396
2005-09-29,4.8171
2005-09-30,4.8654
2005-10-03,4.8424
2005-10-04,4.8234
2005-10-05,4.5886
2005-10-06,4.6074
2005-10-07,4.6536
2005-10-10,4.6222
2005-10-11,4.5843
2005-10-12,4.4984
2005-10-13,4.4816
