Date,Closing Price
2004-11-01,23.17
2004-11-02,23.95
2004-11-03,23.994
2004-11-04,23.88
2004-11-05,24.5
2004-11-08,24.52
2004-11-09,24.5
2004-11-10,24.92
2004-11-11,24.69
2004-11-12,25.53
2004-11-15,24.6
2004-11-16,24.71
2004-11-17,25.25
2004-11-18,24.9
2004-11-19,24.52
2004-11-22,25.15
2004-11-23,24.85
2004-11-24,25.3
2004-11-26,25.7
2004-11-29,25.58
2004-11-30,25.32
2004-12-01,26.07
2004-12-02,25.23
2004-12-03,25.7
2004-12-06,25.1
2004-12-07,24.5
2004-12-08,24.52
2004-12-09,24.77
2004-12-10,24.55
2004-12-13,25.2
2004-12-14,25.44
2004-12-15,25.968
2004-12-16,25.25
2004-12-17,25.7
2004-12-20,25.3
2004-12-21,25.785
2004-12-22,26.4
2004-12-23,26.33
2004-12-27,26.07
2004-12-28,26.3
2004-12-29,26.24
2004-12-30,26.63
2004-12-31,26.75
2005-01-03,26.02
2005-01-04,25.34
2005-01-05,25.45
2005-01-06,25.5011
2005-01-07,25.283
2005-01-10,25.88
2005-01-11,25.35
2005-01-12,25.65
2005-01-13,25.35
2005-01-14,26.01
2005-01-18,26.6
2005-01-19,26.46
2005-01-20,26.08
2005-01-21,26.51
2005-01-24,26.52
2005-01-25,26.56
2005-01-26,26.55
2005-01-27,26.84
2005-01-28,26.34
2005-01-31,27.18
2005-02-01,27.26
2005-02-02,27.51
2005-02-03,27.47
2005-02-04,27.65
2005-02-07,27.65
2005-02-08,27.89
2005-02-09,27.63
2005-02-10,27.57
2005-02-11,27.94
2005-02-14,27.89
2005-02-15,27.61
2005-02-16,28.55
2005-02-17,28.86
2005-02-18,29.48
2005-02-22,27.0
2005-02-23,26.44
2005-02-24,26.09
2005-02-25,26.47
2005-02-28,26.28
2005-03-01,26.69
2005-03-02,26.45
2005-03-03,26.4
2005-03-04,26.69
2005-03-07,26.74
2005-03-08,25.98
2005-03-09,25.71
2005-03-10,25.5
2005-03-11,25.25
2005-03-14,25.21
2005-03-15,25.06
2005-03-16,27.23
2005-03-17,27.28
2005-03-18,26.85
2005-03-21,26.44
2005-03-22,25.99
2005-03-23,25.5
2005-03-24,25.15
2005-03-28,25.66
2005-03-29,25.75
2005-03-30,26.16
2005-03-31,25.61
2005-04-01,25.28
2005-04-04,25.25
2005-04-05,25.62
2005-04-06,26.0
2005-04-07,25.75
2005-04-08,25.38
2005-04-11,25.18
2005-04-12,25.3
2005-04-13,24.78
2005-04-14,24.75
2005-04-15,24.61
2005-04-18,24.6
2005-04-19,25.0
2005-04-20,24.1
2005-04-21,24.4
2005-04-22,24.1
2005-04-25,23.67
2005-04-26,26.54
2005-04-27,26.64
2005-04-28,26.55
2005-04-29,24.6578
2005-05-02,25.7
2005-05-03,26.75
2005-05-04,27.0
2005-05-05,26.42
2005-05-06,26.57
2005-05-09,26.59
2005-05-10,26.24
2005-05-11,26.59
2005-05-12,25.68
2005-05-13,25.09
2005-05-16,25.98
2005-05-17,25.53
2005-05-18,26.68
2005-05-19,26.4
2005-05-20,26.31
2005-05-23,26.67
2005-05-24,26.37
2005-05-25,25.95
2005-05-26,26.36
2005-05-27,26.43
2005-05-31,26.601
2005-06-01,26.85
2005-06-02,27.19
2005-06-03,26.83
2005-06-06,26.9
2005-06-07,27.12
2005-06-08,26.95
2005-06-09,27.54
2005-06-10,27.37
2005-06-13,27.52
2005-06-14,28.0
2005-06-15,28.14
2005-06-16,28.06
2005-06-17,28.01
2005-06-20,27.94
2005-06-21,28.38
2005-06-22,28.5
2005-06-23,27.8
2005-06-24,28.75
2005-06-27,28.77
2005-06-28,29.11
2005-06-29,28.91
2005-06-30,28.85
2005-07-01,28.87
2005-07-05,29.51
2005-07-06,29.31
2005-07-07,29.14
2005-07-08,29.71
2005-07-11,29.9
2005-07-12,29.87
2005-07-13,29.78
2005-07-14,29.17
2005-07-15,29.53
2005-07-18,29.27
2005-07-19,29.5
2005-07-20,29.99
2005-07-21,29.81
2005-07-22,29.69
2005-07-25,29.98
2005-07-26,30.95
2005-07-27,30.84
2005-07-28,31.03
2005-07-29,31.08
2005-08-01,30.86
2005-08-02,31.22
2005-08-03,31.35
2005-08-04,30.7
2005-08-05,30.25
2005-08-08,30.09
2005-08-09,29.955
2005-08-10,30.357
2005-08-11,30.49
2005-08-12,29.99
2005-08-15,30.67
2005-08-16,29.93
2005-08-17,29.6
2005-08-18,29.88
2005-08-19,29.75
2005-08-22,30.07
2005-08-23,30.01
2005-08-24,29.85
2005-08-25,29.74
2005-08-26,29.02
2005-08-29,29.29
2005-08-30,29.69
2005-08-31,29.69
2005-09-01,29.31
2005-09-02,28.5
2005-09-06,29.02
2005-09-07,29.49
2005-09-08,29.44
2005-09-09,29.52
2005-09-12,29.54
2005-09-13,29.33
2005-09-14,29.51
2005-09-15,29.14
2005-09-16,29.69
2005-09-19,29.3
2005-09-20,28.85
2005-09-21,28.55
2005-09-22,28.8
2005-09-23,29.34
2005-09-26,29.42
2005-09-27,28.8999
2005-09-28,28.61
2005-09-29,28.99
2005-09-30,28.94
2005-10-03,28.89
2005-10-04,28.92
2005-10-05,28.9
2005-10-06,28.21
2005-10-07,28.59
2005-10-10,28.012
2005-10-11,27.98
2005-10-12,27.7
2005-10-13,27.411
2005-10-14,27.3
2005-10-17,27.3
2005-10-18,26.71
2005-10-19,27.38
2005-10-20,25.95
2005-10-21,25.2
2005-10-24,25.75
2005-10-25,27.0
2005-10-26,26.86
2005-10-27,26.1
2005-10-28,26.78
2005-10-31,27.18
2005-11-01,27.22
2005-11-02,27.54
2005-11-03,27.15
2005-11-04,27.46
2005-11-07,27.68
2005-11-08,27.23
2005-11-09,27.04
2005-11-10,27.6
2005-11-11,27.44
2005-11-14,27.3
2005-11-15,27.23
2005-11-16,27.24
2005-11-17,27.3098
2005-11-18,27.6498
2005-11-21,27.78
2005-11-22,28.23
2005-11-23,28.3
2005-11-25,28.2
2005-11-28,27.92
2005-11-29,28.27
2005-11-30,28.45
2005-12-01,28.85
2005-12-02,29.16
2005-12-05,28.98
2005-12-06,29.29
2005-12-07,28.83
2005-12-08,28.8
2005-12-09,30.72
2005-12-12,31.03
2005-12-13,31.14
2005-12-14,31.46
2005-12-15,31.35
2005-12-16,31.59
2005-12-19,30.44
2005-12-20,30.89
2005-12-21,31.31
2005-12-22,31.43
2005-12-23,31.46
2005-12-27,30.95
2005-12-28,31.34
2005-12-29,31.24
2005-12-30,31.44
2006-01-03,31.2
2006-01-04,31.4
2006-01-05,31.7582
2006-01-06,32.48
2006-01-09,32.85
2006-01-10,32.93
2006-01-11,32.73
2006-01-12,32.37
2006-01-13,31.97
2006-01-17,31.59
2006-01-18,31.39
2006-01-19,31.425
2006-01-20,31.15
2006-01-23,31.16
2006-01-24,31.95
2006-01-25,31.8
2006-01-26,31.76
2006-01-27,31.4699
2006-01-30,30.99
2006-01-31,30.45
2006-02-01,30.02
2006-02-02,29.82
2006-02-03,30.42
2006-02-06,30.05
2006-02-07,29.86
2006-02-08,29.78
2006-02-09,30.75
2006-02-10,30.36
2006-02-13,30.4
2006-02-14,30.69
2006-02-15,30.5392
2006-02-16,30.78
2006-02-17,32.0478
2006-02-21,31.66
2006-02-22,31.65
2006-02-23,32.3092
2006-02-24,32.42
2006-02-27,32.45
2006-02-28,31.98
2006-03-01,32.18
2006-03-02,32.11
2006-03-03,31.8954
2006-03-06,31.7981
2006-03-07,32.13
2006-03-08,31.97
2006-03-09,31.66
2006-03-10,31.81
2006-03-13,31.83
2006-03-14,31.84
2006-03-15,32.35
2006-03-16,32.85
2006-03-17,33.79
2006-03-20,34.0
2006-03-21,35.02
2006-03-22,35.25
2006-03-23,35.12
2006-03-24,35.75
2006-03-27,36.1
2006-03-28,36.0138
2006-03-29,35.35
2006-03-30,34.81
2006-03-31,34.61
2006-04-03,34.89
2006-04-04,35.32
2006-04-05,35.98
2006-04-06,35.18
2006-04-07,35.07
2006-04-10,34.45
2006-04-11,33.9
2006-04-12,34.07
2006-04-13,35.05
2006-04-17,34.45
2006-04-18,35.63
2006-04-19,35.99
2006-04-20,35.45
2006-04-21,34.88
2006-04-24,34.53
2006-04-25,34.41
2006-04-26,33.01
2006-04-27,33.1
2006-04-28,33.89
2006-05-01,32.7
2006-05-02,32.81
2006-05-03,33.04
2006-05-04,33.43
2006-05-05,33.33
2006-05-08,33.0997
2006-05-09,32.87
2006-05-10,32.46
2006-05-11,31.65
2006-05-12,31.18
2006-05-15,31.26
2006-05-16,31.71
2006-05-17,31.72
2006-05-18,31.71
2006-05-19,31.87
2006-05-22,31.61
2006-05-23,31.5
2006-05-24,31.58
2006-05-25,32.25
2006-05-26,31.56
2006-05-30,31.01
2006-05-31,31.96
2006-06-01,32.49
2006-06-02,31.91
2006-06-05,31.16
2006-06-06,30.9
2006-06-07,30.53
2006-06-08,30.49
2006-06-09,30.3
2006-06-12,29.69
2006-06-13,28.75
2006-06-14,28.56
2006-06-15,30.3
2006-06-16,30.18
2006-06-19,30.09
2006-06-20,29.67
2006-06-21,30.1
2006-06-22,29.4
2006-06-23,29.3
2006-06-26,29.77
2006-06-27,29.6
2006-06-28,29.36
2006-06-29,30.4
2006-06-30,30.3182
2006-07-03,30.59
2006-07-05,29.27
2006-07-06,29.41
2006-07-07,29.33
2006-07-10,29.399
2006-07-11,29.47
2006-07-12,28.69
2006-07-13,28.01
2006-07-14,27.9603
2006-07-17,27.83
2006-07-18,28.12
2006-07-19,28.83
2006-07-20,27.81
2006-07-21,27.75
2006-07-24,28.49
2006-07-25,28.32
2006-07-26,27.9692
2006-07-27,27.56
2006-07-28,28.4997
2006-07-31,28.23
2006-08-01,25.79
2006-08-02,25.29
2006-08-03,25.83
2006-08-04,26.2
2006-08-07,26.05
2006-08-08,25.3389
2006-08-09,24.84
2006-08-10,25.1098
2006-08-11,24.83
2006-08-14,24.71
2006-08-15,25.46
2006-08-16,25.43
2006-08-17,25.46
2006-08-18,25.41
2006-08-21,25.19
2006-08-22,25.36
2006-08-23,25.12
2006-08-24,24.96
2006-08-25,24.99
2006-08-28,25.08
2006-08-29,25.303
2006-08-30,25.55
2006-08-31,25.5194
2006-09-01,25.65
2006-09-05,25.0
2006-09-06,24.45
2006-09-07,24.4
2006-09-08,24.02
2006-09-11,23.74
2006-09-12,24.4799
2006-09-13,24.37
2006-09-14,24.26
2006-09-15,24.27
2006-09-18,24.1
2006-09-19,24.25
2006-09-20,25.14
2006-09-21,24.29
2006-09-22,24.35
2006-09-25,24.5
2006-09-26,25.09
2006-09-27,24.74
2006-09-28,24.89
2006-09-29,24.72
2006-10-02,24.57
2006-10-03,24.96
2006-10-04,25.4
2006-10-05,24.82
2006-10-06,24.62
2006-10-09,24.2609
2006-10-10,24.44
2006-10-11,23.35
2006-10-12,24.24
2006-10-13,24.06
2006-10-16,24.01
2006-10-17,24.43
2006-10-18,24.83
2006-10-19,24.91
2006-10-20,24.79
2006-10-23,24.91
2006-10-24,25.28
2006-10-25,25.44
2006-10-26,25.82
2006-10-27,25.53
2006-10-30,25.3
2006-10-31,25.5
2006-11-01,25.49
2006-11-02,25.41
2006-11-03,25.21
2006-11-06,26.0
2006-11-07,26.04
2006-11-08,26.66
2006-11-09,26.51
2006-11-10,26.98
2006-11-13,26.94
2006-11-14,27.29
2006-11-15,27.37
2006-11-16,27.53
2006-11-17,26.81
2006-11-20,26.9
2006-11-21,26.9
2006-11-22,26.72
2006-11-24,26.41
2006-11-27,25.86
2006-11-28,25.6215
2006-11-29,25.8
2006-11-30,25.86
2006-12-01,25.59
2006-12-04,26.07
2006-12-05,26.42
2006-12-06,26.17
2006-12-07,26.01
2006-12-08,25.8797
2006-12-11,26.59
2006-12-12,26.05
2006-12-13,26.2898
2006-12-14,26.58
2006-12-15,26.75
2006-12-18,26.59
2006-12-19,26.61
2006-12-20,26.89
2006-12-21,27.24
2006-12-22,27.48
2006-12-26,27.86
2006-12-27,28.1
2006-12-28,28.22
2006-12-29,28.9273
2007-01-03,27.21
2007-01-04,27.1
2007-01-05,26.59
2007-01-08,26.4
2007-01-09,26.48
2007-01-10,26.4599
2007-01-11,26.82
2007-01-12,26.92
2007-01-16,26.61
2007-01-17,26.64
2007-01-18,26.53
2007-01-19,27.27
2007-01-22,26.84
2007-01-23,27.03
2007-01-24,27.48
2007-01-25,27.03
2007-01-26,27.19
2007-01-29,27.68
2007-01-30,28.6
2007-01-31,28.7
2007-02-01,28.75
2007-02-02,30.01
2007-02-05,29.9
2007-02-06,30.43
2007-02-07,31.11
2007-02-08,30.71
2007-02-09,30.91
2007-02-12,31.09
2007-02-13,31.0
2007-02-14,29.99
2007-02-15,29.53
2007-02-16,29.65
2007-02-20,29.8
2007-02-21,29.81
2007-02-22,30.29
2007-02-23,30.0
2007-02-26,30.37
2007-02-27,28.96
2007-02-28,29.45
2007-03-01,29.33
2007-03-02,28.69
2007-03-05,28.12
2007-03-06,29.07
2007-03-07,28.3
2007-03-08,28.13
2007-03-09,28.26
2007-03-12,28.21
2007-03-13,26.9
2007-03-14,26.53
2007-03-15,27.2
2007-03-16,26.66
2007-03-19,26.65
2007-03-20,27.01
2007-03-21,27.31
2007-03-22,27.05
2007-03-23,27.16
2007-03-26,27.65
2007-03-27,27.01
2007-03-28,26.83
2007-03-29,27.21
2007-03-30,27.38
2007-04-02,27.47
2007-04-03,27.66
2007-04-04,27.58
2007-04-05,27.57
2007-04-09,27.47
2007-04-10,27.29
2007-04-11,26.55
2007-04-12,26.66
2007-04-13,26.5
2007-04-16,27.94
2007-04-17,29.0
2007-04-18,28.28
2007-04-19,27.83
2007-04-20,28.42
2007-04-23,28.12
2007-04-24,28.2
2007-04-25,28.36
2007-04-26,28.3
2007-04-27,27.45
2007-04-30,26.81
2007-05-01,27.37
2007-05-02,27.65
2007-05-03,27.28
2007-05-04,27.5
2007-05-07,27.45
2007-05-08,27.55
2007-05-09,27.5
2007-05-10,27.23
2007-05-11,27.37
2007-05-14,26.81
2007-05-15,26.54
2007-05-16,26.5
2007-05-17,26.34
2007-05-18,26.61
2007-05-21,26.71
2007-05-22,26.51
2007-05-23,26.53
2007-05-24,26.19
2007-05-25,26.2
2007-05-29,26.29
2007-05-30,26.18
2007-05-31,26.87
2007-06-01,27.23
2007-06-04,27.46
2007-06-05,27.13
2007-06-06,26.27
2007-06-07,26.33
2007-06-08,26.32
2007-06-11,25.8
2007-06-12,25.4
2007-06-13,25.66
2007-06-14,25.77
2007-06-15,27.16
2007-06-18,26.92
2007-06-19,26.72
2007-06-20,26.56
2007-06-21,26.35
2007-06-22,25.96
2007-06-25,25.56
2007-06-26,25.89
2007-06-27,26.18
2007-06-28,25.83
2007-06-29,25.33
2007-07-02,25.83
2007-07-03,25.34
2007-07-05,25.27
2007-07-06,24.67
2007-07-09,25.28
2007-07-10,24.31
2007-07-11,24.35
2007-07-12,24.43
2007-07-13,24.46
2007-07-16,24.71
2007-07-17,23.97
2007-07-18,23.93
2007-07-19,24.08
2007-07-20,23.98
2007-07-23,23.78
2007-07-24,22.99
2007-07-25,23.31
2007-07-26,22.43
2007-07-27,19.94
2007-07-30,20.29
2007-07-31,20.6
2007-08-01,20.12
2007-08-02,19.87
2007-08-03,18.72
2007-08-06,18.89
2007-08-07,18.49
2007-08-08,20.1
2007-08-09,20.79
2007-08-10,20.92
2007-08-13,19.74
2007-08-14,18.79
2007-08-15,18.45
2007-08-16,19.85
2007-08-17,20.5
2007-08-20,20.42
2007-08-21,19.12
2007-08-22,19.23
2007-08-23,18.4
2007-08-24,18.0
2007-08-27,17.91
2007-08-28,17.36
2007-08-29,17.98
2007-08-30,17.8
2007-08-31,17.88
2007-09-04,17.95
2007-09-05,17.82
2007-09-06,17.62
2007-09-07,17.62
2007-09-10,17.44
2007-09-11,17.15
2007-09-12,16.86
2007-09-13,17.19
2007-09-14,17.31
2007-09-17,16.9
2007-09-18,17.83
2007-09-19,19.24
2007-09-20,18.69
2007-09-21,18.73
2007-09-24,18.04
2007-09-25,17.13
2007-09-26,17.53
2007-09-27,17.8
2007-09-28,17.06
2007-10-01,18.09
2007-10-02,19.82
2007-10-03,19.9
2007-10-04,19.55
2007-10-05,20.53
2007-10-08,19.44
2007-10-09,19.98
2007-10-10,19.53
2007-10-11,19.38
2007-10-12,19.2
2007-10-15,18.49
2007-10-16,18.2
2007-10-17,17.87
2007-10-18,17.425
2007-10-19,16.64
