Date,Closing Price
2004-11-01,14.19
2004-11-02,14.19
2004-11-03,14.19
2004-11-04,14.24
2004-11-05,14.04
2004-11-08,13.75
2004-11-09,13.81
2004-11-10,13.82
2004-11-11,14.08
2004-11-12,14.12
2004-11-15,14.11
2004-11-16,14.08
2004-11-17,14.07
2004-11-18,14.1
2004-11-19,14.03
2004-11-22,14.11
2004-11-23,14.2
2004-11-24,14.2
2004-11-26,14.16
2004-11-29,13.98
2004-11-30,13.78
2004-12-01,13.78
2004-12-02,13.69
2004-12-03,13.83
2004-12-06,13.84
2004-12-07,13.87
2004-12-08,14.07
2004-12-09,14.03
2004-12-10,13.98
2004-12-13,13.92
2004-12-14,13.89
2004-12-15,13.94
2004-12-16,13.86
2004-12-17,13.83
2004-12-20,13.86
2004-12-21,13.88
2004-12-22,13.87
2004-12-23,13.92
2004-12-27,13.96
2004-12-28,13.89
2004-12-29,13.88
2004-12-30,14.05
2004-12-31,14.06
2005-01-03,14.04
2005-01-04,13.99
2005-01-05,14.03
2005-01-06,14.08
2005-01-07,14.13
2005-01-10,14.12
2005-01-11,14.2
2005-01-12,14.23
2005-01-13,14.26
2005-01-14,14.12
2005-01-18,14.14
2005-01-19,14.13
2005-01-20,14.12
2005-01-21,14.14
2005-01-24,14.15
2005-01-25,14.2
2005-01-26,14.25
2005-01-27,14.27
2005-01-28,14.44
2005-01-31,14.43
2005-02-01,14.47
2005-02-02,14.49
2005-02-03,14.45
2005-02-04,14.52
2005-02-07,14.57
2005-02-08,14.58
2005-02-09,14.66
2005-02-10,14.74
2005-02-11,14.65
2005-02-14,14.65
2005-02-15,14.48
2005-02-16,14.43
2005-02-17,14.36
2005-02-18,14.35
2005-02-22,14.34
2005-02-23,14.37
2005-02-24,14.47
2005-02-25,14.49
2005-02-28,14.48
2005-03-01,14.45
2005-03-02,14.45
2005-03-03,14.46
2005-03-04,14.45
2005-03-07,14.48
2005-03-08,14.48
2005-03-09,14.35
2005-03-10,14.43
2005-03-11,14.31
2005-03-14,14.25
2005-03-15,14.18
2005-03-16,14.22
2005-03-17,14.25
2005-03-18,14.25
2005-03-21,14.1
2005-03-22,13.9
2005-03-23,13.89
2005-03-24,13.89
2005-03-28,13.8
2005-03-29,13.79
2005-03-30,13.85
2005-03-31,13.99
2005-04-01,14.2
2005-04-04,14.19
2005-04-05,14.16
2005-04-06,14.23
2005-04-07,14.18
2005-04-08,14.23
2005-04-11,14.2
2005-04-12,14.22
2005-04-13,14.1
2005-04-14,14.15
2005-04-15,14.19
2005-04-18,14.22
2005-04-19,14.27
2005-04-20,14.26
2005-04-21,14.15
2005-04-22,14.15
2005-04-25,14.26
2005-04-26,14.24
2005-04-27,14.3
2005-04-28,14.35
2005-04-29,14.37
2005-05-02,14.44
2005-05-03,14.44
2005-05-04,14.48
2005-05-05,14.46
2005-05-06,14.4
2005-05-09,14.4
2005-05-10,14.46
2005-05-11,14.39
2005-05-12,14.4
2005-05-13,14.46
2005-05-16,14.43
2005-05-17,14.45
2005-05-18,14.47
2005-05-19,14.51
2005-05-20,14.52
2005-05-23,14.59
2005-05-24,14.63
2005-05-25,14.63
2005-05-26,14.62
2005-05-27,14.68
2005-05-31,14.68
2005-06-01,14.67
2005-06-02,14.74
2005-06-03,14.73
2005-06-06,14.72
2005-06-07,14.8
2005-06-08,14.88
2005-06-09,14.86
2005-06-10,14.78
2005-06-13,14.76
2005-06-14,14.68
2005-06-15,14.75
2005-06-16,14.81
2005-06-17,14.84
2005-06-20,14.88
2005-06-21,14.85
2005-06-22,14.86
2005-06-23,14.96
2005-06-24,14.95
2005-06-27,15.04
2005-06-28,15.02
2005-06-29,15.11
2005-06-30,15.09
2005-07-01,15.03
2005-07-05,15.13
2005-07-06,15.17
2005-07-07,15.17
2005-07-08,15.2
2005-07-11,15.18
2005-07-12,15.2
2005-07-13,15.16
2005-07-14,15.15
2005-07-15,15.2
2005-07-18,15.13
2005-07-19,15.14
2005-07-20,15.13
2005-07-21,15.07
2005-07-22,15.11
2005-07-25,15.15
2005-07-26,15.22
2005-07-27,15.19
2005-07-28,15.32
2005-07-29,15.24
2005-08-01,15.28
2005-08-02,15.27
2005-08-03,15.34
2005-08-04,15.26
2005-08-05,15.21
2005-08-08,15.0
2005-08-09,14.98
2005-08-10,15.03
2005-08-11,15.08
2005-08-12,15.05
2005-08-15,15.04
2005-08-16,15.04
2005-08-17,15.03
2005-08-18,15.16
2005-08-19,15.04
2005-08-22,15.08
2005-08-23,15.15
2005-08-24,15.19
2005-08-25,15.2
2005-08-26,15.18
2005-08-29,15.23
2005-08-30,15.29
2005-08-31,15.28
2005-09-01,15.37
2005-09-02,15.36
2005-09-06,15.37
2005-09-07,15.4
2005-09-08,15.36
2005-09-09,15.41
2005-09-12,15.38
2005-09-13,15.39
2005-09-14,15.32
2005-09-15,15.3
2005-09-16,15.21
2005-09-19,15.22
2005-09-20,15.16
2005-09-21,15.24
2005-09-22,15.17
2005-09-23,15.07
2005-09-26,15.01
2005-09-27,14.95
2005-09-28,15.01
2005-09-29,15.18
2005-09-30,15.1
2005-10-03,15.06
2005-10-04,15.06
2005-10-05,15.01
2005-10-06,15.0
2005-10-07,14.99
2005-10-10,15.01
2005-10-11,14.96
2005-10-12,14.73
2005-10-13,14.57
2005-10-14,14.51
2005-10-17,14.47
2005-10-18,14.4599
2005-10-19,14.44
2005-10-20,14.6
2005-10-21,14.71
2005-10-24,14.71
2005-10-25,14.7
2005-10-26,14.62
2005-10-27,14.5899
2005-10-28,14.63
2005-10-31,14.6
2005-11-01,14.6
2005-11-02,14.6
2005-11-03,14.52
2005-11-04,14.46
2005-11-07,14.48
2005-11-08,14.45
2005-11-09,14.35
2005-11-10,14.09
2005-11-11,14.2
2005-11-14,14.05
2005-11-15,13.98
2005-11-16,14.02
2005-11-17,14.05
2005-11-18,14.06
2005-11-21,14.05
2005-11-22,14.2
2005-11-23,14.27
2005-11-25,14.2525
2005-11-28,14.34
2005-11-29,14.28
2005-11-30,14.45
2005-12-01,14.54
2005-12-02,14.66
2005-12-05,14.62
2005-12-06,14.72
2005-12-07,14.55
2005-12-08,14.65
2005-12-09,14.67
2005-12-12,14.66
2005-12-13,14.53
2005-12-14,14.47
2005-12-15,14.53
2005-12-16,14.54
2005-12-19,14.51
2005-12-20,14.57
2005-12-21,14.55
2005-12-22,14.55
2005-12-23,14.76
2005-12-27,14.63
2005-12-28,14.75
2005-12-29,14.71
2005-12-30,14.77
2006-01-03,14.65
2006-01-04,14.75
2006-01-05,14.85
2006-01-06,14.85
2006-01-09,14.89
2006-01-10,14.87
2006-01-11,14.86
2006-01-12,14.74
2006-01-13,14.65
