Date,Closing Price
2004-11-01,13.69
2004-11-02,13.7
2004-11-03,13.7
2004-11-04,13.9
2004-11-05,13.98
2004-11-08,13.98
2004-11-09,14.19
2004-11-10,14.33
2004-11-11,14.4
2004-11-12,14.4
2004-11-15,14.5
2004-11-16,14.5
2004-11-17,14.69
2004-11-18,15.2
2004-11-19,15.46
2004-11-22,15.1
2004-11-23,15.01
2004-11-24,15.05
2004-11-26,15.34
2004-11-29,15.67
2004-11-30,15.74
2004-12-01,16.25
2004-12-02,16.05
2004-12-03,16.25
2004-12-06,16.11
2004-12-07,15.65
2004-12-08,15.51
2004-12-09,15.6
2004-12-10,15.35
2004-12-13,15.21
2004-12-14,15.3
2004-12-15,15.44
2004-12-16,15.45
2004-12-17,15.62
2004-12-20,15.5
2004-12-21,15.6
2004-12-22,16.0
2004-12-23,16.79
2004-12-27,17.28
2004-12-28,17.16
2004-12-29,17.21
2004-12-30,17.15
2004-12-31,17.24
2005-01-03,17.65
2005-01-04,17.55
2005-01-05,16.98
2005-01-06,16.95
2005-01-07,16.85
2005-01-10,16.55
2005-01-11,16.64
2005-01-12,16.37
2005-01-13,16.25
2005-01-14,16.2
2005-01-18,16.43
2005-01-19,16.8
2005-01-20,16.77
2005-01-21,16.4
2005-01-24,15.95
2005-01-25,15.79
2005-01-26,15.98
2005-01-27,16.06
2005-01-28,15.98
2005-01-31,16.33
2005-02-01,16.4
2005-02-02,16.75
2005-02-03,17.38
2005-02-04,18.2
2005-02-07,17.66
2005-02-08,17.9
2005-02-09,18.1
2005-02-10,18.35
2005-02-11,18.26
2005-02-14,18.54
2005-02-15,18.41
2005-02-16,18.225
2005-02-17,18.25
2005-02-18,18.248
2005-02-22,18.15
2005-02-23,18.08
2005-02-24,18.28
2005-02-25,18.64
2005-02-28,18.56
2005-03-01,18.7
2005-03-02,18.67
2005-03-03,18.4
2005-03-04,18.69
2005-03-07,18.89
2005-03-08,19.15
2005-03-09,18.75
2005-03-10,18.5
2005-03-11,18.0
2005-03-14,17.61
2005-03-15,16.949
2005-03-16,16.404
2005-03-17,16.49
2005-03-18,16.12
2005-03-21,15.85
2005-03-22,16.16
2005-03-23,16.19
2005-03-24,16.25
2005-03-28,16.26
2005-03-29,16.1
2005-03-30,15.88
2005-03-31,15.86
2005-04-01,15.99
2005-04-04,15.55
2005-04-05,15.36
2005-04-06,15.15
2005-04-07,15.4
2005-04-08,15.43
2005-04-11,15.4
2005-04-12,15.5
2005-04-13,15.4
2005-04-14,15.2
2005-04-15,14.9
2005-04-18,14.35
2005-04-19,14.93
2005-04-20,14.7
2005-04-21,15.0
2005-04-22,14.83
2005-04-25,15.28
2005-04-26,15.4
2005-04-27,15.33
2005-04-28,15.1
2005-04-29,15.16
2005-05-02,15.3
2005-05-03,15.28
2005-05-04,15.6
2005-05-05,15.7
2005-05-06,15.66
2005-05-09,15.65
2005-05-10,15.65
2005-05-11,15.64
2005-05-12,15.57
2005-05-13,15.54
2005-05-16,15.65
2005-05-17,15.58
2005-05-18,15.9
2005-05-19,15.88
2005-05-20,15.87
2005-05-23,15.95
2005-05-24,16.01
2005-05-25,16.1
2005-05-26,16.49
2005-05-27,16.7
2005-05-31,16.77
2005-06-01,16.8
2005-06-02,17.15
2005-06-03,16.81
2005-06-06,16.95
2005-06-07,16.95
2005-06-08,16.9
2005-06-09,16.83
2005-06-10,16.85
2005-06-13,16.82
2005-06-14,17.0
2005-06-15,17.15
2005-06-16,17.39
2005-06-17,17.45
2005-06-20,17.43
2005-06-21,17.5
2005-06-22,17.4
2005-06-23,17.26
2005-06-24,17.16
2005-06-27,17.26
2005-06-28,17.31
2005-06-29,17.41
2005-06-30,17.49
2005-07-01,17.55
2005-07-05,17.63
2005-07-06,17.75
2005-07-07,17.8
2005-07-08,17.94
2005-07-11,18.0
2005-07-12,18.01
2005-07-13,17.98
2005-07-14,18.18
2005-07-15,18.16
2005-07-18,18.34
2005-07-19,18.49
2005-07-20,18.49
2005-07-21,18.52
2005-07-22,18.62
2005-07-25,18.45
2005-07-26,18.3
2005-07-27,18.25
2005-07-28,18.54
2005-07-29,18.82
2005-08-01,19.0
2005-08-02,18.95
2005-08-03,18.79
2005-08-04,18.63
