Date,Closing Price
2004-11-01,22.275
2004-11-02,21.835
2004-11-03,22.78
2004-11-04,22.41
2004-11-05,22.32
2004-11-08,21.615
2004-11-09,21.8
2004-11-10,22.605
2004-11-11,22.25
2004-11-12,22.775
2004-11-15,21.855
2004-11-16,22.08
2004-11-17,22.57
2004-11-18,23.2
2004-11-19,23.5138
2004-11-22,23.63
2004-11-23,23.89
2004-11-24,24.245
2004-11-26,24.16
2004-11-29,24.115
2004-11-30,24.2181
2004-12-01,23.3
2004-12-02,22.7175
2004-12-03,23.175
2004-12-06,22.925
2004-12-07,22.845
2004-12-08,22.57
2004-12-09,23.385
2004-12-10,23.08
2004-12-13,23.393
2004-12-14,24.085
2004-12-15,24.33
2004-12-16,24.3917
2004-12-17,24.67
2004-12-20,24.87
2004-12-21,25.195
2004-12-22,24.7415
2004-12-23,24.825
2004-12-27,24.36
2004-12-28,24.5552
2004-12-29,25.025
2004-12-30,24.73
2004-12-31,24.87
2005-01-03,23.87
2005-01-04,23.655
2005-01-05,23.655
2005-01-06,24.285
2005-01-07,23.88
2005-01-10,24.1
2005-01-11,24.045
2005-01-12,25.085
2005-01-13,25.99
2005-01-14,26.145
2005-01-18,26.225
2005-01-19,26.4
2005-01-20,26.17
2005-01-21,26.2407
2005-01-24,26.35
2005-01-25,26.395
2005-01-26,26.355
2005-01-27,26.45
2005-01-28,26.205
2005-01-31,26.675
2005-02-01,26.49
2005-02-02,27.135
2005-02-03,27.255
2005-02-04,27.46
2005-02-07,27.085
2005-02-08,26.975
2005-02-09,27.235
2005-02-10,27.92
2005-02-11,28.165
2005-02-14,27.6674
2005-02-15,27.675
2005-02-16,28.4194
2005-02-17,28.06
2005-02-18,28.365
2005-02-22,27.66
2005-02-23,27.95
2005-02-24,28.515
2005-02-25,28.59
2005-02-28,28.535
2005-03-01,27.525
2005-03-02,27.4897
2005-03-03,28.465
2005-03-04,29.095
2005-03-07,29.17
2005-03-08,29.025
2005-03-09,28.325
2005-03-10,27.49
2005-03-11,27.56
2005-03-14,27.63
2005-03-15,27.6051
2005-03-16,27.86
2005-03-17,28.0
2005-03-18,28.2437
2005-03-21,28.085
2005-03-22,28.1
2005-03-23,26.98
2005-03-24,27.145
2005-03-28,27.6
2005-03-29,26.755
2005-03-30,26.92
2005-03-31,28.105
2005-04-01,29.15
2005-04-04,28.725
2005-04-05,28.46
2005-04-06,28.725
2005-04-07,28.7
2005-04-08,27.71
2005-04-11,28.075
2005-04-12,27.45
2005-04-13,26.64
2005-04-14,26.6
2005-04-15,25.84
2005-04-18,26.195
2005-04-19,26.725
2005-04-20,26.605
2005-04-21,27.205
2005-04-22,27.365
2005-04-25,27.665
2005-04-26,26.94
2005-04-27,26.0
2005-04-28,25.665
2005-04-29,25.4489
2005-05-02,26.17
2005-05-03,25.76
2005-05-04,26.385
2005-05-05,26.71
2005-05-06,26.785
2005-05-09,27.24
2005-05-10,26.75
2005-05-11,26.5843
2005-05-12,25.6
2005-05-13,25.045
2005-05-16,25.06
2005-05-17,25.49
2005-05-18,25.35
2005-05-19,26.22
2005-05-20,26.32
2005-05-23,26.79
2005-05-24,26.73
2005-05-25,27.465
2005-05-26,27.855
2005-05-27,28.145
2005-05-31,28.31
2005-06-01,28.455
2005-06-02,28.455
2005-06-03,28.945
2005-06-06,29.58
2005-06-07,29.13
2005-06-08,29.42
2005-06-09,30.55
2005-06-10,30.855
2005-06-13,31.08
2005-06-14,31.0676
2005-06-15,31.665
2005-06-16,31.8
2005-06-17,31.54
2005-06-20,31.285
2005-06-21,30.57
2005-06-22,30.935
2005-06-23,31.615
2005-06-24,31.575
2005-06-27,31.6
2005-06-28,30.6366
2005-06-29,30.63
2005-06-30,30.63
2005-07-01,30.913
2005-07-05,31.95
2005-07-06,31.775
2005-07-07,31.135
2005-07-08,31.105
2005-07-11,31.515
2005-07-12,32.345
2005-07-13,31.975
2005-07-14,31.05
2005-07-15,30.6169
2005-07-18,30.52
2005-07-19,32.12
2005-07-20,32.065
2005-07-21,31.9404
2005-07-22,33.75
2005-07-25,33.9
2005-07-26,33.71
2005-07-27,33.785
2005-07-28,33.945
2005-07-29,33.59
2005-08-01,34.13
2005-08-02,34.86
2005-08-03,34.85
2005-08-04,35.175
2005-08-05,35.0104
2005-08-08,35.455
2005-08-09,34.67
2005-08-10,35.385
2005-08-11,35.38
2005-08-12,35.1001
2005-08-15,34.84
2005-08-16,34.195
2005-08-17,33.6897
2005-08-18,33.795
2005-08-19,34.445
2005-08-22,33.88
2005-08-23,33.985
2005-08-24,34.55
2005-08-25,34.715
2005-08-26,34.15
