Date,Closing Price
2004-11-01,15.93
2004-11-02,15.99
2004-11-03,15.86
2004-11-04,15.98
2004-11-05,15.9
2004-11-08,15.64
2004-11-09,15.71
2004-11-10,15.52
2004-11-11,15.82
2004-11-12,15.93
2004-11-15,15.95
2004-11-16,15.99
2004-11-17,15.94
2004-11-18,15.93
2004-11-19,15.96
2004-11-22,16.0
2004-11-23,15.85
2004-11-24,15.9
2004-11-26,15.99
2004-11-29,15.9
2004-11-30,15.99
2004-12-01,16.18
2004-12-02,16.02
2004-12-03,16.25
2004-12-06,16.49
2004-12-07,16.45
2004-12-08,16.28
2004-12-09,16.1
2004-12-10,16.17
2004-12-13,16.45
2004-12-14,16.3
2004-12-15,16.53
2004-12-16,16.27
2004-12-17,16.28
2004-12-20,16.45
2004-12-21,16.35
2004-12-22,16.56
2004-12-23,16.4
2004-12-27,16.62
2004-12-28,16.46
2004-12-29,16.37
2004-12-30,16.31
2004-12-31,16.48
2005-01-03,16.1
2005-01-04,16.2
2005-01-05,16.53
2005-01-06,16.38
2005-01-07,16.33
2005-01-10,16.16
2005-01-11,16.2
2005-01-12,16.0
2005-01-13,16.0
2005-01-14,15.85
2005-01-18,15.97
2005-01-19,15.98
2005-01-20,16.2
2005-01-21,16.17
2005-01-24,16.21
2005-01-25,16.68
2005-01-26,16.25
2005-01-27,16.25
2005-01-28,16.07
2005-01-31,15.98
2005-02-01,15.99
2005-02-02,16.07
2005-02-03,16.05
2005-02-04,16.11
2005-02-07,16.15
2005-02-08,16.35
2005-02-09,16.33
2005-02-10,16.1
2005-02-11,16.05
2005-02-14,16.11
2005-02-15,16.04
2005-02-16,16.0
2005-02-17,16.04
2005-02-18,15.96
2005-02-22,15.81
2005-02-23,16.2
2005-02-24,16.49
2005-02-25,16.57
2005-02-28,16.59
2005-03-01,16.27
2005-03-02,16.3
2005-03-03,16.1
2005-03-04,16.15
2005-03-07,16.08
2005-03-08,16.01
2005-03-09,16.0
2005-03-10,16.1
2005-03-11,16.2
2005-03-14,15.96
2005-03-15,16.25
2005-03-16,16.25
2005-03-17,16.24
2005-03-18,16.0
2005-03-21,15.9
2005-03-22,15.75
2005-03-23,15.6
2005-03-24,15.31
2005-03-28,14.79
2005-03-29,14.6
2005-03-30,14.8
2005-03-31,15.17
2005-04-01,15.3
2005-04-04,15.21
2005-04-05,15.3
2005-04-06,15.36
2005-04-07,15.49
2005-04-08,15.5
2005-04-11,15.5
2005-04-12,15.44
2005-04-13,15.24
2005-04-14,15.18
2005-04-15,15.28
2005-04-18,15.09
2005-04-19,15.19
2005-04-20,15.23
2005-04-21,15.26
2005-04-22,15.13
2005-04-25,15.01
2005-04-26,15.07
2005-04-27,15.16
2005-04-28,15.08
2005-04-29,15.0
2005-05-02,14.97
