Date,Closing Price
2004-11-01,18.25
2004-11-02,18.15
2004-11-03,18.28
2004-11-04,18.38
2004-11-05,18.08
2004-11-08,17.99
2004-11-09,17.92
2004-11-10,17.98
2004-11-11,17.95
2004-11-12,18.18
2004-11-15,18.16
2004-11-16,18.12
2004-11-17,18.3
2004-11-18,18.35
2004-11-19,18.32
2004-11-22,18.15
2004-11-23,18.04
2004-11-24,18.24
2004-11-26,18.27
2004-11-29,17.96
2004-11-30,17.42
2004-12-01,17.36
2004-12-02,17.03
2004-12-03,17.27
2004-12-06,17.22
2004-12-07,17.1
2004-12-08,17.08
2004-12-09,17.23
2004-12-10,17.35
2004-12-13,17.52
2004-12-14,17.58
2004-12-15,17.75
2004-12-16,17.78
2004-12-17,17.77
2004-12-20,18.22
2004-12-21,17.82
2004-12-22,17.86
2004-12-23,18.1
2004-12-27,18.15
2004-12-28,18.24
2004-12-29,18.19
2004-12-30,18.24
2004-12-31,18.25
2005-01-03,18.07
2005-01-04,18.1
2005-01-05,18.15
2005-01-06,18.27
2005-01-07,18.27
2005-01-10,18.2
2005-01-11,18.2
2005-01-12,18.21
2005-01-13,18.23
2005-01-14,18.17
2005-01-18,18.35
2005-01-19,18.43
2005-01-20,18.35
2005-01-21,18.33
2005-01-24,18.16
2005-01-25,18.17
2005-01-26,18.18
2005-01-27,18.26
2005-01-28,18.43
2005-01-31,18.23
2005-02-01,18.21
2005-02-02,18.31
2005-02-03,18.36
2005-02-04,18.42
2005-02-07,18.45
2005-02-08,18.406
2005-02-09,18.6
2005-02-10,18.76
2005-02-11,18.67
2005-02-14,18.53
2005-02-15,18.55
2005-02-16,18.64
2005-02-17,18.72
2005-02-18,18.77
2005-02-22,18.49
2005-02-23,18.43
2005-02-24,18.49
2005-02-25,18.64
2005-02-28,18.77
2005-03-01,18.76
2005-03-02,18.78
2005-03-03,18.68
2005-03-04,18.25
2005-03-07,18.11
2005-03-08,18.15
2005-03-09,17.55
2005-03-10,17.38
2005-03-11,17.7
2005-03-14,17.55
2005-03-15,17.19
2005-03-16,16.55
2005-03-17,16.45
2005-03-18,16.08
2005-03-21,16.3
2005-03-22,15.8
2005-03-23,15.6
2005-03-24,15.68
2005-03-28,15.41
2005-03-29,15.51
2005-03-30,15.3
2005-03-31,15.74
2005-04-01,16.03
2005-04-04,16.03
2005-04-05,16.01
2005-04-06,16.2
2005-04-07,16.15
2005-04-08,16.25
2005-04-11,16.09
2005-04-12,16.06
2005-04-13,16.1
2005-04-14,16.27
2005-04-15,16.37
2005-04-18,16.17
2005-04-19,16.26
2005-04-20,16.18
2005-04-21,16.07
2005-04-22,16.09
2005-04-25,16.36
2005-04-26,16.47
2005-04-27,16.45
2005-04-28,16.7
2005-04-29,16.75
2005-05-02,16.75
2005-05-03,16.86
2005-05-04,17.1
2005-05-05,17.2
2005-05-06,16.83
2005-05-09,16.67
2005-05-10,16.84
2005-05-11,16.71
2005-05-12,16.79
2005-05-13,16.75
2005-05-16,16.76
2005-05-17,16.8
2005-05-18,16.705
2005-05-19,16.58
2005-05-20,16.7
2005-05-23,16.6
2005-05-24,16.42
2005-05-25,16.48
2005-05-26,16.55
2005-05-27,16.7
2005-05-31,16.95
2005-06-01,16.93
2005-06-02,16.83
2005-06-03,16.99
2005-06-06,17.2
2005-06-07,17.3
2005-06-08,16.97
2005-06-09,17.14
2005-06-10,16.95
2005-06-13,16.8
2005-06-14,16.85
2005-06-15,16.47
2005-06-16,16.41
2005-06-17,16.51
2005-06-20,16.62
2005-06-21,16.82
2005-06-22,16.76
2005-06-23,16.69
2005-06-24,16.75
2005-06-27,16.8
2005-06-28,17.096
2005-06-29,16.88
2005-06-30,17.0
2005-07-01,17.15
2005-07-05,17.29
2005-07-06,17.4
2005-07-07,17.39
2005-07-08,17.42
2005-07-11,17.7
2005-07-12,17.7
2005-07-13,17.72
2005-07-14,17.55
2005-07-15,17.69
2005-07-18,17.65
2005-07-19,17.85
2005-07-20,17.75
2005-07-21,17.65
2005-07-22,17.67
2005-07-25,17.61
2005-07-26,17.61
2005-07-27,17.57
2005-07-28,17.38
2005-07-29,17.24
2005-08-01,17.34
2005-08-02,17.15
2005-08-03,17.1
2005-08-04,17.38
2005-08-05,17.5
2005-08-08,17.34
2005-08-09,17.47
2005-08-10,17.51
2005-08-11,17.73
2005-08-12,17.57
2005-08-15,17.74
2005-08-16,17.71
2005-08-17,17.832
2005-08-18,17.98
2005-08-19,17.8
2005-08-22,17.97
2005-08-23,17.66
