Date,Closing Price
2004-11-01,23.91
2004-11-02,23.55
2004-11-03,24.014
2004-11-04,24.07
2004-11-05,24.49
2004-11-08,24.43
2004-11-09,24.91
2004-11-10,24.8
2004-11-11,25.1
2004-11-12,25.2
2004-11-15,25.0
2004-11-16,24.85
2004-11-17,24.92
2004-11-18,25.14
2004-11-19,24.84
2004-11-22,25.48
2004-11-23,25.5843
2004-11-24,25.8
2004-11-26,25.85
2004-11-29,25.88
2004-11-30,25.43
2004-12-01,25.7
2004-12-02,25.51
2004-12-03,25.81
2004-12-06,25.7
2004-12-07,25.43
2004-12-08,25.79
2004-12-09,25.57
2004-12-10,25.6
2004-12-13,25.65
2004-12-14,25.5
2004-12-15,25.548
2004-12-16,25.5411
2004-12-17,25.06
2004-12-20,25.2
2004-12-21,25.47
2004-12-22,25.39
2004-12-23,25.42
2004-12-27,25.17
2004-12-28,25.15
2004-12-29,25.15
2004-12-30,25.48
2004-12-31,25.29
2005-01-03,24.9513
2005-01-04,24.57
2005-01-05,24.16
2005-01-06,24.41
2005-01-07,24.34
2005-01-10,24.42
2005-01-11,24.0927
2005-01-12,24.09
2005-01-13,24.21
2005-01-14,24.37
2005-01-18,24.75
2005-01-19,24.48
2005-01-20,24.46
2005-01-21,24.2045
2005-01-24,24.39
2005-01-25,24.28
2005-01-26,24.87
2005-01-27,24.88
2005-01-28,24.6593
2005-01-31,25.25
2005-02-01,25.04
2005-02-02,25.1
2005-02-03,25.31
2005-02-04,25.8
2005-02-07,25.72
2005-02-08,26.0225
2005-02-09,25.64
2005-02-10,26.1
2005-02-11,26.19
2005-02-14,26.2882
2005-02-15,26.24
2005-02-16,26.16
2005-02-17,25.87
2005-02-18,25.66
2005-02-22,24.86
2005-02-23,25.35
2005-02-24,25.78
2005-02-25,26.51
2005-02-28,26.24
2005-03-01,26.66
2005-03-02,26.51
2005-03-03,26.35
2005-03-04,27.0
2005-03-07,27.34
2005-03-08,26.8714
2005-03-09,26.86
2005-03-10,26.9759
2005-03-11,27.45
2005-03-14,27.74
2005-03-15,27.73
2005-03-16,27.46
2005-03-17,27.97
2005-03-18,27.54
2005-03-21,27.2
2005-03-22,26.86
2005-03-23,26.76
2005-03-24,26.8833
2005-03-28,26.95
2005-03-29,26.35
2005-03-30,26.55
2005-03-31,26.68
2005-04-01,26.72
2005-04-04,26.98
2005-04-05,27.08
2005-04-06,27.05
2005-04-07,27.17
2005-04-08,27.07
2005-04-11,27.3
2005-04-12,27.3
2005-04-13,27.3348
2005-04-14,26.9837
2005-04-15,26.51
2005-04-18,26.67
2005-04-19,27.12
2005-04-20,26.69
2005-04-21,26.95
2005-04-22,26.84
2005-04-25,27.02
2005-04-26,27.04
2005-04-27,28.09
2005-04-28,27.83
2005-04-29,27.6478
2005-05-02,28.12
2005-05-03,27.91
2005-05-04,28.48
2005-05-05,28.34
2005-05-06,28.34
2005-05-09,28.35
2005-05-10,28.1
2005-05-11,28.13
2005-05-12,27.82
2005-05-13,27.19
2005-05-16,27.15
2005-05-17,27.52
2005-05-18,27.48
2005-05-19,27.26
2005-05-20,27.3667
2005-05-23,27.87
2005-05-24,28.28
2005-05-25,28.4946
2005-05-26,28.7585
2005-05-27,28.97
2005-05-31,29.14
2005-06-01,29.5
2005-06-02,29.48
2005-06-03,29.315
2005-06-06,29.54
2005-06-07,29.28
2005-06-08,29.37
2005-06-09,29.34
2005-06-10,29.77
2005-06-13,29.54
2005-06-14,29.63
2005-06-15,30.1
2005-06-16,30.05
2005-06-17,29.9787
2005-06-20,29.89
2005-06-21,29.9
2005-06-22,29.79
2005-06-23,29.8
2005-06-24,28.76
2005-06-27,29.65
2005-06-28,29.33
2005-06-29,29.1
2005-06-30,28.82
2005-07-01,29.11
2005-07-05,29.4572
2005-07-06,28.41
2005-07-07,28.69
2005-07-08,28.7606
2005-07-11,28.6506
2005-07-12,29.34
2005-07-13,29.46
2005-07-14,29.3779
2005-07-15,29.09
2005-07-18,29.1
2005-07-19,28.9
2005-07-20,29.01
2005-07-21,28.56
2005-07-22,28.87
2005-07-25,28.8
2005-07-26,28.8
2005-07-27,28.85
2005-07-28,29.16
2005-07-29,29.32
2005-08-01,28.86
2005-08-02,30.1
2005-08-03,30.05
2005-08-04,29.86
2005-08-05,29.5
2005-08-08,28.91
2005-08-09,29.0
2005-08-10,28.94
2005-08-11,29.11
2005-08-12,29.22
2005-08-15,29.48
2005-08-16,28.71
2005-08-17,28.71
2005-08-18,28.57
2005-08-19,28.9
2005-08-22,28.77
2005-08-23,28.51
2005-08-24,28.56
2005-08-25,28.67
2005-08-26,28.33
2005-08-29,28.67
2005-08-30,28.78
2005-08-31,29.59
2005-09-01,29.61
2005-09-02,29.68
2005-09-06,29.75
2005-09-07,29.48
2005-09-08,29.31
2005-09-09,29.28
2005-09-12,28.5
2005-09-13,29.25
2005-09-14,28.99
2005-09-15,28.98
2005-09-16,28.78
2005-09-19,28.69
2005-09-20,28.83
2005-09-21,28.37
2005-09-22,28.04
2005-09-23,28.17
2005-09-26,28.41
2005-09-27,28.37
2005-09-28,28.49
2005-09-29,28.68
2005-09-30,28.6722
2005-10-03,29.0
2005-10-04,28.99
2005-10-05,28.08
2005-10-06,27.28
2005-10-07,26.82
2005-10-10,26.26
2005-10-11,26.62
2005-10-12,25.9
2005-10-13,25.99
2005-10-14,26.22
2005-10-17,25.88
2005-10-18,25.85
2005-10-19,25.34
2005-10-20,24.86
2005-10-21,24.66
2005-10-24,25.34
2005-10-25,25.26
2005-10-26,24.93
2005-10-27,24.95
2005-10-28,25.19
2005-10-31,25.37
2005-11-01,24.56
2005-11-02,24.88
2005-11-03,24.34
2005-11-04,24.48
2005-11-07,24.82
2005-11-08,24.24
2005-11-09,24.7
2005-11-10,24.49
2005-11-11,24.47
2005-11-14,24.63
2005-11-15,24.48
2005-11-16,24.71
2005-11-17,25.01
2005-11-18,25.22
2005-11-21,25.05
2005-11-22,25.09
2005-11-23,25.27
2005-11-25,25.57
2005-11-28,25.37
2005-11-29,25.8
2005-11-30,25.91
2005-12-01,25.92
2005-12-02,25.8
2005-12-05,25.6
2005-12-06,25.41
2005-12-07,25.1
2005-12-08,25.23
2005-12-09,25.35
2005-12-12,24.97
2005-12-13,25.0
2005-12-14,25.44
2005-12-15,25.31
2005-12-16,25.04
2005-12-19,24.83
2005-12-20,24.59
2005-12-21,24.25
2005-12-22,24.58
2005-12-23,24.7
2005-12-27,24.57
2005-12-28,24.7
2005-12-29,23.89
2005-12-30,24.49
2006-01-03,24.98
2006-01-04,25.0
2006-01-05,24.95
2006-01-06,24.97
2006-01-09,24.86
2006-01-10,24.83
2006-01-11,24.94
2006-01-12,24.83
2006-01-13,24.79
2006-01-17,24.75
2006-01-18,24.6
2006-01-19,24.76
2006-01-20,25.19
2006-01-23,25.27
2006-01-24,25.45
2006-01-25,24.83
2006-01-26,24.7
2006-01-27,24.73
2006-01-30,24.4
2006-01-31,24.57
2006-02-01,24.54
2006-02-02,24.56
2006-02-03,24.35
2006-02-06,24.02
2006-02-07,23.78
2006-02-08,24.44
2006-02-09,24.58
2006-02-10,24.52
2006-02-13,24.07
2006-02-14,24.07
2006-02-15,24.15
2006-02-16,24.53
2006-02-17,24.72
2006-02-21,24.97
2006-02-22,24.908
2006-02-23,24.63
2006-02-24,24.73
2006-02-27,24.98
2006-02-28,24.71
2006-03-01,24.83
2006-03-02,23.85
2006-03-03,23.83
2006-03-06,23.52
2006-03-07,22.98
2006-03-08,23.69
2006-03-09,23.5
2006-03-10,23.46
2006-03-13,23.48
2006-03-14,23.58
2006-03-15,23.9
2006-03-16,24.14
2006-03-17,24.2
2006-03-20,24.1
2006-03-21,23.85
2006-03-22,24.03
2006-03-23,23.97
2006-03-24,24.05
2006-03-27,24.01
2006-03-28,24.05
2006-03-29,24.2
2006-03-30,24.22
2006-03-31,24.4
2006-04-03,24.62
2006-04-04,24.51
2006-04-05,24.84
2006-04-06,24.6
2006-04-07,24.63
2006-04-10,24.6
2006-04-11,24.02
2006-04-12,24.37
2006-04-13,24.47
2006-04-17,24.68
2006-04-18,24.96
2006-04-19,24.88
2006-04-20,25.07
2006-04-21,25.18
2006-04-24,25.34
2006-04-25,25.09
2006-04-26,25.08
2006-04-27,25.16
2006-04-28,25.29
2006-05-01,25.17
2006-05-02,25.52
2006-05-03,25.35
2006-05-04,25.63
2006-05-05,25.77
2006-05-08,25.61
2006-05-09,25.52
2006-05-10,25.34
2006-05-11,24.93
2006-05-12,25.17
2006-05-15,25.2
2006-05-16,24.64
2006-05-17,24.35
2006-05-18,24.18
2006-05-19,24.52
2006-05-22,24.65
2006-05-23,24.81
2006-05-24,24.46
2006-05-25,24.92
2006-05-26,25.06
2006-05-30,24.76
2006-05-31,25.23
2006-06-01,25.52
2006-06-02,26.04
2006-06-05,26.24
2006-06-06,25.93
2006-06-07,25.9
2006-06-08,26.0
2006-06-09,26.24
2006-06-12,26.33
2006-06-13,25.54
2006-06-14,25.51
2006-06-15,25.84
2006-06-16,26.4
2006-06-19,25.89
2006-06-20,26.05
2006-06-21,25.82
2006-06-22,25.5
2006-06-23,25.63
2006-06-26,25.82
2006-06-27,25.67
2006-06-28,26.04
2006-06-29,26.51
2006-06-30,25.25
2006-07-03,26.02
2006-07-05,26.08
2006-07-06,25.96
2006-07-07,26.1902
2006-07-10,26.4973
2006-07-11,26.7107
2006-07-12,26.62
2006-07-13,26.21
2006-07-14,25.981
2006-07-17,26.09
2006-07-18,26.0497
2006-07-19,26.4678
2006-07-20,26.347
2006-07-21,26.5
2006-07-24,27.06
2006-07-25,27.56
2006-07-26,27.0493
2006-07-27,26.9366
2006-07-28,26.8497
2006-07-31,26.81
2006-08-01,27.1
2006-08-02,27.1293
2006-08-03,27.1894
2006-08-04,27.48
2006-08-07,27.39
2006-08-08,27.7226
2006-08-09,27.57
2006-08-10,27.6736
2006-08-11,27.65
2006-08-14,27.76
2006-08-15,27.9998
2006-08-16,27.9999
2006-08-17,28.13
2006-08-18,27.98
2006-08-21,27.9
2006-08-22,27.92
2006-08-23,28.07
2006-08-24,28.3298
2006-08-25,28.42
2006-08-28,28.72
2006-08-29,28.41
2006-08-30,28.55
2006-08-31,28.6686
2006-09-01,28.5377
2006-09-05,28.33
2006-09-06,28.0495
2006-09-07,28.1
2006-09-08,27.9799
2006-09-11,27.9848
2006-09-12,27.86
2006-09-13,27.92
2006-09-14,27.8388
2006-09-15,28.0499
2006-09-18,27.7
2006-09-19,27.71
2006-09-20,28.0572
2006-09-21,27.99
2006-09-22,27.7
2006-09-25,28.29
2006-09-26,28.06
2006-09-27,28.26
2006-09-28,27.96
2006-09-29,27.57
2006-10-02,27.71
2006-10-03,27.7549
2006-10-04,28.04
2006-10-05,28.03
2006-10-06,27.76
2006-10-09,27.74
2006-10-10,27.73
2006-10-11,27.66
2006-10-12,28.09
2006-10-13,27.9999
2006-10-16,28.24
2006-10-17,28.41
2006-10-18,28.64
2006-10-19,28.6989
2006-10-20,28.89
2006-10-23,29.0238
2006-10-24,28.4578
2006-10-25,28.47
2006-10-26,28.42
2006-10-27,28.12
2006-10-30,28.06
2006-10-31,28.1527
2006-11-01,27.95
2006-11-02,28.15
2006-11-03,28.92
2006-11-06,29.29
2006-11-07,29.47
2006-11-08,29.85
2006-11-09,29.78
2006-11-10,30.22
2006-11-13,30.48
2006-11-14,30.6
2006-11-15,30.62
2006-11-16,30.7
2006-11-17,30.45
2006-11-20,30.4399
2006-11-21,30.41
2006-11-22,30.42
2006-11-24,30.49
2006-11-27,29.8
2006-11-28,30.3
2006-11-29,30.45
2006-11-30,30.7
2006-12-01,30.6298
2006-12-04,31.27
2006-12-05,30.96
2006-12-06,30.77
2006-12-07,30.7782
2006-12-08,30.8996
2006-12-11,31.12
2006-12-12,31.16
2006-12-13,31.6098
2006-12-14,31.8
2006-12-15,31.8585
2006-12-18,30.86
2006-12-19,31.1
2006-12-20,30.77
2006-12-21,30.84
2006-12-22,30.93
2006-12-26,31.38
2006-12-27,31.6
2006-12-28,31.41
2006-12-29,31.09
2007-01-03,31.16
2007-01-04,31.23
2007-01-05,30.3597
2007-01-08,30.5
2007-01-09,30.46
2007-01-10,30.4699
2007-01-11,30.5029
2007-01-12,30.2499
2007-01-16,29.9352
2007-01-17,29.63
2007-01-18,29.99
2007-01-19,30.37
2007-01-22,30.44
2007-01-23,30.71
2007-01-24,30.6959
2007-01-25,30.14
2007-01-26,30.35
2007-01-29,30.47
2007-01-30,30.26
2007-01-31,30.48
2007-02-01,30.84
2007-02-02,30.7498
2007-02-05,30.96
2007-02-06,30.9799
2007-02-07,31.26
2007-02-08,31.23
2007-02-09,31.09
2007-02-12,31.1399
2007-02-13,31.39
2007-02-14,30.7
2007-02-15,30.57
2007-02-16,30.5
2007-02-20,30.64
2007-02-21,30.7078
2007-02-22,30.7376
2007-02-23,30.86
2007-02-26,31.36
2007-02-27,30.34
2007-02-28,30.56
2007-03-01,30.7092
2007-03-02,30.24
2007-03-05,29.94
2007-03-06,30.08
2007-03-07,29.95
2007-03-08,29.91
2007-03-09,30.1182
2007-03-12,30.41
2007-03-13,29.84
2007-03-14,30.1952
2007-03-15,30.49
2007-03-16,30.2305
2007-03-19,30.26
2007-03-20,31.3895
2007-03-21,31.81
2007-03-22,31.52
2007-03-23,32.05
2007-03-26,32.18
2007-03-27,32.39
2007-03-28,32.43
2007-03-29,32.51
2007-03-30,32.26
2007-04-02,32.94
2007-04-03,32.95
2007-04-04,32.92
2007-04-05,33.37
2007-04-09,33.19
2007-04-10,33.598
2007-04-11,33.25
2007-04-12,33.02
2007-04-13,32.97
2007-04-16,33.3055
2007-04-17,33.28
2007-04-18,33.17
2007-04-19,33.01
2007-04-20,33.24
2007-04-23,33.46
2007-04-24,33.66
2007-04-25,34.0
2007-04-26,33.68
2007-04-27,33.34
2007-04-30,32.52
2007-05-01,32.9015
2007-05-02,32.99
2007-05-03,32.99
2007-05-04,33.08
2007-05-07,33.34
2007-05-08,31.7
2007-05-09,31.55
2007-05-10,31.34
2007-05-11,31.16
2007-05-14,31.06
2007-05-15,30.89
2007-05-16,31.03
2007-05-17,30.68
2007-05-18,30.78
2007-05-21,31.0
2007-05-22,30.77
2007-05-23,30.09
2007-05-24,29.05
2007-05-25,28.96
2007-05-29,29.04
2007-05-30,28.86
2007-05-31,29.51
2007-06-01,29.88
2007-06-04,29.82
2007-06-05,29.79
2007-06-06,28.58
2007-06-07,27.61
2007-06-08,28.01
2007-06-11,28.21
2007-06-12,27.72
2007-06-13,28.01
2007-06-14,27.99
2007-06-15,28.26
2007-06-18,28.2096
2007-06-19,28.25
2007-06-20,27.75
2007-06-21,27.71
