Date,Closing Price
2004-11-01,27.1889
2004-11-02,27.0128
2004-11-03,27.2085
2004-11-04,27.0128
2004-11-05,27.2099
2004-11-08,26.817
2004-11-09,26.9149
2004-11-10,27.2574
2004-11-11,26.9638
2004-11-12,26.9932
2004-11-15,27.2133
2004-11-16,27.7957
2004-11-17,27.9915
2004-11-18,28.5983
2004-11-19,28.1872
2004-11-22,28.843
2004-11-23,28.7157
2004-11-24,29.0094
2004-11-26,28.4515
2004-11-29,28.5396
2004-11-30,29.0094
2004-12-01,29.4791
2004-12-02,30.0272
2004-12-03,29.9783
2004-12-06,30.0468
2004-12-07,29.6553
2004-12-08,29.5574
2004-12-09,28.7745
2004-12-10,29.7043
2004-12-13,29.8511
2004-12-14,30.1545
2004-12-15,30.8102
2004-12-16,30.4774
2004-12-17,31.2311
2004-12-20,31.1332
2004-12-21,31.4366
2004-12-22,31.9954
2004-12-23,32.3957
2004-12-27,32.8068
2004-12-28,33.1396
2004-12-29,33.0267
2004-12-30,33.0221
2004-12-31,33.1298
2005-01-03,32.7579
2005-01-04,32.0532
2005-01-05,32.014
2005-01-06,32.0728
2005-01-07,32.9145
2005-01-10,32.8851
2005-01-11,32.3077
2005-01-12,32.3272
2005-01-13,32.5817
2005-01-14,32.3957
2005-01-18,31.4268
2005-01-19,31.3779
2005-01-20,31.417
2005-01-21,31.3877
2005-01-24,30.634
2005-01-25,30.1936
2005-01-26,30.8298
2005-01-27,30.82
2005-01-28,31.3191
2005-01-31,31.6617
2005-02-01,32.2
2005-02-02,32.1609
2005-02-03,32.6796
2005-02-04,32.3957
2005-02-07,32.3762
2005-02-08,32.3957
2005-02-09,32.6894
2005-02-10,32.3957
2005-02-11,33.2179
2005-02-14,33.4234
2005-02-15,32.9145
2005-02-16,32.2979
2005-02-17,32.3957
2005-02-18,32.2587
2005-02-22,32.3272
2005-02-23,32.4251
2005-02-24,32.9928
2005-02-25,34.5378
2005-02-28,34.4021
2005-03-01,33.8932
2005-03-02,33.2766
2005-03-03,33.5213
2005-03-04,33.4136
2005-03-07,32.983
2005-03-08,32.8264
2005-03-09,33.2277
2005-03-10,32.3077
2005-03-11,32.7383
2005-03-14,32.6956
2005-03-15,32.3272
2005-03-16,33.0221
2005-03-17,33.2179
2005-03-18,33.3647
2005-03-21,32.6306
2005-03-22,32.3272
2005-03-23,31.2213
2005-03-24,31.466
2005-03-28,31.8966
2005-03-29,31.2017
2005-03-30,31.7889
2005-03-31,32.3762
2005-04-01,31.6519
2005-04-04,32.1511
2005-04-05,33.0906
2005-04-06,33.4821
2005-04-07,33.766
2005-04-08,33.3745
2005-04-11,33.1298
2005-04-12,32.8851
2005-04-13,32.7579
2005-04-14,32.2783
2005-04-15,31.7791
2005-04-18,32.1021
2005-04-19,31.6421
2005-04-20,31.5247
2005-04-21,31.4953
2005-04-22,31.554
2005-04-25,32.4545
2005-04-26,32.4447
2005-04-27,30.086
2005-04-28,29.8021
2005-04-29,30.7515
2005-05-02,31.7694
2005-05-03,31.8281
2005-05-04,32.4349
2005-05-05,32.5028
2005-05-06,32.0532
2005-05-09,31.8085
2005-05-10,31.2409
2005-05-11,30.3404
2005-05-12,30.6145
2005-05-13,30.2426
2005-05-16,30.2915
2005-05-17,30.4089
2005-05-18,30.4383
2005-05-19,30.3502
2005-05-20,30.6047
2005-05-23,30.6243
2005-05-24,30.4872
2005-05-25,30.2915
2005-05-26,30.4677
2005-05-27,30.3894
2005-05-31,30.6047
2005-06-01,30.9179
2005-06-02,31.2409
2005-06-03,31.1136
2005-06-06,31.4727
2005-06-07,31.3387
2005-06-08,31.4268
2005-06-09,31.3094
2005-06-10,31.5051
2005-06-13,31.5638
2005-06-14,31.6617
2005-06-15,31.7106
2005-06-16,32.063
2005-06-17,32.1021
2005-06-20,32.2098
2005-06-21,32.6894
2005-06-22,32.5915
2005-06-23,32.1804
2005-06-24,32.1609
2005-06-27,32.2979
2005-06-28,32.0043
2005-06-29,31.7204
2005-06-30,31.5932
2005-07-01,31.5051
2005-07-05,31.417
2005-07-06,31.5051
2005-07-07,31.4425
2005-07-08,32.2
2005-07-11,32.3468
2005-07-12,32.474
2005-07-13,32.386
2005-07-14,32.3957
2005-07-15,32.4447
2005-07-18,32.3077
2005-07-19,33.0417
2005-07-20,32.6209
2005-07-21,32.9928
2005-07-22,33.0906
2005-07-25,33.0613
2005-07-26,33.306
2005-07-27,33.2766
2005-07-28,33.7464
2005-07-29,33.5702
2005-08-01,34.3532
2005-08-02,35.2928
2005-08-03,35.88
2005-08-04,36.017
2005-08-05,36.4085
2005-08-08,36.6532
2005-08-09,36.5113
2005-08-10,37.6221
2005-08-11,37.0545
2005-08-12,36.3987
2005-08-15,36.6728
2005-08-16,37.123
2005-08-17,36.7902
2005-08-18,35.9191
2005-08-19,36.5064
2005-08-22,36.4868
2005-08-23,36.6043
2005-08-24,36.4183
2005-08-25,36.1834
2005-08-26,36.7804
2005-08-29,37.0936
2005-08-30,36.6434
2005-08-31,37.0545
2005-09-01,37.4329
2005-09-02,38.6009
2005-09-06,38.9532
2005-09-07,39.6383
2005-09-08,39.1489
2005-09-09,39.0511
