Date,Closing Price
2004-11-01,8.925
2004-11-02,8.77
2004-11-03,8.755
2004-11-04,8.715
2004-11-05,9.04
2004-11-08,9.02
2004-11-09,8.96
2004-11-10,8.96
2004-11-11,8.985
2004-11-12,9.07
2004-11-15,9.15
2004-11-16,9.055
2004-11-17,9.05
2004-11-18,9.065
2004-11-19,9.01
2004-11-22,9.25
2004-11-23,9.095
2004-11-24,9.235
2004-11-26,9.265
2004-11-29,9.15
2004-11-30,9.0994
2004-12-01,9.265
2004-12-02,9.415
2004-12-03,9.12
2004-12-06,9.07
2004-12-07,8.645
2004-12-08,8.525
2004-12-09,8.475
2004-12-10,8.385
2004-12-13,8.455
2004-12-14,8.795
2004-12-15,8.775
2004-12-16,8.715
2004-12-17,8.775
2004-12-20,8.765
2004-12-21,8.875
2004-12-22,8.915
2004-12-23,8.805
2004-12-27,8.845
2004-12-28,8.785
2004-12-29,8.965
2004-12-30,9.165
2004-12-31,9.14
2005-01-03,8.945
2005-01-04,8.92
2005-01-05,8.585
2005-01-06,8.535
2005-01-07,8.44
2005-01-10,8.49
2005-01-11,8.605
2005-01-12,8.775
2005-01-13,8.64
2005-01-14,8.535
2005-01-18,8.54
2005-01-19,8.47
2005-01-20,8.445
2005-01-21,8.685
2005-01-24,8.655
2005-01-25,8.61
2005-01-26,8.68
2005-01-27,8.67
2005-01-28,8.645
2005-01-31,8.685
2005-02-01,8.7
2005-02-02,8.715
2005-02-03,8.725
2005-02-04,8.645
2005-02-07,8.67
2005-02-08,8.725
2005-02-09,8.82
2005-02-10,8.96
2005-02-11,8.965
2005-02-14,9.105
2005-02-15,9.135
2005-02-16,9.015
2005-02-17,9.04
2005-02-18,9.095
2005-02-22,9.105
2005-02-23,9.14
2005-02-24,9.095
2005-02-25,9.155
2005-02-28,9.0998
2005-03-01,9.595
2005-03-02,9.62
2005-03-03,9.535
2005-03-04,9.755
2005-03-07,9.815
2005-03-08,10.195
2005-03-09,10.075
2005-03-10,10.24
2005-03-11,10.16
2005-03-14,10.365
2005-03-15,10.27
2005-03-16,10.15
2005-03-17,10.255
2005-03-18,10.077
2005-03-21,10.025
2005-03-22,10.115
2005-03-23,10.005
2005-03-24,10.045
2005-03-28,10.085
2005-03-29,10.02
2005-03-30,9.98
2005-03-31,10.195
2005-04-01,10.035
2005-04-04,9.975
2005-04-05,10.125
2005-04-06,9.975
2005-04-07,9.925
2005-04-08,9.835
2005-04-11,9.805
2005-04-12,9.845
2005-04-13,9.7
2005-04-14,9.625
2005-04-15,9.765
2005-04-18,9.695
2005-04-19,9.57
2005-04-20,9.6225
2005-04-21,9.6
2005-04-22,9.685
2005-04-25,9.735
2005-04-26,9.67
2005-04-27,9.73
2005-04-28,9.695
2005-04-29,9.755
2005-05-02,9.955
2005-05-03,9.895
2005-05-04,9.97
2005-05-05,10.065
2005-05-06,10.12
2005-05-09,10.215
2005-05-10,10.24
2005-05-11,10.18
2005-05-12,10.02
2005-05-13,9.92
2005-05-16,10.02
2005-05-17,10.04
2005-05-18,10.055
2005-05-19,10.235
2005-05-20,10.3
2005-05-23,10.315
2005-05-24,10.255
2005-05-25,10.275
2005-05-26,10.25
2005-05-27,10.485
2005-05-31,10.4758
2005-06-01,10.56
2005-06-02,10.555
2005-06-03,10.655
2005-06-06,10.725
2005-06-07,10.665
2005-06-08,10.61
2005-06-09,10.555
2005-06-10,10.595
2005-06-13,10.405
2005-06-14,10.235
2005-06-15,10.58
2005-06-16,10.53
2005-06-17,10.49
2005-06-20,10.605
2005-06-21,10.455
2005-06-22,10.475
2005-06-23,10.39
2005-06-24,10.21
2005-06-27,10.19
2005-06-28,10.32
2005-06-29,10.3256
2005-06-30,10.395
2005-07-01,10.375
2005-07-05,9.95
2005-07-06,10.075
2005-07-07,10.22
2005-07-08,10.125
2005-07-11,10.09
2005-07-12,10.16
2005-07-13,10.13
2005-07-14,10.15
2005-07-15,10.145
2005-07-18,10.25
2005-07-19,10.4
2005-07-20,10.325
2005-07-21,10.63
2005-07-22,10.5
2005-07-25,10.525
2005-07-26,10.35
2005-07-27,10.35
2005-07-28,10.4
2005-07-29,10.375
2005-08-01,10.375
2005-08-02,10.39
2005-08-03,10.805
2005-08-04,11.105
2005-08-05,10.95
2005-08-08,10.915
2005-08-09,10.875
2005-08-10,10.85
2005-08-11,10.875
2005-08-12,10.74
2005-08-15,10.73
2005-08-16,10.7
2005-08-17,10.75
