Date,Closing Price
2004-11-01,41.96
2004-11-02,41.48
2004-11-03,41.9
2004-11-04,43.0
2004-11-05,42.29
2004-11-08,42.01
2004-11-09,42.3
2004-11-10,41.5025
2004-11-11,42.04
2004-11-12,42.98
2004-11-15,42.3
2004-11-16,42.49
2004-11-17,42.47
2004-11-18,42.7
2004-11-19,41.8019
2004-11-22,42.32
2004-11-23,41.75
2004-11-24,42.15
2004-11-26,41.86
2004-11-29,43.75
2004-11-30,43.9859
2004-12-01,44.69
2004-12-02,45.58
2004-12-03,45.34
2004-12-06,45.3368
2004-12-07,45.84
2004-12-08,45.37
2004-12-09,44.84
2004-12-10,44.31
2004-12-13,44.75
2004-12-14,43.32
2004-12-15,43.19
2004-12-16,42.84
2004-12-17,42.89
2004-12-20,43.6
2004-12-21,44.49
2004-12-22,44.14
2004-12-23,44.23
2004-12-27,44.08
2004-12-28,44.3935
2004-12-29,44.39
2004-12-30,44.44
2004-12-31,44.76
2005-01-03,45.59
2005-01-04,46.5
2005-01-05,46.52
2005-01-06,47.25
2005-01-07,49.0338
2005-01-10,47.4
2005-01-11,47.31
2005-01-12,47.27
2005-01-13,47.33
2005-01-14,47.1
2005-01-18,47.37
2005-01-19,46.72
2005-01-20,45.99
2005-01-21,45.59
2005-01-24,45.61
2005-01-25,44.85
2005-01-26,44.88
2005-01-27,45.2
2005-01-28,45.08
2005-01-31,44.92
2005-02-01,45.47
2005-02-02,45.25
2005-02-03,44.98
2005-02-04,45.698
2005-02-07,45.86
2005-02-08,45.01
2005-02-09,43.48
2005-02-10,42.82
2005-02-11,43.68
2005-02-14,43.63
2005-02-15,43.49
2005-02-16,43.4998
2005-02-17,43.2857
2005-02-18,47.79
2005-02-22,48.6036
2005-02-23,48.95
2005-02-24,48.82
2005-02-25,49.77
2005-02-28,49.9455
2005-03-01,49.03
2005-03-02,49.46
2005-03-03,49.03
2005-03-04,49.46
2005-03-07,49.1
2005-03-08,48.88
2005-03-09,49.082
2005-03-10,48.68
2005-03-11,48.55
2005-03-14,48.52
2005-03-15,47.29
2005-03-16,46.99
2005-03-17,46.41
2005-03-18,46.6453
2005-03-21,46.0
2005-03-22,46.01
2005-03-23,46.01
2005-03-24,46.18
2005-03-28,46.25
2005-03-29,45.79
2005-03-30,45.6
2005-03-31,45.66
2005-04-01,45.75
2005-04-04,46.85
2005-04-05,46.3
2005-04-06,46.66
2005-04-07,46.662
2005-04-08,47.01
2005-04-11,47.31
2005-04-12,47.86
2005-04-13,47.95
2005-04-14,47.45
2005-04-15,47.37
2005-04-18,46.05
2005-04-19,45.55
2005-04-20,45.02
2005-04-21,44.09
2005-04-22,44.29
2005-04-25,44.72
2005-04-26,43.96
2005-04-27,45.0
2005-04-28,45.6977
2005-04-29,45.9897
2005-05-02,44.43
2005-05-03,44.89
2005-05-04,45.0
2005-05-05,46.19
2005-05-06,46.11
2005-05-09,46.7394
2005-05-10,46.84
2005-05-11,46.7
2005-05-12,45.87
2005-05-13,45.72
2005-05-16,47.15
2005-05-17,46.47
2005-05-18,47.3
2005-05-19,46.93
2005-05-20,47.32
2005-05-23,46.69
2005-05-24,46.0471
2005-05-25,46.36
2005-05-26,46.71
2005-05-27,46.7
2005-05-31,47.05
2005-06-01,47.75
2005-06-02,48.34
2005-06-03,48.21
2005-06-06,48.09
2005-06-07,48.3
2005-06-08,48.27
2005-06-09,47.92
2005-06-10,48.14
2005-06-13,48.65
2005-06-14,48.8
2005-06-15,48.52
2005-06-16,48.72
2005-06-17,48.33
2005-06-20,49.35
2005-06-21,49.72
2005-06-22,50.09
2005-06-23,49.55
2005-06-24,48.74
2005-06-27,48.8
2005-06-28,48.95
2005-06-29,49.44
2005-06-30,49.93
2005-07-01,51.05
2005-07-05,50.07
2005-07-06,49.9647
2005-07-07,49.87
2005-07-08,50.44
2005-07-11,51.16
2005-07-12,50.7
2005-07-13,51.25
2005-07-14,51.35
2005-07-15,50.97
2005-07-18,50.75
2005-07-19,50.3
2005-07-20,51.35
2005-07-21,50.81
2005-07-22,51.05
2005-07-25,51.15
2005-07-26,51.32
2005-07-27,51.26
2005-07-28,51.47
2005-07-29,51.91
2005-08-01,53.31
2005-08-02,52.63
2005-08-03,53.05
2005-08-04,52.0
2005-08-05,52.6
2005-08-08,52.71
2005-08-09,52.96
2005-08-10,53.8962
2005-08-11,54.01
2005-08-12,54.5
2005-08-15,54.69
2005-08-16,54.37
2005-08-17,53.77
2005-08-18,54.22
2005-08-19,54.01
2005-08-22,54.3
2005-08-23,54.23
2005-08-24,54.1
