Date,Closing Price
2004-11-01,15.37
2004-11-02,15.4
2004-11-03,15.32
2004-11-04,15.37
2004-11-05,15.1
2004-11-08,14.88
2004-11-09,14.89
2004-11-10,14.75
2004-11-11,14.8
2004-11-12,14.86
2004-11-15,14.96
2004-11-16,14.93
2004-11-17,15.03
2004-11-18,14.99
2004-11-19,14.88
2004-11-22,14.93
2004-11-23,14.94
2004-11-24,14.91
2004-11-26,14.96
2004-11-29,14.84
2004-11-30,14.83
2004-12-01,14.81
2004-12-02,14.73
2004-12-03,14.88
2004-12-06,14.9
2004-12-07,14.92
2004-12-08,14.96
2004-12-09,14.98
2004-12-10,15.0
2004-12-13,15.01
2004-12-14,15.02
2004-12-15,15.01
2004-12-16,14.96
2004-12-17,14.97
2004-12-20,14.98
2004-12-21,14.91
2004-12-22,14.97
2004-12-23,14.99
2004-12-27,14.95
2004-12-28,14.93
2004-12-29,14.88
2004-12-30,14.95
2004-12-31,14.94
2005-01-03,14.98
2005-01-04,14.9
2005-01-05,14.93
2005-01-06,14.92
2005-01-07,14.95
2005-01-10,14.94
2005-01-11,14.96
2005-01-12,14.88
2005-01-13,14.92
2005-01-14,14.87
2005-01-18,14.95
2005-01-19,14.96
2005-01-20,14.934
2005-01-21,14.95
2005-01-24,14.95
2005-01-25,14.99
2005-01-26,14.99
2005-01-27,14.99
2005-01-28,15.02
2005-01-31,15.1
2005-02-01,15.13
2005-02-02,15.19
2005-02-03,15.2
2005-02-04,15.31
2005-02-07,15.3
2005-02-08,15.33
2005-02-09,15.31
2005-02-10,15.28
2005-02-11,15.25
2005-02-14,15.27
2005-02-15,15.29
2005-02-16,15.26
2005-02-17,15.13
2005-02-18,15.06
2005-02-22,15.02
2005-02-23,15.07
2005-02-24,15.19
2005-02-25,15.24
2005-02-28,15.25
2005-03-01,15.24
2005-03-02,15.21
2005-03-03,15.31
2005-03-04,15.29
2005-03-07,15.28
2005-03-08,15.23
2005-03-09,15.12
2005-03-10,15.1
2005-03-11,15.0
2005-03-14,14.96
2005-03-15,14.87
2005-03-16,14.8
2005-03-17,14.82
2005-03-18,14.77
2005-03-21,14.67
2005-03-22,14.66
2005-03-23,14.41
2005-03-24,14.4
2005-03-28,14.38
2005-03-29,14.3
2005-03-30,14.36
2005-03-31,14.57
2005-04-01,14.65
2005-04-04,14.62
2005-04-05,14.6
2005-04-06,14.72
2005-04-07,14.62
2005-04-08,14.57
2005-04-11,14.48
2005-04-12,14.6
2005-04-13,14.53
2005-04-14,14.51
2005-04-15,14.6
2005-04-18,14.6
2005-04-19,14.65
2005-04-20,14.6
2005-04-21,14.62
2005-04-22,14.61
2005-04-25,14.67
2005-04-26,14.63
2005-04-27,14.66
2005-04-28,14.73
2005-04-29,14.75
2005-05-02,14.75
2005-05-03,14.83
2005-05-04,14.82
2005-05-05,14.92
2005-05-06,14.8
2005-05-09,14.88
2005-05-10,14.9
2005-05-11,14.86
2005-05-12,14.88
2005-05-13,14.9
2005-05-16,14.89
2005-05-17,14.88
2005-05-18,15.0
2005-05-19,14.95
2005-05-20,14.93
2005-05-23,14.93
2005-05-24,15.0
2005-05-25,14.97
2005-05-26,15.01
2005-05-27,14.96
2005-05-31,15.0
2005-06-01,15.04
2005-06-02,15.02
2005-06-03,15.01
2005-06-06,15.04
2005-06-07,15.07
2005-06-08,15.08
2005-06-09,15.08
2005-06-10,15.09
2005-06-13,14.9
2005-06-14,14.85
2005-06-15,14.85
2005-06-16,14.85
2005-06-17,14.85
2005-06-20,14.84
2005-06-21,14.83
2005-06-22,14.91
2005-06-23,14.95
2005-06-24,15.01
2005-06-27,15.03
2005-06-28,14.99
2005-06-29,14.96
2005-06-30,15.03
2005-07-01,15.01
2005-07-05,15.01
2005-07-06,15.05
2005-07-07,15.04
2005-07-08,15.07
2005-07-11,15.12
2005-07-12,15.14
2005-07-13,15.02
2005-07-14,15.01
2005-07-15,15.0
2005-07-18,14.97
2005-07-19,14.98
2005-07-20,14.97
2005-07-21,14.92
2005-07-22,14.98
2005-07-25,14.97
2005-07-26,15.0
2005-07-27,15.01
2005-07-28,15.11
2005-07-29,15.03
2005-08-01,15.02
2005-08-02,15.08
2005-08-03,15.1
2005-08-04,15.04
2005-08-05,15.02
2005-08-08,14.99
2005-08-09,14.96
2005-08-10,15.01
2005-08-11,14.96
2005-08-12,14.98
2005-08-15,15.0
2005-08-16,14.98
2005-08-17,15.02
2005-08-18,15.0
2005-08-19,14.99
2005-08-22,15.0
2005-08-23,15.06
2005-08-24,15.08
2005-08-25,15.12
2005-08-26,15.04
2005-08-29,15.06
2005-08-30,15.08
2005-08-31,15.11
2005-09-01,15.18
2005-09-02,15.18
2005-09-06,15.16
2005-09-07,15.16
2005-09-08,15.12
2005-09-09,15.16
2005-09-12,15.19
2005-09-13,15.15
2005-09-14,15.09
2005-09-15,15.05
2005-09-16,15.08
2005-09-19,15.06
2005-09-20,15.01
2005-09-21,15.07
2005-09-22,15.02
2005-09-23,14.96
2005-09-26,14.89
2005-09-27,14.8
2005-09-28,14.9
2005-09-29,14.82
2005-09-30,14.88
2005-10-03,14.85
2005-10-04,14.84
2005-10-05,14.84
2005-10-06,14.77
2005-10-07,14.81
2005-10-10,14.75
2005-10-11,14.84
2005-10-12,14.59
2005-10-13,14.43
2005-10-14,14.36
2005-10-17,14.37
2005-10-18,14.39
2005-10-19,14.4
2005-10-20,14.37
2005-10-21,14.5
2005-10-24,14.47
2005-10-25,14.47
2005-10-26,14.38
2005-10-27,14.43
2005-10-28,14.48
2005-10-31,14.61
2005-11-01,14.55
2005-11-02,14.58
2005-11-03,14.62
2005-11-04,14.64
2005-11-07,14.65
2005-11-08,14.67
2005-11-09,14.6
2005-11-10,14.45
2005-11-11,14.4
2005-11-14,14.38
2005-11-15,14.42
2005-11-16,14.5
2005-11-17,14.55
2005-11-18,14.52
2005-11-21,14.46
2005-11-22,14.44
2005-11-23,14.5
2005-11-25,14.44
2005-11-28,14.52
2005-11-29,14.52
2005-11-30,14.57
2005-12-01,14.57
2005-12-02,14.65
2005-12-05,14.6
2005-12-06,14.55
2005-12-07,14.65
2005-12-08,14.65
2005-12-09,14.54
2005-12-12,14.52
2005-12-13,14.26
2005-12-14,14.27
2005-12-15,14.28
2005-12-16,14.24
2005-12-19,14.21
2005-12-20,14.23
2005-12-21,14.17
2005-12-22,14.24
2005-12-23,14.34
2005-12-27,14.42
2005-12-28,14.47
2005-12-29,14.45
2005-12-30,14.47
2006-01-03,14.57
2006-01-04,14.66
2006-01-05,14.7
2006-01-06,14.671
2006-01-09,14.82
2006-01-10,14.82
2006-01-11,14.8
2006-01-12,14.84
2006-01-13,14.8
2006-01-17,14.84
2006-01-18,14.82
2006-01-19,14.87
2006-01-20,14.85
2006-01-23,14.9
2006-01-24,14.8801
2006-01-25,14.87
2006-01-26,14.86
2006-01-27,14.83
2006-01-30,14.87
2006-01-31,14.82
2006-02-01,14.87
2006-02-02,14.78
2006-02-03,14.84
2006-02-06,14.84
2006-02-07,14.85
2006-02-08,14.862
2006-02-09,14.8599
2006-02-10,14.8201
2006-02-13,14.77
2006-02-14,14.66
2006-02-15,14.73
2006-02-16,14.75
2006-02-17,14.8
2006-02-21,14.8
2006-02-22,14.84
2006-02-23,14.82
2006-02-24,14.8
2006-02-27,14.81
2006-02-28,14.85
2006-03-01,14.84
2006-03-02,14.83
2006-03-03,14.8
2006-03-06,14.78
2006-03-07,14.76
2006-03-08,14.83
2006-03-09,14.77
2006-03-10,14.8
2006-03-13,14.71
2006-03-14,14.66
2006-03-15,14.68
2006-03-16,14.72
2006-03-17,14.7
2006-03-20,14.77
2006-03-21,14.77
2006-03-22,14.76
2006-03-23,14.79
2006-03-24,14.7801
2006-03-27,14.78
2006-03-28,14.77
2006-03-29,14.83
2006-03-30,14.78
2006-03-31,14.8199
2006-04-03,14.79
2006-04-04,14.76
2006-04-05,14.79
2006-04-06,14.77
2006-04-07,14.72
2006-04-10,14.75
2006-04-11,14.68
2006-04-12,14.59
2006-04-13,14.54
2006-04-17,14.48
2006-04-18,14.55
2006-04-19,14.54
2006-04-20,14.54
2006-04-21,14.68
2006-04-24,14.68
