Date,Closing Price
2004-11-01,35.95
2004-11-02,34.71
2004-11-03,35.5911
2004-11-04,36.99
2004-11-05,37.47
2004-11-08,36.8
2004-11-09,36.99
2004-11-10,37.7
2004-11-11,37.74
2004-11-12,38.26
2004-11-15,37.3808
2004-11-16,37.61
2004-11-17,37.75
2004-11-18,37.7
2004-11-19,37.85
2004-11-22,38.67
2004-11-23,39.3
2004-11-24,40.25
2004-11-26,40.91
2004-11-29,41.03
2004-11-30,40.2633
2004-12-01,39.72
2004-12-02,38.0
2004-12-03,37.98
2004-12-06,37.56
2004-12-07,36.34
2004-12-08,36.65
2004-12-09,36.7474
2004-12-10,36.3
2004-12-13,36.4891
2004-12-14,36.8
2004-12-15,37.518
2004-12-16,36.95
2004-12-17,37.01
2004-12-20,37.33
2004-12-21,38.6784
2004-12-22,38.02
2004-12-23,38.28
2004-12-27,37.33
2004-12-28,38.08
2004-12-29,38.1
2004-12-30,37.87
2004-12-31,37.897
2005-01-03,36.11
2005-01-04,35.7
2005-01-05,34.8152
2005-01-06,35.1237
2005-01-07,34.8822
2005-01-10,35.53
2005-01-11,35.3767
2005-01-12,36.1178
2005-01-13,36.7
2005-01-14,36.93
2005-01-18,39.5
2005-01-19,38.91
2005-01-20,39.4
2005-01-21,39.2991
2005-01-24,39.87
2005-01-25,40.17
2005-01-26,36.06
2005-01-27,37.0
2005-01-28,35.75
2005-01-31,36.25
2005-02-01,36.2989
2005-02-02,36.18
2005-02-03,35.06
2005-02-04,34.9998
2005-02-07,34.92
2005-02-08,35.3152
2005-02-09,35.6444
2005-02-10,36.31
2005-02-11,36.2689
2005-02-14,36.4051
2005-02-15,36.3
2005-02-16,37.3597
2005-02-17,37.34
2005-02-18,37.84
2005-02-22,38.61
2005-02-23,38.85
2005-02-24,39.1547
2005-02-25,40.65
2005-02-28,40.67
2005-03-01,39.9
2005-03-02,40.5359
2005-03-03,41.28
2005-03-04,41.822
2005-03-07,42.0
2005-03-08,42.2716
2005-03-09,40.69
2005-03-10,39.68
2005-03-11,39.81
2005-03-14,39.84
2005-03-15,39.78
2005-03-16,39.58
2005-03-17,40.06
2005-03-18,40.0735
2005-03-21,39.83
2005-03-22,39.75
2005-03-23,38.62
2005-03-24,38.54
2005-03-28,38.9766
2005-03-29,38.03
2005-03-30,38.3
2005-03-31,39.0
2005-04-01,40.0
2005-04-04,40.15
2005-04-05,39.47
2005-04-06,39.2
2005-04-07,38.75
2005-04-08,38.47
2005-04-11,39.0
2005-04-12,39.05
2005-04-13,37.3
2005-04-14,36.46
2005-04-15,35.18
2005-04-18,35.2
2005-04-19,36.15
2005-04-20,35.2
2005-04-21,37.38
2005-04-22,37.0
2005-04-25,37.9
2005-04-26,37.52
2005-04-27,35.95
2005-04-28,35.26
2005-04-29,35.5
2005-05-02,36.05
2005-05-03,35.05
2005-05-04,36.6
2005-05-05,36.75
2005-05-06,36.21
2005-05-09,36.82
2005-05-10,36.18
2005-05-11,35.9
2005-05-12,34.7
2005-05-13,34.64
2005-05-16,34.58
2005-05-17,35.35
2005-05-18,34.45
2005-05-19,35.36
2005-05-20,35.17
2005-05-23,36.66
2005-05-24,37.47
2005-05-25,36.75
2005-05-26,37.8112
2005-05-27,37.9
2005-05-31,37.65
2005-06-01,38.0
2005-06-02,39.0
2005-06-03,39.2
2005-06-06,39.7
2005-06-07,40.241
2005-06-08,40.1459
2005-06-09,39.8
2005-06-10,38.9981
2005-06-13,39.99
2005-06-14,39.2
2005-06-15,39.1902
2005-06-16,39.65
2005-06-17,39.8513
2005-06-20,40.1
2005-06-21,38.98
2005-06-22,38.65
2005-06-23,39.2
2005-06-24,39.34
2005-06-27,40.05
2005-06-28,39.36
2005-06-29,39.13
2005-06-30,38.91
2005-07-01,40.08
2005-07-05,41.0
2005-07-06,40.84
2005-07-07,40.85
2005-07-08,40.8
2005-07-11,40.74
2005-07-12,41.43
2005-07-13,41.01
2005-07-14,40.33
2005-07-15,40.15
2005-07-18,39.85
2005-07-19,40.7
2005-07-20,41.06
2005-07-21,40.46
2005-07-22,41.75
2005-07-25,42.01
2005-07-26,41.47
2005-07-27,41.59
2005-07-28,42.25
2005-07-29,41.94
2005-08-01,42.94
2005-08-02,43.59
2005-08-03,42.96
2005-08-04,42.84
2005-08-05,42.9
2005-08-08,42.1
2005-08-09,41.06
2005-08-10,41.0
2005-08-11,42.3
2005-08-12,42.42
