,stonk,MSE
0,CSCO,16.294791177814183
1,BA,238.65853928544485
2,MRK,1724.0341415408323
3,PG,70.37675805248817
4,CAT,5966.897337904709
5,MCD,228.8335068699884
6,INTC,16.512912396453324
7,MMM,236.71692166253754
8,KO,963.5217680772558
9,MSFT,6.525551704301392
10,HD,1193.7426146282273
11,AXP,3245.5162316187448
12,CVX,392.7888839815603
13,NKE,537.1130392110535
14,IBM,20537.179647520916
15,GS,23955.993703904573
16,DIS,240.23303182491387
17,JPM,1961.7989744678282
18,VZ,1420.6717691704735
19,UNH,228.31075950087677
20,HON,95.54656495491548
21,AAPL,253.56589946838827
22,WMT,54.877245148883794
23,JNJ,64.16196762096479
24,CRM,16.391084496471745
