i,stonk,MSE
0,CSCO,490.94124974885506
1,BA,1451.0557867882765
2,TER,68.5674403786481
3,MO,575.0122244739242
4,C,74788.11319587866
5,HUM,553.9340462591584
6,STZ,434.596883634972
7,CPRT,32.32643227163359
8,MET,251.48333332436218
9,MRK,726.0936300447362
10,PG,4411.24063749871
11,CAT,4415.480001436102
12,MCD,1915.883233188209
13,INTC,604.8993268210002
14,EXR,1609.4779183923122
15,TMO,152.72972388010314
16,MMM,3670.366519792938
17,KO,963.5217680772558
18,MSFT,275.1103120891451
19,EW,26.311366863828052
20,SHW,8627.434776095528
21,HPQ,1293.717789264248
22,MLM,9493.494171163067
23,NVDA,2621.746876040017
24,HD,532.3956536625628
25,VLO,1309.4854457859692
26,CMS,3180.614387291124
27,AXP,1193.5005539260455
28,CME,3347.560918128118
29,CVX,2045.9433373202921
30,NKE,537.1130392110535
31,IBM,6681.263405726924
32,GS,10435.765361476932
33,RE,11301.015553700077
34,DIS,1425.0836630588535
35,FE,2134.5309122608796
36,JPM,286.23880099521847
37,ILMN,2362.127578848639
38,VNO,4497.662653506968
39,CINF,136.71975758683553
40,SRE,3706.070088479134
41,VZ,292.5339908322788
42,JKHY,594.1348634541498
43,HBAN,173.33176080689267
44,UNH,91.81963584543638
45,HON,2712.0091437344186
46,AAPL,555.2941040987032
47,STE,247.68307055944777
48,WMT,2087.0340306780513
49,WAB,1552.432335221294
50,CI,103.5232201597169
51,JNJ,5080.082329935885
52,CRM,2532.37911264505
53,NWL,545.5194496684429
