,stonk,MSE
0,CSCO,48.39884591362478
1,UFCS,134.7988897982847
2,CHY,673.1858453857626
3,PEGA,99.06663390875227
4,RGEN,677.2166961590311
5,NICE,95.68775289272054
6,HSTM,141.04764805620522
7,NTCT,406.2718028455306
8,MSTR,10433.00759418368
9,SKYW,320.9213069879542
10,UEIC,555.7847334913528
11,RYAAY,136.2450142449822
12,CPRT,32.32643227163359
13,SYPR,542.2839065919135
14,SBSI,190.44081602701436
15,FOSL,2054.483282219554
16,INTC,299.29082251741295
17,CSGP,5374.879196985868
18,LWAY,520.4014190265436
19,IDCC,575.0182638646687
20,RMCF,144.5567692011756
21,FFIN,206.37986981566704
22,MSFT,145.43251828652942
23,WLFC,14.611629028047027
24,CHDN,351.4959589548634
25,PROV,322.5341600237175
26,IBOC,503.81432733559154
27,CWST,73.7991723844818
28,MRCY,182.59173086005822
29,CMCO,426.2007790880038
30,NVDA,548.558155462622
31,CME,5239.417301966047
32,PNFP,251.99829592952636
33,CETV,1917.8297649141784
34,STKL,363.78732122283515
35,KIRK,47.27607366421326
36,GBCI,174.80315020062432
37,NRIM,284.521777423688
38,HTLF,109.48575629964522
39,UNFI,1211.8430364470864
40,TLT,5675.6532898394025
41,LBAI,107.07915792942642
42,USEG,1600.7268269114502
43,MLHR,671.1546165675808
44,HSKA,34.26746563984841
45,ILMN,4744.29688871775
46,SCSC,831.9875477663202
47,GIFI,413.5285264660251
48,CINF,683.8264933884302
49,UTSI,307.2775908714287
50,PRSC,167.6589316502944
51,EBIX,3.7865157485477607
52,SANM,276.9667897018379
53,CLCT,44.49714501814153
54,JKHY,1159.6362160493168
55,RTIX,323.99775697031725
56,SLGN,294.1537708649656
57,UMPQ,35.330172767120565
58,TECD,1933.4810281539808
59,MTRX,323.31744998460385
60,WSTL,83.5820854042735
61,PRGS,427.363955487503
62,CTHR,248.02871766063143
63,HBAN,192.73644100835713
64,NTWK,226.23027061292368
65,ICLR,121.26369669327849
66,AAPL,2803.1758496361413
67,INDB,892.9194020909773
68,FTEK,709.427166656851
69,KTCC,43.565897428019085
70,PESI,111.01618756668323
71,FBNC,290.25192655787407
72,SINA,2714.3715983209504
73,COHU,425.35191689073133
74,SCON,187416.06911392167
