,stonk,MSE
0,ERF,758.0102604330156
1,IFN,1112.2442383577634
2,MQT,1634.9549189077447
3,BA,5103.1059809023145
4,HVT,754.1877348264481
5,MKL,193583.96858823972
6,TER,5521.22037445686
7,TIF,3368.1697540888435
8,DUC,137.6045219832481
9,MO,2370.1779509135304
10,NMY,195.17040665937785
11,REV,401.8842450481565
12,C,29430.659196313703
13,VGM,196.57674602424046
14,HUM,5655.059423482662
15,DAR,137.20583245084742
16,SNP,4721.288351986192
17,STZ,1666.867084567859
18,SUI,792.5959414292387
19,SCD,227.08777377587785
20,JOE,1441.9588307293818
21,MDR,522.2185555447587
22,LM,704.0498199990242
23,STL,210.37428307955727
24,NE,541.5793923260295
25,GGB,107.19341880058397
26,NBR,7536.430988213491
27,MET,1342.7790356261846
28,MDP,1789.3364915855116
29,JOF,76.54846929659709
30,SAN,2467.1190218093584
31,MRK,1724.0341415408323
32,CRS,2196.744717427405
33,PG,8463.17948383005
34,CAT,6815.408002263405
35,CLS,87.16714675256488
36,MCD,5142.862300593115
37,RYN,1292.0438508531595
38,EXP,2291.3156523399316
39,USPH,797.069925271961
40,EXR,13963.604691493256
41,DSU,228.0501095858588
42,DKS,4202.845070706014
43,TMO,4273.2526538234615
44,MMM,5759.779871762858
45,MLI,222.0977287485441
46,HHS,2860.9477043019965
47,KO,180.64479326396074
48,NSL,52.1197703662124
49,UGI,2769.4140023722916
50,NEA,192.09161038357252
51,EW,103.69583366617151
52,CMP,4208.565709428932
53,SHW,13352.089955554766
54,HPQ,1293.717789264248
55,HPF,422.0278771620114
56,MLM,9493.494171163067
57,RWT,973.8925821573779
58,USM,443.5570272133572
59,RLI,1019.6869479845193
60,WRI,1006.1525388624505
61,NQP,189.11564979308017
62,HD,2598.168727466294
63,VLO,1563.2430906264237
64,CMS,402.8887390772672
65,AXP,727.8428291502512
66,VCV,181.19728917172898
67,MTH,909.0926584277559
68,CVX,3104.483749599821
69,PCG,1028.734662127083
70,GTY,1395.3927842000662
71,PNM,464.70420766861076
72,NKE,537.1130392110535
73,MUA,156.19957792227893
74,SHO,300.29640492785495
75,SFE,200.67153132132066
76,HEI,491.38933732679703
77,IBM,4482.197260771962
78,UGP,57.69809428762595
79,CRD.A,20.961651981372754
80,PAA,1245.9575330857404
81,IO,6631.655574341029
82,MXE,1009.5983860019655
83,GS,2196.087834373004
84,RE,14347.286289655229
85,JFR,139.27726840785115
86,DDT,342.42912123053225
87,SGU,4.688955077057252
88,DIS,11891.768390366586
89,SJR,348.6398681428747
90,KMT,83.78464986946507
91,PTR,14513.24985898107
92,FE,2364.4153797927747
93,JPM,1961.7989744678282
94,FR,683.6943293713588
95,SJW,715.1819516232633
96,IAG,125.27600413075953
97,CUK,1708.9657707949962
98,MUS,2068.006423974343
99,CLI,1151.2214244294894
100,HQH,341.08600983115264
101,VNO,7862.680863748404
102,SRE,4081.218244222014
103,NXP,201.5399416846336
104,PEI,664.6638358737448
105,TPL,20049.962270713037
106,FMX,11135.300375098555
107,VZ,1420.6717691704735
108,PFD,715.573677127426
109,GFI,137.37266049875274
110,LAD,1425.9181025717062
111,EPD,476.82435086478245
112,NNI,940.9504241491923
113,XEC,3738.2038835978306
114,TPX,149.95054563876536
115,CIA,48.99271435442222
116,SNN,377.0170722955565
117,UTF,1601.1854185936431
118,UNH,2658.408267908524
119,GSK,351.26915523128076
120,OFG,211.03133464604963
121,HON,3452.407112464859
122,MHN,191.1100468380267
123,MHO,695.7056102905802
124,HYB,10.888910769925745
125,STE,1048.0920507707278
126,WMT,3516.384440031305
127,LXU,446.7643123714576
128,PKE,394.9359401223542
129,HEI.A,89.70564309545266
130,WAB,1552.432335221294
131,CI,6916.097357776281
132,CIF,8.716443335342843
133,THO,682.3209155539017
134,JNJ,3022.7008617011056
135,CRM,955.4455678220344
136,NX,681.0982454958613
137,NWL,561.4223032564653
